OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,ottawa_015029_20150121_NDSI_pcs_OID,ottawa_015029_20150121_NDSI_pcs_FID_,ottawa_015029_20150121_NDSI_pcs_COUNT,ottawa_015029_20150121_NDSI_pcs_AREA,ottawa_015029_20150121_NDSI_pcs_MEAN
,Ottawa,1,45.419944999999998,-75.706850000000003,16,5,0.312000000000000,45.421531999999999,-75.697188999999995,Canada,North America,0.774400000000000,14.727399999999999,0.052600000000000,100.000000000000000,0,0,0,34,30600.000000000000000,0.550588618307000
,Ottawa,2,45.417394000000002,-75.695447999999999,15,11,0.733000000000000,45.421531999999999,-75.697188999999995,Canada,North America,0.479800000000000,14.727399999999999,0.032600000000000,100.000000000000000,1,1,1,36,32400.000000000000000,0.699958655155000
,Ottawa,3,45.414583000000000,-75.696205000000006,15,5,0.333000000000000,45.421531999999999,-75.697188999999995,Canada,North America,0.776500000000000,14.727399999999999,0.052700000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.743579843215000
,Ottawa,4,45.413665000000002,-75.698559399999994,14,4,0.286000000000000,45.421531999999999,-75.697188999999995,Canada,North America,0.881300000000000,14.727399999999999,0.059800000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.703888741774000
,Ottawa,5,45.412697000000001,-75.701505999999995,15,3,0.200000000000000,45.421531999999999,-75.697188999999995,Canada,North America,1.038600000000000,14.727399999999999,0.070500000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.646804628202000
,Ottawa,6,45.408192000000000,-75.703249000000000,13,2,0.154000000000000,45.421531999999999,-75.697188999999995,Canada,North America,1.556900000000000,14.727399999999999,0.105700000000000,100.000000000000000,5,5,5,34,30600.000000000000000,0.726746112985000
,Ottawa,7,45.403278000000000,-75.701058000000003,12,6,0.500000000000000,45.421531999999999,-75.697188999999995,Canada,North America,2.052100000000000,14.727399999999999,0.139300000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.706091692618000
,Ottawa,8,45.389986000000000,-75.696263000000002,15,6,0.400000000000000,45.421531999999999,-75.697188999999995,Canada,North America,3.508500000000000,14.727399999999999,0.238200000000000,100.000000000000000,7,7,7,34,30600.000000000000000,0.864502235371000
,Ottawa,9,45.389657999999997,-75.696263000000002,14,1,0.071000000000000,45.421531999999999,-75.697188999999995,Canada,North America,3.545000000000000,14.727399999999999,0.240700000000000,100.000000000000000,8,8,8,11,9900.000000000000000,0.837354009802000
,Ottawa,10,45.380344999999998,-75.687860000000001,16,3,0.188000000000000,45.421531999999999,-75.697188999999995,Canada,North America,4.637300000000000,14.727399999999999,0.314900000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.513201045338000
,Ottawa,11,45.375579999999999,-75.692857000000004,12,4,0.333000000000000,45.421531999999999,-75.697188999999995,Canada,North America,5.120800000000000,14.727399999999999,0.347700000000000,100.000000000000000,10,10,10,34,30600.000000000000000,0.807917442392000
,Ottawa,12,45.371529000000002,-75.691063999999997,14,2,0.143000000000000,45.421531999999999,-75.697188999999995,Canada,North America,5.580600000000000,14.727399999999999,0.378900000000000,100.000000000000000,11,11,11,37,33300.000000000000000,0.672721491472000
,Ottawa,13,45.379154000000000,-75.690950999999998,16,3,0.188000000000000,45.421531999999999,-75.697188999999995,Canada,North America,4.737300000000000,14.727399999999999,0.321700000000000,100.000000000000000,12,12,12,36,32400.000000000000000,0.465149825439000
,Ottawa,14,45.366885000000003,-75.690136999999993,15,5,0.333000000000000,45.421531999999999,-75.697188999999995,Canada,North America,6.101400000000000,14.727399999999999,0.414300000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.717157575914000
