OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,canberra_090085_20150729_NDSI_pcs_OID,canberra_090085_20150729_NDSI_pcs_FID_,canberra_090085_20150729_NDSI_pcs_COUNT,canberra_090085_20150729_NDSI_pcs_AREA,canberra_090085_20150729_NDSI_pcs_MEAN
-1,Canberra,1,-35.310409999999997,149.124850000000009,20,10,0.500000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,0.242200000000000,10.178200000000000,0.023800000000000,100.000000000000000,0,0,0,37,33300.000000000000000,-0.425007141925000
-1,Canberra,2,-35.311180000000000,149.129930000000002,20,15,0.750000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,0.602700000000000,10.178200000000000,0.059200000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-0.383139104715000
-1,Canberra,3,-35.313009999999998,149.129070000000013,20,16,0.800000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,0.680300000000000,10.178200000000000,0.066800000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-0.411692257864000
-1,Canberra,4,-35.312649999999998,149.131380000000007,20,17,0.850000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,0.804200000000000,10.178200000000000,0.079000000000000,100.000000000000000,3,3,3,32,28800.000000000000000,-0.436523050070000
-1,Canberra,5,-35.314010000000003,149.130920000000003,20,16,0.800000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,0.874700000000000,10.178200000000000,0.085900000000000,100.000000000000000,4,4,4,33,29700.000000000000000,-0.278876751774000
-1,Canberra,6,-35.314990000000002,149.132219999999990,18,11,0.611000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,1.034900000000000,10.178200000000000,0.101700000000000,100.000000000000000,5,5,5,31,27900.000000000000000,-0.364388662721000
-1,Canberra,7,-35.316490000000002,149.131580000000014,20,17,0.850000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,1.126100000000000,10.178200000000000,0.110600000000000,100.000000000000000,6,6,6,32,28800.000000000000000,-0.421457129065000
-1,Canberra,8,-35.317850000000000,149.131090000000000,20,17,0.850000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,1.229100000000000,10.178200000000000,0.120800000000000,100.000000000000000,7,7,7,31,27900.000000000000000,-0.442880976585000
-1,Canberra,9,-35.321069999999999,149.135150000000010,20,16,0.800000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,1.729000000000000,10.178200000000000,0.169900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-0.427184889998000
-1,Canberra,10,-35.322330000000001,149.135379999999998,15,10,0.667000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,1.857200000000000,10.178200000000000,0.182500000000000,100.000000000000000,9,9,9,29,26100.000000000000000,-0.432854630824000
-1,Canberra,11,-35.325099999999999,149.133579999999995,20,11,0.550000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,2.050800000000000,10.178200000000000,0.201500000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-0.519757011107000
-1,Canberra,12,-35.327460000000002,149.135330000000010,13,12,0.923000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,2.355500000000000,10.178200000000000,0.231400000000000,100.000000000000000,11,11,11,34,30600.000000000000000,-0.465187837972000
-1,Canberra,13,-35.329419999999999,149.136660000000006,19,17,0.895000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,2.604100000000000,10.178200000000000,0.255900000000000,100.000000000000000,12,12,12,37,33300.000000000000000,-0.467221007959000
-1,Canberra,14,-35.331539999999997,149.138599999999997,12,10,0.833000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,2.893200000000000,10.178200000000000,0.284300000000000,100.000000000000000,13,13,13,37,33300.000000000000000,-0.451592786892000
-1,Canberra,15,-35.333680000000001,149.140299999999996,16,15,0.938000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,3.175100000000000,10.178200000000000,0.312000000000000,100.000000000000000,14,14,14,37,33300.000000000000000,-0.403113912892000
-1,Canberra,16,-35.334580000000003,149.143400000000014,10,10,1.000000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,3.398700000000000,10.178200000000000,0.333900000000000,100.000000000000000,15,15,15,36,32400.000000000000000,-0.429274160001000
-1,Canberra,17,-35.334049999999998,149.145780000000002,20,12,0.600000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,3.464700000000000,10.178200000000000,0.340400000000000,100.000000000000000,16,16,16,34,30600.000000000000000,-0.506465109832000
-1,Canberra,18,-35.335709999999999,149.147770000000008,20,10,0.500000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,3.719100000000000,10.178200000000000,0.365400000000000,100.000000000000000,17,17,17,35,31500.000000000000000,-0.393104296497000
-1,Canberra,19,-35.337139999999998,149.148789999999991,20,18,0.900000000000000,-35.308275000000002,149.124322000000006,Australia,Oceania,3.902500000000000,10.178200000000000,0.383400000000000,100.000000000000000,18,18,18,33,29700.000000000000000,-0.466477488026000
