OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,loja_010063_20170819_NDSI_pcs_OID,loja_010063_20170819_NDSI_pcs_FID_,loja_010063_20170819_NDSI_pcs_COUNT,loja_010063_20170819_NDSI_pcs_AREA,loja_010063_20170819_NDSI_pcs_MEAN
-1,Loja,1,-4.065400000000000,-79.197400000000002,20,15,0.750000000000000,-3.997781000000000,-79.202451999999994,South America,7.539700000000000,7.539700000000000,1.000000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-0.542452549083000
-1,Loja,2,-4.063700000000000,-79.197500000000005,20,13,0.650000000000000,-3.997781000000000,-79.202451999999994,South America,7.350400000000000,7.539700000000000,0.974900000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-0.496734898857000
-1,Loja,3,-4.062000000000000,-79.197100000000006,20,7,0.350000000000000,-3.997781000000000,-79.202451999999994,South America,7.165500000000000,7.539700000000000,0.950400000000000,100.000000000000000,2,2,2,32,28800.000000000000000,-0.511457641609000
-1,Loja,4,-4.060600000000000,-79.197000000000003,20,8,0.400000000000000,-3.997781000000000,-79.202451999999994,South America,7.011300000000000,7.539700000000000,0.929900000000000,100.000000000000000,3,3,3,31,27900.000000000000000,-0.465650874761000
-1,Loja,5,-4.059400000000000,-79.196700000000007,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,6.881400000000000,7.539700000000000,0.912700000000000,100.000000000000000,4,4,4,28,25200.000000000000000,-0.449138091079000
-1,Loja,6,-4.056900000000000,-79.197400000000002,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,6.597600000000000,7.539700000000000,0.875000000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-0.469134744150000
-1,Loja,7,-4.055500000000000,-79.197999999999993,20,7,0.350000000000000,-3.997781000000000,-79.202451999999994,South America,6.437000000000000,7.539700000000000,0.853700000000000,100.000000000000000,6,6,6,34,30600.000000000000000,-0.473802514813000
-1,Loja,8,-4.053800000000000,-79.198899999999995,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,6.241500000000000,7.539700000000000,0.827800000000000,100.000000000000000,7,7,7,36,32400.000000000000000,-0.547285024077000
-1,Loja,9,-4.052000000000000,-79.198300000000003,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,6.046400000000000,7.539700000000000,0.801900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-0.485555054886000
-1,Loja,10,-4.049900000000000,-79.197800000000001,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,5.818300000000000,7.539700000000000,0.771700000000000,100.000000000000000,9,9,9,35,31500.000000000000000,-0.427564291017000
