OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,talca_233085_20160709_NDSI_pcs_OID,talca_233085_20160709_NDSI_pcs_FID_,talca_233085_20160709_NDSI_pcs_COUNT,talca_233085_20160709_NDSI_pcs_AREA,talca_233085_20160709_NDSI_pcs_MEAN
-1,Talca,1,-35.426400000000001,-71.665859999999995,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,1.000300000000000,14.086700000000000,0.071000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-0.199775913863000
-1,Talca,2,-35.428339999999999,-71.667040000000000,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,1.103100000000000,14.086700000000000,0.078300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-0.196855437676000
-1,Talca,3,-35.428220000000003,-71.671090000000007,20,17,0.850000000000000,-35.427525000000003,-71.654906999999994,South America,1.468300000000000,14.086700000000000,0.104200000000000,100.000000000000000,2,2,2,32,28800.000000000000000,-0.286927660927000
-1,Talca,4,-35.429560000000002,-71.672319999999999,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,1.593900000000000,14.086700000000000,0.113100000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-0.261246973489000
-1,Talca,5,-35.429420000000000,-71.675659999999993,20,10,0.500000000000000,-35.427525000000003,-71.654906999999994,South America,1.892100000000000,14.086700000000000,0.134300000000000,100.000000000000000,4,4,4,36,32400.000000000000000,-0.304501177536000
-1,Talca,6,-35.431570000000001,-71.676969999999997,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,2.049000000000000,14.086700000000000,0.145500000000000,100.000000000000000,5,5,5,36,32400.000000000000000,-0.315648739537000
-1,Talca,7,-35.433219999999999,-71.678039999999996,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,2.189500000000000,14.086700000000000,0.155400000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-0.331433140380000
-1,Talca,8,-35.435440000000000,-71.679730000000006,20,17,0.850000000000000,-35.427525000000003,-71.654906999999994,South America,2.415100000000000,14.086700000000000,0.171400000000000,100.000000000000000,7,7,7,37,33300.000000000000000,-0.326373737406000
-1,Talca,9,-35.437449999999998,-71.680580000000006,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,2.574500000000000,14.086700000000000,0.182800000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-0.350371495315000
-1,Talca,10,-35.439380000000000,-71.682689999999994,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,2.841400000000000,14.086700000000000,0.201700000000000,100.000000000000000,9,9,9,36,32400.000000000000000,-0.286519060532000
-1,Talca,11,-35.441540000000003,-71.684280000000001,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,3.083900000000000,14.086700000000000,0.218900000000000,100.000000000000000,10,10,10,37,33300.000000000000000,-0.341852389477000
-1,Talca,12,-35.444209999999998,-71.685900000000004,20,8,0.400000000000000,-35.427525000000003,-71.654906999999994,South America,3.365500000000000,14.086700000000000,0.238900000000000,100.000000000000000,11,11,11,36,32400.000000000000000,-0.320448182523000
-1,Talca,13,-35.446159999999999,-71.688000000000002,20,18,0.900000000000000,-35.427525000000003,-71.654906999999994,South America,3.644500000000000,14.086700000000000,0.258700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-0.335139698642000
-1,Talca,14,-35.447949999999999,-71.689419999999998,20,20,1.000000000000000,-35.427525000000003,-71.654906999999994,South America,3.864500000000000,14.086700000000000,0.274300000000000,100.000000000000000,13,13,13,37,33300.000000000000000,-0.350358462817000
-1,Talca,15,-35.449910000000003,-71.690179999999998,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,4.050600000000000,14.086700000000000,0.287500000000000,100.000000000000000,14,14,14,36,32400.000000000000000,-0.359472460217000
