City,Population,Transect,Plant,Lat.pop,Long.pop,HCN_Result,Locus.Li,Locus.Ac,Dmg.1,Dmg.2,Dmg.Avg,Distance
Atlanta,1,NA,1,33.580935,-84.690674,1,1,1,NA,NA,NA,33.67425663
Atlanta,1,NA,2,33.580935,-84.690674,1,1,1,NA,NA,NA,33.67425663
Atlanta,1,NA,3,33.580935,-84.690674,1,1,1,NA,NA,NA,33.67425663
Atlanta,1,NA,4,33.580935,-84.690674,0,0,0,NA,NA,NA,33.67425663
Atlanta,1,NA,5,33.580935,-84.690674,1,1,1,NA,NA,NA,33.67425663
Atlanta,1,NA,6,33.580935,-84.690674,1,1,1,NA,NA,NA,33.67425663
Atlanta,1,NA,7,33.580935,-84.690674,0,0,1,NA,NA,NA,33.67425663
Atlanta,1,NA,8,33.580935,-84.690674,0,0,1,NA,NA,NA,33.67425663
Atlanta,1,NA,9,33.580935,-84.690674,1,1,1,NA,NA,NA,33.67425663
Atlanta,1,NA,10,33.580935,-84.690674,1,1,1,NA,NA,NA,33.67425663
Atlanta,1,NA,11,33.580935,-84.690674,1,1,1,NA,NA,NA,33.67425663
Atlanta,1,NA,12,33.580935,-84.690674,0,1,0,NA,NA,NA,33.67425663
Atlanta,1,NA,13,33.580935,-84.690674,0,0,1,NA,NA,NA,33.67425663
Atlanta,1,NA,14,33.580935,-84.690674,0,0,1,NA,NA,NA,33.67425663
Atlanta,1,NA,15,33.580935,-84.690674,0,0,0,NA,NA,NA,33.67425663
Atlanta,10,NA,1,33.574918,-84.59891,0,0,0,NA,NA,NA,27.49103825
Atlanta,10,NA,2,33.574918,-84.59891,0,1,0,NA,NA,NA,27.49103825
Atlanta,10,NA,3,33.574918,-84.59891,0,0,1,NA,NA,NA,27.49103825
Atlanta,10,NA,4,33.574918,-84.59891,1,1,1,NA,NA,NA,27.49103825
Atlanta,10,NA,5,33.574918,-84.59891,0,1,0,NA,NA,NA,27.49103825
Atlanta,10,NA,6,33.574918,-84.59891,0,NA,NA,NA,NA,NA,27.49103825
Atlanta,10,NA,7,33.574918,-84.59891,1,1,1,NA,NA,NA,27.49103825
Atlanta,10,NA,8,33.574918,-84.59891,1,1,1,NA,NA,NA,27.49103825
Atlanta,10,NA,9,33.574918,-84.59891,0,0,0,NA,NA,NA,27.49103825
Atlanta,10,NA,10,33.574918,-84.59891,1,1,1,NA,NA,NA,27.49103825
Atlanta,10,NA,11,33.574918,-84.59891,0,0,0,NA,NA,NA,27.49103825
Atlanta,10,NA,12,33.574918,-84.59891,0,1,0,NA,NA,NA,27.49103825
Atlanta,10,NA,13,33.574918,-84.59891,1,1,1,NA,NA,NA,27.49103825
Atlanta,10,NA,14,33.574918,-84.59891,1,1,1,NA,NA,NA,27.49103825
Atlanta,10,NA,15,33.574918,-84.59891,0,1,1,NA,NA,NA,27.49103825
Atlanta,11,NA,1,33.56886,-84.584804,0,0,0,NA,NA,NA,27.0748178
Atlanta,11,NA,2,33.56886,-84.584804,0,1,0,NA,NA,NA,27.0748178
Atlanta,11,NA,3,33.56886,-84.584804,0,0,1,NA,NA,NA,27.0748178
Atlanta,11,NA,4,33.56886,-84.584804,1,1,1,NA,NA,NA,27.0748178
Atlanta,11,NA,5,33.56886,-84.584804,0,0,0,NA,NA,NA,27.0748178
Atlanta,11,NA,6,33.56886,-84.584804,0,0,1,NA,NA,NA,27.0748178
Atlanta,11,NA,7,33.56886,-84.584804,1,1,1,NA,NA,NA,27.0748178
Atlanta,11,NA,8,33.56886,-84.584804,0,1,0,NA,NA,NA,27.0748178
Atlanta,11,NA,9,33.56886,-84.584804,0,0,0,NA,NA,NA,27.0748178
Atlanta,11,NA,10,33.56886,-84.584804,0,1,0,NA,NA,NA,27.0748178
Atlanta,11,NA,11,33.56886,-84.584804,0,0,1,NA,NA,NA,27.0748178
Atlanta,11,NA,12,33.56886,-84.584804,1,1,1,NA,NA,NA,27.0748178
Atlanta,11,NA,13,33.56886,-84.584804,0,0,1,NA,NA,NA,27.0748178
Atlanta,11,NA,14,33.56886,-84.584804,1,1,1,NA,NA,NA,27.0748178
Atlanta,11,NA,15,33.56886,-84.584804,0,0,1,NA,NA,NA,27.0748178
Atlanta,12,NA,1,33.569995,-84.574178,0,0,0,NA,NA,NA,26.32752143
Atlanta,12,NA,2,33.569995,-84.574178,0,1,1,NA,NA,NA,26.32752143
Atlanta,12,NA,3,33.569995,-84.574178,0,1,0,NA,NA,NA,26.32752143
Atlanta,12,NA,4,33.569995,-84.574178,0,1,0,NA,NA,NA,26.32752143
Atlanta,12,NA,5,33.569995,-84.574178,0,0,1,NA,NA,NA,26.32752143
Atlanta,12,NA,6,33.569995,-84.574178,0,0,1,NA,NA,NA,26.32752143
Atlanta,12,NA,7,33.569995,-84.574178,0,0,1,NA,NA,NA,26.32752143
Atlanta,12,NA,8,33.569995,-84.574178,1,1,1,NA,NA,NA,26.32752143
Atlanta,12,NA,9,33.569995,-84.574178,1,1,1,NA,NA,NA,26.32752143
Atlanta,12,NA,10,33.569995,-84.574178,1,1,1,NA,NA,NA,26.32752143
Atlanta,12,NA,11,33.569995,-84.574178,0,0,0,NA,NA,NA,26.32752143
Atlanta,12,NA,12,33.569995,-84.574178,0,0,1,NA,NA,NA,26.32752143
Atlanta,12,NA,13,33.569995,-84.574178,0,0,0,NA,NA,NA,26.32752143
Atlanta,12,NA,14,33.569995,-84.574178,0,0,0,NA,NA,NA,26.32752143
Atlanta,12,NA,15,33.569995,-84.574178,0,0,1,NA,NA,NA,26.32752143
Atlanta,13,NA,1,33.57685,-84.559421,0,1,0,NA,NA,NA,24.86258786
Atlanta,13,NA,2,33.57685,-84.559421,1,1,1,NA,NA,NA,24.86258786
Atlanta,13,NA,3,33.57685,-84.559421,0,1,0,NA,NA,NA,24.86258786
Atlanta,13,NA,4,33.57685,-84.559421,1,1,1,NA,NA,NA,24.86258786
Atlanta,13,NA,5,33.57685,-84.559421,0,0,0,NA,NA,NA,24.86258786
Atlanta,13,NA,6,33.57685,-84.559421,0,0,1,NA,NA,NA,24.86258786
Atlanta,13,NA,7,33.57685,-84.559421,1,1,1,NA,NA,NA,24.86258786
Atlanta,13,NA,8,33.57685,-84.559421,1,1,1,NA,NA,NA,24.86258786
Atlanta,13,NA,9,33.57685,-84.559421,1,1,1,NA,NA,NA,24.86258786
Atlanta,13,NA,10,33.57685,-84.559421,1,1,1,NA,NA,NA,24.86258786
Atlanta,13,NA,11,33.57685,-84.559421,0,0,1,NA,NA,NA,24.86258786
Atlanta,13,NA,12,33.57685,-84.559421,0,0,1,NA,NA,NA,24.86258786
Atlanta,13,NA,13,33.57685,-84.559421,1,1,1,NA,NA,NA,24.86258786
Atlanta,13,NA,14,33.57685,-84.559421,1,1,1,NA,NA,NA,24.86258786
Atlanta,13,NA,15,33.57685,-84.559421,0,1,0,NA,NA,NA,24.86258786
Atlanta,14,NA,1,33.583024,-84.549447,0,0,1,NA,NA,NA,23.74618608
Atlanta,14,NA,2,33.583024,-84.549447,0,0,1,NA,NA,NA,23.74618608
Atlanta,14,NA,3,33.583024,-84.549447,1,1,1,NA,NA,NA,23.74618608
Atlanta,14,NA,4,33.583024,-84.549447,1,1,1,NA,NA,NA,23.74618608
Atlanta,14,NA,5,33.583024,-84.549447,1,1,1,NA,NA,NA,23.74618608
Atlanta,14,NA,6,33.583024,-84.549447,1,1,1,NA,NA,NA,23.74618608
Atlanta,14,NA,7,33.583024,-84.549447,0,0,1,NA,NA,NA,23.74618608
Atlanta,14,NA,8,33.583024,-84.549447,0,1,0,NA,NA,NA,23.74618608
Atlanta,14,NA,9,33.583024,-84.549447,0,1,0,NA,NA,NA,23.74618608
Atlanta,14,NA,10,33.583024,-84.549447,0,0,1,NA,NA,NA,23.74618608
Atlanta,14,NA,11,33.583024,-84.549447,1,1,1,NA,NA,NA,23.74618608
Atlanta,14,NA,12,33.583024,-84.549447,0,0,0,NA,NA,NA,23.74618608
Atlanta,14,NA,13,33.583024,-84.549447,1,1,1,NA,NA,NA,23.74618608
Atlanta,14,NA,14,33.583024,-84.549447,1,1,1,NA,NA,NA,23.74618608
Atlanta,14,NA,15,33.583024,-84.549447,0,1,0,NA,NA,NA,23.74618608
Atlanta,15,NA,1,33.595387,-84.546821,1,1,1,NA,NA,NA,22.53432036
Atlanta,15,NA,2,33.595387,-84.546821,0,0,1,NA,NA,NA,22.53432036
Atlanta,15,NA,3,33.595387,-84.546821,0,1,0,NA,NA,NA,22.53432036
Atlanta,15,NA,4,33.595387,-84.546821,1,1,1,NA,NA,NA,22.53432036
Atlanta,15,NA,5,33.595387,-84.546821,0,1,0,NA,NA,NA,22.53432036
Atlanta,15,NA,6,33.595387,-84.546821,0,1,0,NA,NA,NA,22.53432036
Atlanta,15,NA,7,33.595387,-84.546821,1,1,1,NA,NA,NA,22.53432036
Atlanta,15,NA,8,33.595387,-84.546821,0,1,0,NA,NA,NA,22.53432036
