OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,munster_197024_DEM_pcs_OID,munster_197024_DEM_pcs_FID_,munster_197024_DEM_pcs_COUNT,munster_197024_DEM_pcs_AREA,munster_197024_DEM_pcs_MEAN
-1,Muenster,1,51.956829999999997,7.629510000000000,20,2,0.100000000000000,51.962125999999998,7.624724000000000,Europe,0.674000000000000,10.032900000000000,0.067200000000000,0,0,1,632.334311125999989,66.000000000000000
-1,Muenster,2,51.957160000000002,7.620800000000000,20,3,0.150000000000000,51.962125999999998,7.624724000000000,Europe,0.614200000000000,10.032900000000000,0.061200000000000,1,1,1,632.334311125999989,61.000000000000000
-1,Muenster,3,51.957819999999998,7.630270000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.611300000000000,10.032900000000000,0.060900000000000,2,2,1,632.334311125999989,65.000000000000000
-1,Muenster,4,51.961930000000002,7.621390000000000,15,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.229500000000000,10.032900000000000,0.022900000000000,3,3,1,632.334311125999989,59.000000000000000
-1,Muenster,5,51.962699999999998,7.622490000000000,20,1,0.050000000000000,51.962125999999998,7.624724000000000,Europe,0.165800000000000,10.032900000000000,0.016500000000000,4,4,1,632.334311125999989,58.000000000000000
-1,Muenster,6,51.966569999999997,7.622430000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.518500000000000,10.032900000000000,0.051700000000000,5,5,1,632.334311125999989,62.000000000000000
-1,Muenster,7,51.967399999999998,7.620060000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.667800000000000,10.032900000000000,0.066600000000000,6,6,1,632.334311125999989,66.000000000000000
-1,Muenster,8,51.973070000000000,7.617220000000000,17,5,0.294000000000000,51.962125999999998,7.624724000000000,Europe,1.321000000000000,10.032900000000000,0.131700000000000,7,7,1,632.334311125999989,62.000000000000000
-1,Muenster,9,51.974670000000003,7.618140000000000,20,2,0.100000000000000,51.962125999999998,7.624724000000000,Europe,1.465900000000000,10.032900000000000,0.146100000000000,8,8,1,632.334311125999989,63.000000000000000
-1,Muenster,10,51.976550000000003,7.618440000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,1.660600000000000,10.032900000000000,0.165500000000000,9,9,1,632.334311125999989,60.000000000000000
-1,Muenster,11,51.978330000000000,7.618070000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,1.858600000000000,10.032900000000000,0.185300000000000,10,10,1,632.334311125999989,63.000000000000000
-1,Muenster,12,51.982770000000002,7.613800000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,2.414400000000000,10.032900000000000,0.240600000000000,11,11,1,632.334311125999989,64.000000000000000
-1,Muenster,13,51.984259999999999,7.613810000000000,23,1,0.043000000000000,51.962125999999998,7.624724000000000,Europe,2.572200000000000,10.032900000000000,0.256400000000000,12,12,1,632.334311125999989,61.000000000000000
-1,Muenster,14,51.985959999999999,7.613570000000000,23,2,0.087000000000000,51.962125999999998,7.624724000000000,Europe,2.758200000000000,10.032900000000000,0.274900000000000,13,13,1,632.334311125999989,60.000000000000000
-1,Muenster,15,51.988669999999999,7.603250000000000,15,10,0.667000000000000,51.962125999999998,7.624724000000000,Europe,3.297800000000000,10.032900000000000,0.328700000000000,14,14,1,632.334311125999989,57.000000000000000
-1,Muenster,16,51.988709999999998,7.612530000000000,24,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,3.071700000000000,10.032900000000000,0.306200000000000,15,15,1,632.334311125999989,62.000000000000000
