OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,quito_010060_DEM_pcs_OID,quito_010060_DEM_pcs_FID_,quito_010060_DEM_pcs_COUNT,quito_010060_DEM_pcs_AREA,quito_010060_DEM_pcs_MEAN
-1,Quito,1,0.025940000000000,-78.482010000000002,19,1,0.053000000000000,-0.186867000000000,-78.479535999999996,South America,23.664700000000000,23.664700000000000,1.000000000000000,0,0,1,951.537906474000010,2837.000000000000000
-1,Quito,2,0.024310000000000,-78.482330000000005,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,23.483899999999998,23.664700000000000,0.992400000000000,1,1,1,951.537906474000010,2822.000000000000000
-1,Quito,3,0.022720000000000,-78.479470000000006,20,1,0.050000000000000,-0.186867000000000,-78.479535999999996,South America,23.305000000000000,23.664700000000000,0.984800000000000,2,2,1,951.537906474000010,2775.000000000000000
-1,Quito,4,0.017270000000000,-78.478629999999995,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,22.699200000000001,23.664700000000000,0.959200000000000,3,3,1,951.537906474000010,2728.000000000000000
-1,Quito,5,0.008390000000000,-78.470659999999995,10,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,21.734000000000002,23.664700000000000,0.918400000000000,4,4,1,951.537906474000010,2643.000000000000000
-1,Quito,6,-0.001390000000000,-78.457070000000002,20,1,0.050000000000000,-0.186867000000000,-78.479535999999996,South America,20.774799999999999,23.664700000000000,0.877900000000000,5,5,1,951.537906474000010,2488.000000000000000
-1,Quito,7,-0.003360000000000,-78.453720000000004,20,1,0.050000000000000,-0.186867000000000,-78.479535999999996,South America,20.606000000000002,23.664700000000000,0.870700000000000,6,6,1,951.537906474000010,2467.000000000000000
-1,Quito,8,-0.007220000000000,-78.453059999999994,9,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,20.191600000000001,23.664700000000000,0.853200000000000,7,7,1,951.537906474000010,2450.000000000000000
-1,Quito,9,-0.014020000000000,-78.452860000000001,19,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,19.447299999999998,23.664700000000000,0.821800000000000,8,8,1,951.537906474000010,2413.000000000000000
-1,Quito,10,-0.024440000000000,-78.452070000000006,20,0,0.000000000000000,-0.186867000000000,-78.479535999999996,South America,18.317499999999999,23.664700000000000,0.774000000000000,9,9,1,951.537906474000010,2407.000000000000000
-1,Quito,11,-0.033410000000000,-78.453699999999998,20,13,0.650000000000000,-0.186867000000000,-78.479535999999996,South America,17.303799999999999,23.664700000000000,0.731200000000000,10,10,1,951.537906474000010,2419.000000000000000
-1,Quito,12,-0.039720000000000,-78.454780000000000,15,9,0.600000000000000,-0.186867000000000,-78.479535999999996,South America,16.591899999999999,23.664700000000000,0.701100000000000,11,11,1,951.537906474000010,2441.000000000000000
-1,Quito,13,-0.049160000000000,-78.454319999999996,9,1,0.111000000000000,-0.186867000000000,-78.479535999999996,South America,15.566900000000000,23.664700000000000,0.657800000000000,12,12,1,951.537906474000010,2443.000000000000000
-1,Quito,14,-0.054990000000000,-78.453299999999999,8,3,0.375000000000000,-0.186867000000000,-78.479535999999996,South America,14.951400000000000,23.664700000000000,0.631800000000000,13,13,1,951.537906474000010,2461.000000000000000
-1,Quito,15,-0.066610000000000,-78.458330000000004,20,10,0.500000000000000,-0.186867000000000,-78.479535999999996,South America,13.578300000000000,23.664700000000000,0.573800000000000,14,14,1,951.537906474000010,2510.000000000000000
