OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,lansing_021030_DEM_pcs_OID,lansing_021030_DEM_pcs_FID_,lansing_021030_DEM_pcs_COUNT,lansing_021030_DEM_pcs_AREA,lansing_021030_DEM_pcs_MEAN
-1,Lansing,1,42.596953399999997,-84.590084700000006,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,15.475800000000000,15.475800000000000,1,0,0,1,0.000000077160494,271.000000000000000
-1,Lansing,2,42.596969199999997,-84.581855800000000,15,3,0.200000000000000,42.733770999999997,-84.555380999999997,USA,North America,15.364900000000000,15.475800000000000,1,1,1,1,0.000000077160494,266.000000000000000
-1,Lansing,3,42.603610600000003,-84.581631200000004,16,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,14.631399999999999,15.475800000000000,1,2,2,1,0.000000077160494,269.000000000000000
-1,Lansing,4,42.607272500000001,-84.582179199999999,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,14.235600000000000,15.475800000000000,1,3,3,1,0.000000077160494,275.000000000000000
-1,Lansing,5,42.611240799999997,-84.582208899999998,15,1,0.067000000000000,42.733770999999997,-84.555380999999997,USA,North America,13.800100000000000,15.475800000000000,1,4,4,1,0.000000077160494,276.000000000000000
-1,Lansing,6,42.620344199999998,-84.582126400000007,16,1,0.062000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.800599999999999,15.475800000000000,1,5,5,1,0.000000077160494,267.000000000000000
-1,Lansing,7,42.625084100000002,-84.582222900000005,16,6,0.375000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.282999999999999,15.475800000000000,1,6,6,1,0.000000077160494,263.000000000000000
-1,Lansing,8,42.625725799999998,-84.573830599999994,20,3,0.150000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.108400000000000,15.475800000000000,1,7,7,1,0.000000077160494,265.000000000000000
-1,Lansing,9,42.630683200000000,-84.582070299999998,17,3,0.176000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.668600000000000,15.475800000000000,1,8,8,1,0.000000077160494,266.000000000000000
-1,Lansing,10,42.633145900000002,-84.576062199999996,19,4,0.211000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.316000000000001,15.475800000000000,1,9,9,1,0.000000077160494,273.000000000000000
-1,Lansing,11,42.635324400000002,-84.572800599999994,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.039000000000000,15.475800000000000,1,10,10,1,0.000000077160494,273.000000000000000
-1,Lansing,12,42.640659800000002,-84.574173900000005,20,3,0.150000000000000,42.733770999999997,-84.555380999999997,USA,North America,10.466799999999999,15.475800000000000,1,11,11,1,0.000000077160494,273.000000000000000
-1,Lansing,13,42.643837599999998,-84.572520600000004,20,4,0.200000000000000,42.733770999999997,-84.555380999999997,USA,North America,10.097799999999999,15.475800000000000,1,12,12,1,0.000000077160494,273.000000000000000
-1,Lansing,14,42.647404600000002,-84.573078499999994,16,3,0.188000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.711800000000000,15.475800000000000,1,13,13,1,0.000000077160494,267.000000000000000
-1,Lansing,15,42.650277099999997,-84.573121400000005,15,1,0.067000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.396599999999999,15.475800000000000,1,14,14,1,0.000000077160494,268.000000000000000
-1,Lansing,16,42.651302899999997,-84.567156199999999,15,4,0.267000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.220400000000000,15.475800000000000,1,15,15,1,0.000000077160494,269.000000000000000
-1,Lansing,17,42.659999999999997,-84.564860199999998,16,5,0.312000000000000,42.733770999999997,-84.555380999999997,USA,North America,8.239500000000000,15.475800000000000,1,16,16,1,0.000000077160494,266.000000000000000
-1,Lansing,18,42.662680600000002,-84.564817300000001,15,3,0.200000000000000,42.733770999999997,-84.555380999999997,USA,North America,7.942400000000000,15.475800000000000,1,17,17,1,0.000000077160494,266.000000000000000
-1,Lansing,19,42.670066200000001,-84.562711300000004,18,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,7.108900000000000,15.475800000000000,0,18,18,1,0.000000077160494,267.000000000000000
-1,Lansing,20,42.672555500000001,-84.563126400000002,17,8,0.471000000000000,42.733770999999997,-84.555380999999997,USA,North America,6.836200000000000,15.475800000000000,0,19,19,1,0.000000077160494,266.000000000000000
-1,Lansing,21,42.678490600000003,-84.564084600000001,16,1,0.062000000000000,42.733770999999997,-84.555380999999997,USA,North America,6.187900000000000,15.475800000000000,0,20,20,1,0.000000077160494,267.000000000000000
-1,Lansing,22,42.682528900000001,-84.562453800000000,19,2,0.105000000000000,42.733770999999997,-84.555380999999997,USA,North America,5.727100000000000,15.475800000000000,0,21,21,1,0.000000077160494,264.000000000000000
-1,Lansing,23,42.685604800000000,-84.563483800000000,20,8,0.400000000000000,42.733770999999997,-84.555380999999997,USA,North America,5.396600000000000,15.475800000000000,0,22,22,1,0.000000077160494,262.000000000000000
-1,Lansing,24,42.688223100000002,-84.563161899999997,18,1,0.056000000000000,42.733770999999997,-84.555380999999997,USA,North America,5.104400000000000,15.475800000000000,0,23,23,1,0.000000077160494,262.000000000000000
-1,Lansing,25,42.692576099999997,-84.561702800000006,20,5,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,4.609700000000000,15.475800000000000,0,24,24,1,0.000000077160494,260.000000000000000
-1,Lansing,26,42.696345399999998,-84.561767200000006,20,3,0.150000000000000,42.733770999999997,-84.555380999999997,USA,North America,4.194100000000000,15.475800000000000,0,25,25,1,0.000000077160494,259.000000000000000
-1,Lansing,27,42.700338000000002,-84.559035899999998,16,2,0.125000000000000,42.733770999999997,-84.555380999999997,USA,North America,3.729600000000000,15.475800000000000,0,26,26,1,0.000000077160494,263.000000000000000
-1,Lansing,28,42.703349600000003,-84.560659299999998,20,2,0.100000000000000,42.733770999999997,-84.555380999999997,USA,North America,3.410100000000000,15.475800000000000,0,27,27,1,0.000000077160494,260.000000000000000
-1,Lansing,29,42.706487500000001,-84.558298899999997,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,3.043100000000000,15.475800000000000,0,28,28,1,0.000000077160494,265.000000000000000
-1,Lansing,30,42.712163699999998,-84.558406199999993,16,2,0.125000000000000,42.733770999999997,-84.555380999999997,USA,North America,2.415300000000000,15.475800000000000,0,29,29,1,0.000000077160494,261.000000000000000
-1,Lansing,31,42.715017400000001,-84.558363299999996,20,9,0.450000000000000,42.733770999999997,-84.555380999999997,USA,North America,2.099500000000000,15.475800000000000,0,30,30,1,0.000000077160494,264.000000000000000
-1,Lansing,32,42.716929800000003,-84.555655400000006,16,2,0.125000000000000,42.733770999999997,-84.555380999999997,USA,North America,1.872800000000000,15.475800000000000,0,31,31,1,0.000000077160494,266.000000000000000
-1,Lansing,33,42.718632399999997,-84.552608399999997,20,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,1.698500000000000,15.475800000000000,0,32,32,1,0.000000077160494,256.000000000000000
-1,Lansing,34,42.722541900000003,-84.552307999999996,16,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,1.273600000000000,15.475800000000000,0,33,33,1,0.000000077160494,257.000000000000000
-1,Lansing,35,42.725095600000003,-84.552007599999996,16,3,0.188000000000000,42.733770999999997,-84.555380999999997,USA,North America,1.003200000000000,15.475800000000000,0,34,34,1,0.000000077160494,257.000000000000000
-1,Lansing,36,42.727136899999998,-84.556503000000006,16,3,0.188000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.743300000000000,15.475800000000000,0,35,35,1,0.000000077160494,267.000000000000000
-1,Lansing,37,42.728799899999999,-84.554335699999996,18,1,0.056000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.559300000000000,15.475800000000000,0,36,36,1,0.000000077160494,262.000000000000000
-1,Lansing,38,42.731436700000003,-84.557747500000005,16,2,0.125000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.323600000000000,15.475800000000000,0,37,37,1,0.000000077160494,263.000000000000000
-1,Lansing,39,42.732949599999998,-84.554834999999997,16,5,0.312000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.101600000000000,15.475800000000000,0,38,38,1,0.000000077160494,270.000000000000000
-1,Lansing,40,42.735636800000002,-84.555290900000003,16,7,0.438000000000000,42.733770999999997,-84.555380999999997,USA,North America,0.207600000000000,15.475800000000000,0,39,39,1,0.000000077160494,261.000000000000000
