OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,montreal_015028_20150121_NDVI_pcs_OID,montreal_015028_20150121_NDVI_pcs_FID_,montreal_015028_20150121_NDVI_pcs_COUNT,montreal_015028_20150121_NDVI_pcs_AREA,montreal_015028_20150121_NDVI_pcs_MEAN
-1,Montreal,1,45.569339999999997,-74.073459999999997,20,12,0.600000000000000,45.501690000000004,-73.567252999999994,North America,40.138700000000000,40.138700000000000,1.000000000000000,100.000000000000000,0,0,0,32,28800.000000000000000,-0.053212043756500
-1,Montreal,2,45.572989999999997,-74.060000000000002,20,7,0.350000000000000,45.501690000000004,-73.567252999999994,North America,39.188299999999998,40.138700000000000,0.976300000000000,100.000000000000000,1,1,1,32,28800.000000000000000,0.015731903236900
-1,Montreal,3,45.572800000000001,-74.049000000000007,20,8,0.400000000000000,45.501690000000004,-73.567252999999994,North America,38.345399999999998,40.138700000000000,0.955300000000000,100.000000000000000,2,2,2,37,33300.000000000000000,-0.010406102595000
-1,Montreal,4,45.572479999999999,-74.034090000000006,19,14,0.737000000000000,45.501690000000004,-73.567252999999994,North America,37.202399999999997,40.138700000000000,0.926800000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-0.016534564780500
-1,Montreal,5,45.570770000000003,-74.019499999999994,20,4,0.200000000000000,45.501690000000004,-73.567252999999994,North America,36.052100000000003,40.138700000000000,0.898200000000000,100.000000000000000,4,4,4,36,32400.000000000000000,-0.035356556841500
-1,Montreal,6,45.569670000000002,-74.007059999999996,20,6,0.300000000000000,45.501690000000004,-73.567252999999994,North America,35.079799999999999,40.138700000000000,0.874000000000000,100.000000000000000,5,5,5,36,32400.000000000000000,-0.028575363197100
-1,Montreal,7,45.566899999999997,-73.993300000000005,20,11,0.550000000000000,45.501690000000004,-73.567252999999994,North America,33.967700000000001,40.138700000000000,0.846300000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-0.010287374018600
-1,Montreal,8,45.563099999999999,-73.981629999999996,20,5,0.250000000000000,45.501690000000004,-73.567252999999994,North America,32.991300000000003,40.138700000000000,0.821900000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.053701112559100
-1,Montreal,9,45.563090000000003,-73.975129999999993,20,10,0.500000000000000,45.501690000000004,-73.567252999999994,North America,32.495899999999999,40.138700000000000,0.809600000000000,100.000000000000000,8,8,8,32,28800.000000000000000,0.005288585518430
-1,Montreal,10,45.561929999999997,-73.959909999999994,20,10,0.500000000000000,45.501690000000004,-73.567252999999994,North America,31.310300000000002,40.138700000000000,0.780100000000000,100.000000000000000,9,9,9,36,32400.000000000000000,-0.030156140358000
-1,Montreal,11,45.564850000000000,-73.945909999999998,20,10,0.500000000000000,45.501690000000004,-73.567252999999994,North America,30.318800000000000,40.138700000000000,0.755400000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-0.018199957055700
-1,Montreal,12,45.566690000000001,-73.933279999999996,20,5,0.250000000000000,45.501690000000004,-73.567252999999994,North America,29.411799999999999,40.138700000000000,0.732800000000000,100.000000000000000,11,11,11,34,30600.000000000000000,-0.000268953907567
-1,Montreal,13,45.565210000000000,-73.920670000000001,20,3,0.150000000000000,45.501690000000004,-73.567252999999994,North America,28.419699999999999,40.138700000000000,0.708000000000000,100.000000000000000,12,12,12,36,32400.000000000000000,-0.026684312861300
-1,Montreal,14,45.559910000000002,-73.910229999999999,20,9,0.450000000000000,45.501690000000004,-73.567252999999994,North America,27.489300000000000,40.138700000000000,0.684900000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.052842539723100
-1,Montreal,15,45.558959999999999,-73.897379999999998,20,4,0.200000000000000,45.501690000000004,-73.567252999999994,North America,26.492200000000000,40.138700000000000,0.660000000000000,100.000000000000000,14,14,14,37,33300.000000000000000,0.018972997150900
-1,Montreal,16,45.557119999999998,-73.887960000000007,20,14,0.700000000000000,45.501690000000004,-73.567252999999994,North America,25.731100000000001,40.138700000000000,0.641100000000000,100.000000000000000,15,15,15,34,30600.000000000000000,-0.018218716264100
-1,Montreal,17,45.556049999999999,-73.879149999999996,20,4,0.200000000000000,45.501690000000004,-73.567252999999994,North America,25.036600000000000,40.138700000000000,0.623800000000000,100.000000000000000,16,16,16,36,32400.000000000000000,0.055290681271200
-1,Montreal,18,45.550260000000002,-73.867159999999998,20,8,0.400000000000000,45.501690000000004,-73.567252999999994,North America,23.979299999999999,40.138700000000000,0.597400000000000,100.000000000000000,17,17,17,36,32400.000000000000000,0.011654453151600
-1,Montreal,19,45.552990000000001,-73.855220000000003,20,12,0.600000000000000,45.501690000000004,-73.567252999999994,North America,23.146400000000000,40.138700000000000,0.576700000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.009980205102220
-1,Montreal,20,45.557090000000002,-73.842789999999994,20,15,0.750000000000000,45.501690000000004,-73.567252999999994,North America,22.329999999999998,40.138700000000000,0.556300000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.039948144136000
-1,Montreal,21,45.561120000000003,-73.831940000000003,20,9,0.450000000000000,45.501690000000004,-73.567252999999994,North America,21.650700000000001,40.138700000000000,0.539400000000000,100.000000000000000,20,20,20,35,31500.000000000000000,-0.028084710579600
-1,Montreal,22,45.570889999999999,-73.820840000000004,20,11,0.550000000000000,45.501690000000004,-73.567252999999994,North America,21.197099999999999,40.138700000000000,0.528100000000000,100.000000000000000,21,21,21,35,31500.000000000000000,0.012837652295000
-1,Montreal,23,45.576870000000000,-73.810609999999997,20,6,0.300000000000000,45.501690000000004,-73.567252999999994,North America,20.715100000000000,40.138700000000000,0.516100000000000,100.000000000000000,22,22,22,36,32400.000000000000000,0.004142442326860
-1,Montreal,24,45.579300000000003,-73.797979999999995,20,10,0.500000000000000,45.501690000000004,-73.567252999999994,North America,19.934200000000001,40.138700000000000,0.496600000000000,100.000000000000000,23,23,23,35,31500.000000000000000,0.034713683753000
-1,Montreal,25,45.580060000000003,-73.784719999999993,18,13,0.722000000000000,45.501690000000004,-73.567252999999994,North America,19.046900000000001,40.138700000000000,0.474500000000000,100.000000000000000,24,24,24,36,32400.000000000000000,-0.020382009640600
-1,Montreal,26,45.584530000000001,-73.771960000000007,20,10,0.500000000000000,45.501690000000004,-73.567252999999994,North America,18.411999999999999,40.138700000000000,0.458700000000000,100.000000000000000,25,25,25,36,32400.000000000000000,-0.032587612477900
-1,Montreal,27,45.591169999999998,-73.760750000000002,20,10,0.500000000000000,45.501690000000004,-73.567252999999994,North America,18.056799999999999,40.138700000000000,0.449900000000000,100.000000000000000,26,26,26,35,31500.000000000000000,-0.025666896852500
-1,Montreal,28,45.597549999999998,-73.751140000000007,20,7,0.350000000000000,45.501690000000004,-73.567252999999994,North America,17.850800000000000,40.138700000000000,0.444700000000000,100.000000000000000,27,27,27,32,28800.000000000000000,-0.025526648383700
-1,Montreal,29,45.590089999999996,-73.742369999999994,20,7,0.350000000000000,45.501690000000004,-73.567252999999994,North America,16.810400000000001,40.138700000000000,0.418800000000000,100.000000000000000,28,28,28,35,31500.000000000000000,-0.017742166769600
-1,Montreal,30,45.581490000000002,-73.733689999999996,20,7,0.350000000000000,45.501690000000004,-73.567252999999994,North America,15.708399999999999,40.138700000000000,0.391400000000000,100.000000000000000,29,29,29,33,29700.000000000000000,-0.003567647781560
-1,Montreal,31,45.573670000000000,-73.723349999999996,20,11,0.550000000000000,45.501690000000004,-73.567252999999994,North America,14.555800000000000,40.138700000000000,0.362600000000000,100.000000000000000,30,30,30,37,33300.000000000000000,-0.016307318564300
-1,Montreal,32,45.564839999999997,-73.718010000000007,20,12,0.600000000000000,45.501690000000004,-73.567252999999994,North America,13.682100000000000,40.138700000000000,0.340900000000000,100.000000000000000,31,31,31,32,28800.000000000000000,0.013342539260500
-1,Montreal,33,45.557400000000001,-73.711119999999994,20,1,0.050000000000000,45.501690000000004,-73.567252999999994,North America,12.804900000000000,40.138700000000000,0.319000000000000,100.000000000000000,32,32,32,35,31500.000000000000000,0.007761494056990
-1,Montreal,34,45.555470000000000,-73.701160000000002,20,6,0.300000000000000,45.501690000000004,-73.567252999999994,North America,12.023700000000000,40.138700000000000,0.299600000000000,100.000000000000000,33,33,33,35,31500.000000000000000,-0.017485277447800
-1,Montreal,35,45.558660000000003,-73.691000000000003,20,15,0.750000000000000,45.501690000000004,-73.567252999999994,North America,11.534599999999999,40.138700000000000,0.287400000000000,100.000000000000000,34,34,34,37,33300.000000000000000,-0.001946275544080
-1,Montreal,36,45.559730000000002,-73.683750000000003,20,7,0.350000000000000,45.501690000000004,-73.567252999999994,North America,11.135400000000001,40.138700000000000,0.277400000000000,100.000000000000000,35,35,35,35,31500.000000000000000,0.022204164814700
-1,Montreal,37,45.555840000000003,-73.671629999999993,20,5,0.250000000000000,45.501690000000004,-73.567252999999994,North America,10.117500000000000,40.138700000000000,0.252100000000000,100.000000000000000,36,36,36,34,30600.000000000000000,0.088186109397500
