OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,lake_charles_024039_20160123_NDVI_pcs_OID,lake_charles_024039_20160123_NDVI_pcs_FID_,lake_charles_024039_20160123_NDVI_pcs_COUNT,lake_charles_024039_20160123_NDVI_pcs_AREA,lake_charles_024039_20160123_NDVI_pcs_MEAN
-1,Lake_Charles,1,30.234327799999999,-93.216049699999999,20,19,0.950000000000000,30.226595000000000,-93.217376000000002,USA,North America,0.869200000000000,29.275900000000000,0.029700000000000,100.000000000000000,0,0,0,34,30600.000000000000000,0.373075046303000
-1,Lake_Charles,2,30.231215100000000,-93.221038899999996,20,10,0.500000000000000,30.226595000000000,-93.217376000000002,USA,North America,0.622700000000000,29.275900000000000,0.021300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.411651811962000
-1,Lake_Charles,3,30.228189100000002,-93.222648599999999,20,14,0.700000000000000,30.226595000000000,-93.217376000000002,USA,North America,0.536700000000000,29.275900000000000,0.018300000000000,100.000000000000000,2,2,2,34,30600.000000000000000,-0.084324596121000
-1,Lake_Charles,4,30.224669200000001,-93.221916300000004,20,13,0.650000000000000,30.226595000000000,-93.217376000000002,USA,North America,0.485900000000000,29.275900000000000,0.016600000000000,100.000000000000000,3,3,3,36,32400.000000000000000,0.160553801740000
-1,Lake_Charles,5,30.219837299999998,-93.213689099999996,20,16,0.800000000000000,30.226595000000000,-93.217376000000002,USA,North America,0.830700000000000,29.275900000000000,0.028400000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.495679927724000
-1,Lake_Charles,6,30.215410899999998,-93.213426799999993,20,16,0.800000000000000,30.226595000000000,-93.217376000000002,USA,North America,1.300200000000000,29.275900000000000,0.044400000000000,100.000000000000000,5,5,5,34,30600.000000000000000,0.484758350779000
-1,Lake_Charles,7,30.211138399999999,-93.214361600000004,20,20,1.000000000000000,30.226595000000000,-93.217376000000002,USA,North America,1.742900000000000,29.275900000000000,0.059500000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.327063497954000
-1,Lake_Charles,8,30.211149299999999,-93.214128500000001,20,18,0.900000000000000,30.226595000000000,-93.217376000000002,USA,North America,1.745600000000000,29.275900000000000,0.059600000000000,100.000000000000000,7,7,7,5,4500.000000000000000,0.169570866227000
-1,Lake_Charles,9,30.201885200000000,-93.214359700000003,20,18,0.900000000000000,30.226595000000000,-93.217376000000002,USA,North America,2.762800000000000,29.275900000000000,0.094400000000000,100.000000000000000,8,8,8,36,32400.000000000000000,0.375019254577000
-1,Lake_Charles,10,30.198106899999999,-93.214720200000002,16,13,0.812000000000000,30.226595000000000,-93.217376000000002,USA,North America,3.178000000000000,29.275900000000000,0.108600000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.239613639457000
