OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,atlanta_019037_20140130_NDVI_pcs_OID,atlanta_019037_20140130_NDVI_pcs_FID_,atlanta_019037_20140130_NDVI_pcs_COUNT,atlanta_019037_20140130_NDVI_pcs_AREA,atlanta_019037_20140130_NDVI_pcs_MEAN
-1,Atlanta,1,33.580930000000002,-84.690669999999997,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,34.193899999999999,34.193899999999999,1.000000000000000,100.000000000000000,0,0,0,37,33300.000000000000000,0.289397476090000
-1,Atlanta,2,33.578659999999999,-84.680070000000001,14,8,0.571000000000000,33.757758000000003,-84.388372000000004,North America,33.545600000000000,34.193899999999999,0.981000000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.331618474850000
-1,Atlanta,3,33.575249999999997,-84.671090000000007,14,6,0.429000000000000,33.757758000000003,-84.388372000000004,North America,33.112000000000002,34.193899999999999,0.968400000000000,100.000000000000000,2,2,2,36,32400.000000000000000,0.484488156935000
-1,Atlanta,4,33.572519999999997,-84.662850000000006,15,12,0.800000000000000,33.757758000000003,-84.388372000000004,North America,32.703499999999998,34.193899999999999,0.956400000000000,100.000000000000000,3,3,3,34,30600.000000000000000,0.126006372273000
-1,Atlanta,5,33.572719999999997,-84.651049999999998,13,8,0.615000000000000,33.757758000000003,-84.388372000000004,North America,31.848299999999998,34.193899999999999,0.931400000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.282500098071000
-1,Atlanta,6,33.571770000000001,-84.638090000000005,13,11,0.846000000000000,33.757758000000003,-84.388372000000004,North America,31.012899999999998,34.193899999999999,0.907000000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.197362674018000
-1,Atlanta,7,33.575299999999999,-84.630420000000001,15,11,0.733000000000000,33.757758000000003,-84.388372000000004,North America,30.222400000000000,34.193899999999999,0.883900000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.186518585416000
-1,Atlanta,8,33.573610000000002,-84.619069999999994,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,29.582200000000000,34.193899999999999,0.865100000000000,100.000000000000000,7,7,7,37,33300.000000000000000,0.099423857506500
-1,Atlanta,9,33.574739999999998,-84.609139999999996,15,7,0.467000000000000,33.757758000000003,-84.388372000000004,North America,28.837100000000000,34.193899999999999,0.843300000000000,100.000000000000000,8,8,8,34,30600.000000000000000,0.135540225516000
-1,Atlanta,10,33.574919999999999,-84.598910000000004,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,28.159800000000001,34.193899999999999,0.823500000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.392888298418000
-1,Atlanta,11,33.568860000000001,-84.584800000000001,15,4,0.267000000000000,33.757758000000003,-84.388372000000004,North America,27.778900000000000,34.193899999999999,0.812400000000000,100.000000000000000,10,10,10,36,32400.000000000000000,0.261073826321000
-1,Atlanta,12,33.570000000000000,-84.574179999999998,15,3,0.200000000000000,33.757758000000003,-84.388372000000004,North America,27.047899999999998,34.193899999999999,0.791000000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.095533183975400
-1,Atlanta,13,33.576850000000000,-84.559420000000003,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,25.597400000000000,34.193899999999999,0.748600000000000,100.000000000000000,12,12,12,34,30600.000000000000000,0.121734623873000
-1,Atlanta,14,33.583019999999998,-84.549449999999993,15,7,0.467000000000000,33.757758000000003,-84.388372000000004,North America,24.489200000000000,34.193899999999999,0.716200000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.048136238091900
-1,Atlanta,15,33.595390000000002,-84.546819999999997,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,23.257999999999999,34.193899999999999,0.680200000000000,100.000000000000000,14,14,14,36,32400.000000000000000,0.177729986466000
-1,Atlanta,16,33.604210000000002,-84.537999999999997,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,21.981700000000000,34.193899999999999,0.642900000000000,100.000000000000000,15,15,15,35,31500.000000000000000,0.062166729469700
-1,Atlanta,17,33.607250000000001,-84.529740000000004,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,21.241099999999999,34.193899999999999,0.621200000000000,100.000000000000000,16,16,16,36,32400.000000000000000,0.053108371571100
-1,Atlanta,18,33.611849999999997,-84.519009999999994,15,11,0.733000000000000,33.757758000000003,-84.388372000000004,North America,20.231900000000000,34.193899999999999,0.591700000000000,100.000000000000000,17,17,17,34,30600.000000000000000,0.243719639804000
-1,Atlanta,19,33.619169999999997,-84.510249999999999,15,5,0.333000000000000,33.757758000000003,-84.388372000000004,North America,19.095300000000002,34.193899999999999,0.558400000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.040586873970500
-1,Atlanta,20,33.620710000000003,-84.504000000000005,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,18.619199999999999,34.193899999999999,0.544500000000000,100.000000000000000,19,19,19,36,32400.000000000000000,0.205836801583000
-1,Atlanta,21,33.622630000000001,-84.488879999999995,15,7,0.467000000000000,33.757758000000003,-84.388372000000004,North America,17.670200000000001,34.193899999999999,0.516800000000000,100.000000000000000,20,20,20,34,30600.000000000000000,0.087160027120300
-1,Atlanta,22,33.624879999999997,-84.477390000000000,15,10,0.667000000000000,33.757758000000003,-84.388372000000004,North America,16.915700000000001,34.193899999999999,0.494700000000000,100.000000000000000,21,21,21,37,33300.000000000000000,0.160721397718000
-1,Atlanta,23,33.632219999999997,-84.468450000000004,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,15.803300000000000,34.193899999999999,0.462200000000000,100.000000000000000,22,22,22,35,31500.000000000000000,0.191113682903000
-1,Atlanta,24,33.641730000000003,-84.467680000000001,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,14.841900000000001,34.193899999999999,0.434100000000000,100.000000000000000,23,23,23,36,32400.000000000000000,0.320768823226000
-1,Atlanta,25,33.651930000000000,-84.470669999999998,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,14.015400000000000,34.193899999999999,0.409900000000000,100.000000000000000,24,24,24,35,31500.000000000000000,0.257917227011000
