city,betaHCN,pvalHCN,r_squared,y_int,predicted_rural,model_order,hcn_diff,continent
Acton,0.025,0.818,0.003,0.365,0.39,linear,0.025000000000000022,North America
Albuquerque,-1.387,0.001,0.285,0.494,0.372,quadratic,-0.122,North America
Almada,0.023,0.436,0.015,0.961,0.984,linear,0.02300000000000002,Europe
Amsterdam,0.143,0.146,0.055,0.13,0.273,linear,0.14300000000000002,Europe
Angus,0.027,0.881,0.001,0.326,0.353,linear,0.02699999999999997,North America
Antwerp,1.238,0.007,0.284,-0.075,0.255,quadratic,0.33,Europe
Armidale,1.605,0,0.444,0.38,0.618,quadratic,0.238,Oceania
Athens,0.365,0.013,0.216,0.36,0.724,linear,0.364,North America
Atlanta,0.365,0,0.364,0.25,0.615,linear,0.365,North America
Atlantic_City,-0.248,0.002,0.195,0.561,0.313,linear,-0.24800000000000005,North America
Baltimore,0.032,0.717,0.004,0.203,0.235,linear,0.03199999999999997,North America
Barrie,0.085,0.333,0.041,0.269,0.354,linear,0.08499999999999996,North America
Baton_Rouge,1.644,0,0.48,0.377,0.863,quadratic,0.486,North America
Beijing,-0.376,0.174,0.082,0.827,0.451,linear,-0.37599999999999995,Asia
Berlin,0.186,0.01,0.188,0.08,0.266,linear,0.186,Europe
Bern,-0.065,0.517,0.011,0.57,0.504,linear,-0.06599999999999995,Europe
Bogota,0.26,0.03,0.118,0.251,0.511,linear,0.26,South America
Boston,0.12,0.052,0.087,0.137,0.257,linear,0.12,North America
Bradford,-0.018,0.845,0.002,0.272,0.254,linear,-0.018000000000000016,North America
Brantford,0.1,0.321,0.039,0.276,0.376,linear,0.09999999999999998,North America
Brighton,0.332,0.001,0.239,0.298,0.63,linear,0.332,Europe
Brussels,0.819,0,0.078,-0.068,-0.054,quadratic,0.014000000000000005,Europe
Buenos_Aires,0.024,0.725,0.003,0.737,0.761,linear,0.02400000000000002,South America
Burlington,-0.205,0.016,0.114,0.682,0.476,linear,-0.20600000000000007,North America
Calgary,0.201,0.03,0.118,0.083,0.283,linear,0.19999999999999996,North America
Cambridge,0.444,0,0.353,0.129,0.573,linear,0.44399999999999995,Europe
Canberra,-0.013,0.888,0.001,0.742,0.729,linear,-0.013000000000000012,Oceania
Cape_Town,0.103,0.558,0.019,0.779,0.882,linear,0.10299999999999998,Africa
Charlotte,0.702,0.012,0.166,0.258,0.201,quadratic,-0.056999999999999995,North America
Charlottetown,0.027,0.691,0.004,0.346,0.373,linear,0.027000000000000024,North America
Chicago,0.156,0.033,0.102,0.156,0.311,linear,0.155,North America
Christchurch,1.061,0.002,0.422,0.389,0.761,quadratic,0.372,Oceania
Cincinnati,0.036,0.624,0.006,0.191,0.226,linear,0.035,North America
Cleveland,0.094,0.094,0.072,0.225,0.318,linear,0.093,North America
Cobourg,-0.012,0.909,0.001,0.211,0.199,linear,-0.011999999999999983,North America
Cologne,-0.006,0.964,0,0.407,0.401,linear,-0.00599999999999995,Europe
Curitiba,-0.056,0.366,0.025,0.791,0.736,linear,-0.05500000000000005,South America
Denver,-0.047,0.694,0.004,0.22,0.173,linear,-0.047000000000000014,North America
Detroit,0.053,0.52,0.011,0.297,0.349,linear,0.05199999999999999,North America
Edmonton,0.058,0.454,0.013,0.145,0.202,linear,0.05700000000000002,North America
Elmira,-0.08,0.561,0.019,0.418,0.338,linear,-0.07999999999999996,North America
Everett,0.137,0.125,0.126,0.221,0.358,linear,0.13699999999999998,North America
Fairbanks,-14.33,0.637,0.006,14.416,0.086,linear,-14.33,North America
Fergus,0.288,0.006,0.355,0.347,0.636,linear,0.28900000000000003,North America
Fort_Collins,0.094,0.608,0.013,0.117,0.212,linear,0.09499999999999999,North America
Frankfurt,0.25,0.054,0.092,0.258,0.508,linear,0.25,Europe
Fredericton,0.483,0.005,0.171,0.087,0.078,quadratic,-0.008999999999999994,North America
Freehold,-0.144,0.005,0.166,0.23,0.086,linear,-0.14400000000000002,North America
Georgetown,0.136,0.339,0.051,0.279,0.415,linear,0.13599999999999995,North America
Ghent,0.185,0.031,0.117,0.094,0.279,linear,0.18500000000000003,Europe
Glasgow,-0.21,0.076,0.08,0.432,0.223,linear,-0.209,Europe
Guelph,0.315,0.005,0.363,0.163,0.478,linear,0.31499999999999995,North America
Halifax,0.03,0.504,0.012,0.087,0.117,linear,0.030000000000000013,North America
Halle,0.938,0.003,0.283,0.075,0.248,quadratic,0.173,Europe
Helsinki,-0.008,0.92,0,0.089,0.081,linear,-0.007999999999999993,Europe
Hempstead,0.218,0.012,0.159,0.083,0.301,linear,0.21799999999999997,North America
Hiroshima,-0.007,0.954,0,0.298,0.292,linear,-0.006000000000000005,Asia
Houston,0.843,0.002,0.261,0.734,0.864,quadratic,0.13,North America
Indianapolis,0.043,0.343,0.019,0.098,0.141,linear,0.04299999999999998,North America
Jacksonville,1.372,0,0.456,0.59,0.869,quadratic,0.279,North America
Kalamazoo,0.005,0.928,0,0.247,0.252,linear,0.0050000000000000044,North America
Kingston,0.071,0.599,0.009,0.25,0.321,linear,0.07100000000000001,North America
Kunming,-0.109,0.449,0.012,0.595,0.486,linear,-0.10899999999999999,Asia
Kyoto,-0.2,0.039,0.097,0.382,0.182,linear,-0.2,Asia
La_Verne,0.1,0.386,0.02,0.137,0.237,linear,0.09999999999999998,North America
Lake_Charles,0.393,0.044,0.087,0.634,1.027,linear,0.3929999999999999,North America
Landshut,-0.051,0.584,0.006,0.236,0.184,linear,-0.05199999999999999,Europe
Lansing,-0.008,0.903,0,0.187,0.179,linear,-0.008000000000000007,North America
Lanzhou,-1.422,0.001,0.289,0.835,0.567,quadratic,-0.268,Asia
Latacunga,0.224,0.12,0.063,0.242,0.466,linear,0.22400000000000003,South America
Leiden,0.204,0.027,0.129,0.027,0.231,linear,0.20400000000000001,Europe
Leuven,0.115,0.343,0.03,0.248,0.363,linear,0.11499999999999999,Europe
Linkoping,-0.355,0.105,0.439,0.055,0.36,quadratic,0.305,Europe
Lisbon,-0.319,0.052,0.081,0.937,0.619,linear,-0.31800000000000006,Europe
Little_Rock,0.398,0.008,0.194,0.235,0.633,linear,0.398,North America
Loja,-0.508,0.063,0.248,0.194,0.37,quadratic,0.176,South America
London,0.639,0.034,0.131,0.191,0.162,quadratic,-0.028999999999999998,North America
Los_Angeles,0.06,0.568,0.008,0.401,0.462,linear,0.061,North America
Louisville,-0.036,0.608,0.006,0.192,0.155,linear,-0.037000000000000005,North America
Madison,0.057,0.148,0.043,0.104,0.161,linear,0.05700000000000001,North America
Manchester,0.2,0.123,0.061,0.265,0.466,linear,0.201,Europe
Medellin,-0.108,0.022,0.13,0.093,-0.015,linear,-0.108,South America
Melbourne,0.286,0.072,0.107,0.49,0.776,linear,0.28600000000000003,Oceania
Memphis,0.146,0.174,0.033,0.398,0.544,linear,0.14600000000000002,North America
Mexico_City,-0.056,0.777,0.003,0.802,0.745,linear,-0.05700000000000005,North America
Minneapolis,0.044,0.297,0.026,0.031,0.075,linear,0.044,North America
Moncton,0.342,0.032,0.121,0.077,0.067,quadratic,-0.009999999999999995,North America
Montreal,-0.058,0.57,0.007,0.475,0.417,linear,-0.057999999999999996,North America
Morelia,0.324,0.06,0.092,0.35,0.674,linear,0.32400000000000007,North America
Morelia,0.324,0.06,0.092,0.35,0.674,linear,0.32400000000000007,NA
Muenster,0.501,0,0.276,0.036,0.537,linear,0.501,Europe
Munich,0.086,0.335,0.019,0.243,0.328,linear,0.08500000000000002,Europe
New_Haven,0.151,0.024,0.127,0.151,0.301,linear,0.15,North America
New_Tecumseth,-0.085,0.432,0.035,0.355,0.27,linear,-0.08499999999999996,North America
New_York,0.169,0.013,0.127,0.092,0.261,linear,0.169,North America
Newcastle,0.3,0.089,0.066,0.389,0.69,linear,0.30099999999999993,Oceania
Norfolk,0.416,0,0.269,0.229,0.645,linear,0.41600000000000004,North America
Norrtalje,-0.019,0.806,0.002,0.145,0.126,linear,-0.01899999999999999,Europe
North_Bay,-0.034,0.722,0.003,0.303,0.27,linear,-0.032999999999999974,North America
Orangeville,0.057,0.574,0.011,0.335,0.392,linear,0.056999999999999995,North America
Ottawa,-1.021,0.012,0.162,0.418,0.508,quadratic,0.09000000000000002,North America
Palmerston_North,0.414,0,0.547,0.548,0.963,linear,0.4149999999999999,Oceania
Paris,-0.059,0.568,0.007,0.667,0.609,linear,-0.05800000000000005,Europe
Parramata,2.109,0,0.651,-0.073,0.796,quadratic,0.869,Oceania
Philadelphia,-0.031,0.627,0.006,0.211,0.18,linear,-0.031,North America
Pittsburgh,0.07,0.324,0.026,0.191,0.261,linear,0.07,North America
Port_Hope,0.149,0.106,0.109,0.192,0.341,linear,0.14900000000000002,North America
Portland,0.007,0.91,0,0.18,0.187,linear,0.007000000000000006,North America
Portlandme,-0.044,0.563,0.008,0.213,0.169,linear,-0.043999999999999984,North America
Providence,0.117,0.031,0.109,0.136,0.254,linear,0.118,North America
Punta_Arenas,0.211,0.008,0.162,0.589,0.8,linear,0.21100000000000008,South America
