OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,Los_Angeles_gcs_PET_annual_OID,Los_Angeles_gcs_PET_annual_FID_,Los_Angeles_gcs_PET_annual_COUNT,Los_Angeles_gcs_PET_annual_AREA,Los_Angeles_gcs_PET_annual_MEAN
-1,Los_Angeles,1,34.040430999999998,-118.218226000000001,20,4,0.200000000000000,34.050249000000001,-118.254907000000003,USA,North America,3.551600000000000,42.239899999999999,0.084100000000000,0,0,1,0.000069444451688,1294.000000000000000
-1,Los_Angeles,2,34.052954000000000,-118.217449999999999,20,2,0.100000000000000,34.050249000000001,-118.254907000000003,USA,North America,3.463900000000000,42.239899999999999,0.082000000000000,1,1,1,0.000069444451688,1303.000000000000000
-1,Los_Angeles,3,34.053733999999999,-118.243634999999998,19,7,0.368000000000000,34.050249000000001,-118.254907000000003,USA,North America,1.108400000000000,42.239899999999999,0.026200000000000,2,2,1,0.000069444451688,1293.000000000000000
-1,Los_Angeles,4,34.056469999999997,-118.244870000000006,15,14,0.933000000000000,34.050249000000001,-118.254907000000003,USA,North America,1.154800000000000,42.239899999999999,0.027300000000000,,,,,
-1,Los_Angeles,5,34.061556000000003,-118.257965999999996,20,10,0.500000000000000,34.050249000000001,-118.254907000000003,USA,North America,1.288500000000000,42.239899999999999,0.030500000000000,3,4,1,0.000069444451688,1295.000000000000000
-1,Los_Angeles,6,34.072367000000000,-118.261555999999999,20,3,0.150000000000000,34.050249000000001,-118.254907000000003,USA,North America,2.534500000000000,42.239899999999999,0.060000000000000,4,5,1,0.000069444451688,1297.000000000000000
-1,Los_Angeles,7,34.060243999999997,-118.276362000000006,20,7,0.350000000000000,34.050249000000001,-118.254907000000003,USA,North America,2.267600000000000,42.239899999999999,0.053700000000000,5,6,1,0.000069444451688,1275.000000000000000
-1,Los_Angeles,8,34.061695999999998,-118.281947000000002,20,1,0.050000000000000,34.050249000000001,-118.254907000000003,USA,North America,2.797400000000000,42.239899999999999,0.066200000000000,,,,,
-1,Los_Angeles,9,34.067945999999999,-118.287456000000006,20,13,0.650000000000000,34.050249000000001,-118.254907000000003,USA,North America,3.586500000000000,42.239899999999999,0.084900000000000,6,8,1,0.000069444451688,1274.000000000000000
-1,Los_Angeles,10,34.084595000000000,-118.282285999999999,20,7,0.350000000000000,34.050249000000001,-118.254907000000003,USA,North America,4.576600000000000,42.239899999999999,0.108300000000000,7,9,1,0.000069444451688,1296.000000000000000
-1,Los_Angeles,11,34.099882000000001,-118.294815000000000,20,8,0.400000000000000,34.050249000000001,-118.254907000000003,USA,North America,6.630900000000000,42.239899999999999,0.157000000000000,8,10,1,0.000069444451688,1288.000000000000000
-1,Los_Angeles,12,34.096096000000003,-118.334806000000000,18,4,0.222000000000000,34.050249000000001,-118.254907000000003,USA,North America,8.952400000000001,42.239899999999999,0.211900000000000,9,11,1,0.000069444451688,1266.000000000000000
-1,Los_Angeles,13,34.105432999999998,-118.349725000000007,20,17,0.850000000000000,34.050249000000001,-118.254907000000003,USA,North America,10.673000000000000,42.239899999999999,0.252700000000000,10,12,1,0.000069444451688,1282.000000000000000
-1,Los_Angeles,14,34.102240899999998,-118.342275000000001,20,11,0.550000000000000,34.050249000000001,-118.254907000000003,USA,North America,9.908200000000001,42.239899999999999,0.234600000000000,,,,,
-1,Los_Angeles,15,34.109552999999998,-118.336793000000000,16,8,0.500000000000000,34.050249000000001,-118.254907000000003,USA,North America,10.018000000000001,42.239899999999999,0.237200000000000,11,14,1,0.000069444451688,1299.000000000000000
