continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating,max_qubit,initial_vol,TE_vol,leftover,Bioruptor_label
NAM,Albuquerque,1,19,u,Albuquerque_1_19,6.78,NA,6.5,a,1,a,1,6.78,25,0,No,ABQ-21
NAM,Albuquerque,1,10,u,Albuquerque_1_10,8.29,NA,12.8,c,1,b,1,12.8,19.53,5.47,Yes,ABQ-22
NAM,Albuquerque,1,8,u,Albuquerque_1_8,3.32,NA,13.4,e,1,d,1,13.4,18.66,6.34,Yes,ABQ-23
NAM,Albuquerque,1,7,u,Albuquerque_1_7,8.05,NA,20.8,f,1,e,1,20.8,12.02,12.98,Yes,ABQ-24
NAM,Albuquerque,1,5,u,Albuquerque_1_5,22.6,NA,NA,g,1,NA,NA,22.6,11.06,13.94,Yes,ABQ-25
NAM,Albuquerque,1,4,u,Albuquerque_1_4,15.3,NA,17.4,h,1,f,1,17.4,14.37,10.63,Yes,ABQ-26
NAM,Albuquerque,1,3,u,Albuquerque_1_3,6.68,NA,33.6,a,2,g,1,33.6,7.44,17.56,Yes,ABQ-27
NAM,Albuquerque,2,14,u,Albuquerque_2_14,8.28,NA,3.64,b,2,h,1,8.28,25,0,No,ABQ-28
NAM,Albuquerque,2,13,u,Albuquerque_2_13,9.97,NA,0,c,2,a,2,9.97,25,0,No,ABQ-29
NAM,Albuquerque,2,12,u,Albuquerque_2_12,1.18,NA,0,d,2,b,2,1.18,25,0,No,ABQ-30
NAM,Albuquerque,2,8,u,Albuquerque_2_8,0,NA,17.7,e,2,c,2,17.7,14.12,10.88,Yes,ABQ-31
NAM,Albuquerque,2,6,u,Albuquerque_2_6,0,NA,63.4,g,2,e,2,63.4,3.94,21.06,Yes,ABQ-32
NAM,Albuquerque,2,3,u,Albuquerque_2_3,3.97,NA,179,h,2,f,2,179,1.4,23.6,Yes,ABQ-33
NAM,Albuquerque,2,1,u,Albuquerque_2_1,0,NA,26,a,3,g,2,26,9.62,15.38,Yes,ABQ-34
NAM,Albuquerque,2,19,u,Albuquerque_2_19,2.49,NA,32.8,c,3,a,3,32.8,7.62,17.38,Yes,ABQ-35
NAM,Albuquerque,3,7,u,Albuquerque_3_7,0,NA,50.6,f,3,d,3,50.6,4.94,20.06,Yes,ABQ-36
NAM,Albuquerque,3,9,u,Albuquerque_3_9,0,NA,2.98,h,3,f,3,2.98,25,0,No,ABQ-37
NAM,Albuquerque,3,10,u,Albuquerque_3_10,2.04,NA,0,a,4,g,3,2.04,25,0,No,ABQ-38
NAM,Albuquerque,3,12,u,Albuquerque_3_12,8.19,NA,8.6,c,4,a,4,8.6,25,0,No,ABQ-39
NAM,Albuquerque,3,14,u,Albuquerque_3_14,0,NA,14.4,d,4,b,4,14.4,17.36,7.64,Yes,ABQ-40
NAM,Albuquerque,3,16,u,Albuquerque_3_16,0,NA,28.8,e,4,c,4,28.8,8.68,16.32,Yes,ABQ-41
NAM,Albuquerque,14,1,u,Albuquerque_14_1,0,NA,30.4,f,4,d,4,30.4,8.22,16.78,Yes,ABQ-42
NAM,Albuquerque,14,3,u,Albuquerque_14_3,0,NA,22.2,g,4,e,4,22.2,11.26,13.74,Yes,ABQ-43
NAM,Albuquerque,14,4,u,Albuquerque_14_4,0,NA,100,h,4,f,4,100,2.5,22.5,Yes,ABQ-44
NAM,Albuquerque,14,5,u,Albuquerque_14_5,1.55,NA,23,a,5,g,4,23,10.87,14.13,Yes,ABQ-45
NAM,Albuquerque,14,8,u,Albuquerque_14_8,6.73,NA,19.4,c,5,a,5,19.4,12.89,12.11,Yes,ABQ-46
NAM,Albuquerque,14,10,u,Albuquerque_14_10,0,NA,22.6,d,5,b,5,22.6,11.06,13.94,Yes,ABQ-47
NAM,Albuquerque,14,14,u,Albuquerque_14_14,0,NA,91.2,e,5,c,5,91.2,2.74,22.26,Yes,ABQ-48
NAM,Albuquerque,14,17,u,Albuquerque_14_17,0,NA,94.8,f,5,d,5,94.8,2.64,22.36,Yes,ABQ-49
NAM,Albuquerque,15,1,u,Albuquerque_15_1,0,NA,65.2,h,5,f,5,65.2,3.83,21.17,Yes,ABQ-50
NAM,Albuquerque,15,2,u,Albuquerque_15_2,0,NA,3.24,a,6,g,5,3.24,25,0,No,ABQ-51
NAM,Albuquerque,15,5,u,Albuquerque_15_5,1.42,NA,11.1,c,6,a,6,11.1,22.52,2.48,No,ABQ-52
NAM,Albuquerque,15,8,u,Albuquerque_15_8,0,NA,26.8,d,6,b,6,26.8,9.33,15.67,Yes,ABQ-53
NAM,Albuquerque,15,9,u,Albuquerque_15_9,1.56,NA,32.4,e,6,c,6,32.4,7.72,17.28,Yes,ABQ-54
NAM,Albuquerque,15,11,u,Albuquerque_15_11,2.85,NA,19,g,6,e,6,19,13.16,11.84,Yes,ABQ-55
NAM,Albuquerque,15,7,u,Albuquerque_15_7,0,NA,18.4,h,6,f,6,18.4,13.59,11.41,Yes,ABQ-56
NAM,Albuquerque,29,1,r,Albuquerque_29_1,1.16,NA,0,a,7,g,6,1.16,25,0,No,ABQ-57
NAM,Albuquerque,29,6,r,Albuquerque_29_6,2.06,NA,13.7,d,7,a,7,13.7,18.25,6.75,Yes,ABQ-58
NAM,Albuquerque,29,7,r,Albuquerque_29_7,20.4,NA,17.2,e,7,b,7,20.4,12.25,12.75,Yes,ABQ-59
NAM,Albuquerque,29,8,r,Albuquerque_29_8,1.33,NA,0,f,7,c,7,1.33,25,0,No,ABQ-60
NAM,Albuquerque,29,12,r,Albuquerque_29_12,1.26,NA,38.6,h,7,e,7,38.6,6.48,18.52,Yes,ABQ-61
NAM,Albuquerque,29,13,r,Albuquerque_29_13,2.5,NA,0,a,8,f,7,2.5,25,0,No,ABQ-62
NAM,Albuquerque,32,1,r,Albuquerque_32_1,3.09,NA,2.28,b,8,g,7,3.09,25,0,No,ABQ-63
NAM,Albuquerque,32,7,r,Albuquerque_32_7,8.89,NA,7.48,d,8,a,8,8.89,25,0,No,ABQ-64
NAM,Albuquerque,32,8,r,Albuquerque_32_8,0,NA,21.4,e,8,b,8,21.4,11.68,13.32,Yes,ABQ-65
NAM,Albuquerque,32,9,r,Albuquerque_32_9,7.03,NA,19.8,f,8,c,8,19.8,12.63,12.37,Yes,ABQ-66
NAM,Albuquerque,32,10,r,Albuquerque_32_10,7.2,NA,11.7,g,8,d,8,11.7,21.37,3.63,No,ABQ-67
NAM,Albuquerque,32,11,r,Albuquerque_32_11,2.12,NA,45.4,h,8,e,8,45.4,5.51,19.49,Yes,ABQ-68
NAM,Albuquerque,32,12,r,Albuquerque_32_12,5.47,NA,37.2,a,9,f,8,37.2,6.72,18.28,Yes,ABQ-69
NAM,Albuquerque,32,14,r,Albuquerque_32_14,12.9,NA,NA,c,9,NA,NA,12.9,19.38,5.62,Yes,ABQ-70
NAM,Albuquerque,33,1,r,Albuquerque_33_1,22.5,NA,NA,d,9,NA,NA,22.5,11.11,13.89,Yes,ABQ-71
NAM,Albuquerque,33,4,r,Albuquerque_33_4,26.3,NA,NA,f,9,NA,NA,26.3,9.51,15.49,Yes,ABQ-72
NAM,Albuquerque,33,6,r,Albuquerque_33_6,3.93,NA,16.8,g,9,h,8,16.8,14.88,10.12,Yes,ABQ-73
NAM,Albuquerque,33,9,r,Albuquerque_33_9,4.13,NA,0,a,10,a,9,4.13,25,0,No,ABQ-74
NAM,Albuquerque,33,10,r,Albuquerque_33_10,6.73,NA,21.8,b,10,b,9,21.8,11.47,13.53,Yes,ABQ-75
NAM,Albuquerque,33,11,r,Albuquerque_33_11,9.94,NA,22.4,c,10,c,9,22.4,11.16,13.84,Yes,ABQ-76
NAM,Albuquerque,33,12,r,Albuquerque_33_12,3.7,NA,68.6,d,10,d,9,68.6,3.64,21.36,Yes,ABQ-77
NAM,Albuquerque,33,14,r,Albuquerque_33_14,44.3,NA,NA,e,10,NA,NA,44.3,5.64,19.36,Yes,ABQ-78
NAM,Albuquerque,35,8,r,Albuquerque_35_8,2.51,NA,35.2,f,10,e,9,35.2,7.1,17.9,Yes,ABQ-79
NAM,Albuquerque,35,4,r,Albuquerque_35_4,5.07,NA,6.24,h,10,g,9,6.24,25,0,No,ABQ-80
NAM,Albuquerque,35,9,r,Albuquerque_35_9,19.6,NA,NA,b,11,NA,NA,19.6,12.76,12.24,Yes,ABQ-81
NAM,Albuquerque,35,7,r,Albuquerque_35_7,4.07,NA,0,c,11,a,10,4.07,25,0,No,ABQ-82
NAM,Albuquerque,35,5,r,Albuquerque_35_5,4.11,NA,NA,d,11,NA,NA,4.11,25,0,No,ABQ-83
NAM,Albuquerque,35,10,r,Albuquerque_35_10,5.05,NA,NA,e,11,NA,NA,5.05,25,0,No,ABQ-84
NAM,Albuquerque,35,11,r,Albuquerque_35_11,2.85,NA,25.8,f,11,b,10,25.8,9.69,15.31,Yes,ABQ-85
NAM,Albuquerque,36,2,r,Albuquerque_36_2,4.02,NA,6.78,g,11,c,10,6.78,25,0,No,ABQ-86
NAM,Albuquerque,36,9,r,Albuquerque_36_9,13.9,NA,NA,h,11,NA,NA,13.9,17.99,7.01,Yes,ABQ-87
NAM,Albuquerque,36,7,r,Albuquerque_36_7,21.5,NA,NA,c,12,NA,NA,21.5,11.63,13.37,Yes,ABQ-88
NAM,Albuquerque,36,13,r,Albuquerque_36_13,6.3,NA,22,d,12,f,10,22,11.36,13.64,Yes,ABQ-89
NAM,Albuquerque,36,12,r,Albuquerque_36_12,10.5,NA,NA,e,12,NA,NA,10.5,23.81,1.19,No,ABQ-90
NAM,Albuquerque,36,10,r,Albuquerque_36_10,3.44,NA,12.9,f,12,g,10,12.9,19.38,5.62,Yes,ABQ-91
NAM,Albuquerque,36,1,r,Albuquerque_36_1,3.04,NA,2.64,g,12,h,10,3.04,25,0,No,ABQ-92
NAM,Albuquerque,36,6,r,Albuquerque_36_6,14.1,NA,NA,h,12,NA,NA,14.1,17.73,7.27,Yes,ABQ-93
EU,Antwerp,1,2,u,Antwerp_1_2,27,NA,NA,b,1,NA,NA,27,9.26,15.74,Yes,ANT-21
EU,Antwerp,1,17,u,Antwerp_1_17,19.7,NA,NA,c,1,NA,NA,19.7,12.69,12.31,Yes,ANT-22
EU,Antwerp,1,5,u,Antwerp_1_5,24,NA,NA,e,1,NA,NA,24,10.42,14.58,Yes,ANT-23
EU,Antwerp,1,9,u,Antwerp_1_9,15.7,NA,NA,f,1,NA,NA,15.7,15.92,9.08,Yes,ANT-24
EU,Antwerp,1,13,u,Antwerp_1_13,17.8,NA,NA,g,1,NA,NA,17.8,14.04,10.96,Yes,ANT-25
EU,Antwerp,1,19,u,Antwerp_1_19,26.5,NA,NA,h,1,NA,NA,26.5,9.43,15.57,Yes,ANT-26
EU,Antwerp,1,7,u,Antwerp_1_7,15.5,NA,NA,a,2,NA,NA,15.5,16.13,8.87,Yes,ANT-27
EU,Antwerp,1,14,u,Antwerp_1_14,12.5,NA,NA,b,2,NA,NA,12.5,20,5,No,ANT-28
EU,Antwerp,2,6,u,Antwerp_2_6,13.8,NA,NA,c,2,NA,NA,13.8,18.12,6.88,Yes,ANT-29
EU,Antwerp,2,13,u,Antwerp_2_13,16.2,NA,NA,d,2,NA,NA,16.2,15.43,9.57,Yes,ANT-30
EU,Antwerp,2,11,u,Antwerp_2_11,25,NA,NA,f,2,NA,NA,25,10,15,Yes,ANT-31
EU,Antwerp,2,12,u,Antwerp_2_12,6.5,NA,40.8,g,2,b,1,40.8,6.13,18.87,Yes,ANT-32
EU,Antwerp,2,15,u,Antwerp_2_15,11.9,NA,NA,a,3,NA,NA,11.9,21.01,3.99,No,ANT-33
EU,Antwerp,2,9,u,Antwerp_2_9,20.4,NA,NA,b,3,NA,NA,20.4,12.25,12.75,Yes,ANT-34
EU,Antwerp,2,5,u,Antwerp_2_5,27,NA,NA,c,3,NA,NA,27,9.26,15.74,Yes,ANT-35
EU,Antwerp,2,4,u,Antwerp_2_4,13.9,NA,NA,d,3,NA,NA,13.9,17.99,7.01,Yes,ANT-36
EU,Antwerp,3,13,u,Antwerp_3_13,10.4,NA,NA,e,3,NA,NA,10.4,24.04,0.96,No,ANT-37
EU,Antwerp,3,12,u,Antwerp_3_12,1.2,NA,1100,f,3,c,1,1100,0.23,24.77,Yes,ANT-38
EU,Antwerp,3,15,u,Antwerp_3_15,6.3,NA,24.4,g,3,d,1,24.4,10.25,14.75,Yes,ANT-39
EU,Antwerp,3,10,u,Antwerp_3_10,31.5,NA,NA,h,3,NA,NA,31.5,7.94,17.06,Yes,ANT-40
EU,Antwerp,3,6,u,Antwerp_3_6,13.7,NA,NA,a,4,NA,NA,13.7,18.25,6.75,Yes,ANT-41
EU,Antwerp,3,5,u,Antwerp_3_5,24,NA,NA,d,4,NA,NA,24,10.42,14.58,Yes,ANT-42
EU,Antwerp,3,14,u,Antwerp_3_14,6.5,NA,94.6,e,4,e,1,94.6,2.64,22.36,Yes,ANT-43
EU,Antwerp,4,9,u,Antwerp_4_9,8.225,NA,50.8,f,4,f,1,50.8,4.92,20.08,Yes,ANT-44
EU,Antwerp,4,8,u,Antwerp_4_8,10.5,NA,NA,g,4,NA,NA,10.5,23.81,1.19,No,ANT-45
EU,Antwerp,4,20,u,Antwerp_4_20,7.375,NA,64.8,h,4,g,1,64.8,3.86,21.14,Yes,ANT-46
EU,Antwerp,4,15,u,Antwerp_4_15,1.08,NA,17.5,b,5,a,2,17.5,14.29,10.71,Yes,ANT-47
EU,Antwerp,4,16,u,Antwerp_4_16,1.21,NA,1300,c,5,b,2,1300,0.19,24.81,Yes,ANT-48
EU,Antwerp,4,11,u,Antwerp_4_11,0,NA,100,d,5,c,2,100,2.5,22.5,Yes,ANT-49
EU,Antwerp,4,1,u,Antwerp_4_1,0,NA,4.14,e,5,d,2,4.14,25,0,No,ANT-50
EU,Antwerp,4,18,u,Antwerp_4_18,4.7,NA,424,f,5,e,2,424,0.59,24.41,Yes,ANT-51
EU,Antwerp,5,15,u,Antwerp_5_15,11.2,NA,NA,h,5,NA,NA,11.2,22.32,2.68,No,ANT-52
EU,Antwerp,5,5,u,Antwerp_5_5,8.5,NA,492,b,6,f,2,492,0.51,24.49,Yes,ANT-53
EU,Antwerp,5,8,u,Antwerp_5_8,4.125,NA,99.8,d,6,g,2,99.8,2.51,22.49,Yes,ANT-54
EU,Antwerp,5,6,u,Antwerp_5_6,5.8,NA,38.8,e,6,h,2,38.8,6.44,18.56,Yes,ANT-55
EU,Antwerp,5,10,u,Antwerp_5_10,25.9,NA,NA,f,6,NA,NA,25.9,9.65,15.35,Yes,ANT-56
EU,Antwerp,5,18,u,Antwerp_5_18,14.5,NA,NA,g,6,NA,NA,14.5,17.24,7.76,Yes,ANT-57
EU,Antwerp,5,17,u,Antwerp_5_17,11.9,NA,NA,h,6,NA,NA,11.9,21.01,3.99,No,ANT-58
EU,Antwerp,36,13,r,Antwerp_36_13,6.95,NA,0,a,7,a,3,6.95,25,0,No,ANT-59
EU,Antwerp,36,12,r,Antwerp_36_12,9.95,NA,64.4,b,7,b,3,64.4,3.88,21.12,Yes,ANT-60
EU,Antwerp,36,11,r,Antwerp_36_11,11.8,NA,NA,c,7,NA,NA,11.8,21.19,3.81,No,ANT-61
EU,Antwerp,36,15,r,Antwerp_36_15,6.45,NA,12,d,7,c,3,12,20.83,4.17,No,ANT-62
EU,Antwerp,36,9,r,Antwerp_36_9,12.2,NA,NA,e,7,NA,NA,12.2,20.49,4.51,No,ANT-63
EU,Antwerp,36,14,r,Antwerp_36_14,20.8,NA,NA,g,7,NA,NA,20.8,12.02,12.98,Yes,ANT-64
EU,Antwerp,36,2,r,Antwerp_36_2,7.375,NA,124,h,7,d,3,124,2.02,22.98,Yes,ANT-65
EU,Antwerp,36,7,r,Antwerp_36_7,10.3,NA,NA,a,8,NA,NA,10.3,24.27,0.73,No,ANT-66
EU,Antwerp,37,1,r,Antwerp_37_1,10.7,NA,NA,d,8,NA,NA,10.7,23.36,1.64,No,ANT-67
EU,Antwerp,37,15,r,Antwerp_37_15,3.85,NA,75.8,e,8,f,3,75.8,3.3,21.7,Yes,ANT-68
EU,Antwerp,37,17,r,Antwerp_37_17,13.5,NA,NA,f,8,NA,NA,13.5,18.52,6.48,Yes,ANT-69
EU,Antwerp,37,3,r,Antwerp_37_3,23.5,NA,NA,g,8,NA,NA,23.5,10.64,14.36,Yes,ANT-70
EU,Antwerp,37,7,r,Antwerp_37_7,12.6,NA,NA,h,8,NA,NA,12.6,19.84,5.16,Yes,ANT-71
EU,Antwerp,37,6,r,Antwerp_37_6,6.7,NA,21.8,a,9,g,3,21.8,11.47,13.53,Yes,ANT-72
EU,Antwerp,37,9,r,Antwerp_37_9,5.675,NA,18.4,b,9,h,3,18.4,13.59,11.41,Yes,ANT-73
EU,Antwerp,37,19,r,Antwerp_37_19,9.525,NA,0,c,9,a,4,9.525,25,0,No,ANT-74
EU,Antwerp,38,17,r,Antwerp_38_17,3.65,NA,35,e,9,c,4,35,7.14,17.86,Yes,ANT-75
EU,Antwerp,38,12,r,Antwerp_38_12,13.2,NA,NA,f,9,NA,NA,13.2,18.94,6.06,Yes,ANT-76
EU,Antwerp,38,6,r,Antwerp_38_6,24.7,NA,NA,g,9,NA,NA,24.7,10.12,14.88,Yes,ANT-77
EU,Antwerp,38,13,r,Antwerp_38_13,22.1,NA,NA,h,9,NA,NA,22.1,11.31,13.69,Yes,ANT-78
EU,Antwerp,38,20,r,Antwerp_38_20,14.7,NA,NA,b,10,NA,NA,14.7,17.01,7.99,Yes,ANT-79
EU,Antwerp,38,5,r,Antwerp_38_5,3.275,NA,274,c,10,d,4,274,0.91,24.09,Yes,ANT-80
EU,Antwerp,38,1,r,Antwerp_38_1,10.9,NA,NA,d,10,NA,NA,10.9,22.94,2.06,No,ANT-81
EU,Antwerp,39,13,r,Antwerp_39_13,9.55,NA,187,f,10,e,4,187,1.34,23.66,Yes,ANT-82
EU,Antwerp,39,16,r,Antwerp_39_16,15.9,NA,NA,h,10,NA,NA,15.9,15.72,9.28,Yes,ANT-83
EU,Antwerp,39,10,r,Antwerp_39_10,6.3,NA,19.1,a,11,g,4,19.1,13.09,11.91,Yes,ANT-84
EU,Antwerp,39,3,r,Antwerp_39_3,26,NA,NA,b,11,NA,NA,26,9.62,15.38,Yes,ANT-85
