continent	city	pop	individual	site	sample	range
NAM	Albuquerque	29	5	r	Albuquerque_29_5	Introduced
NAM	Albuquerque	29	9	r	Albuquerque_29_9	Introduced
NAM	Albuquerque	32	13	r	Albuquerque_32_13	Introduced
NAM	Albuquerque	32	3	r	Albuquerque_32_3	Introduced
NAM	Albuquerque	33	2	r	Albuquerque_33_2	Introduced
NAM	Albuquerque	33	7	r	Albuquerque_33_7	Introduced
NAM	Albuquerque	35	12	r	Albuquerque_35_12	Introduced
NAM	Albuquerque	35	3	r	Albuquerque_35_3	Introduced
NAM	Albuquerque	36	3	r	Albuquerque_36_3	Introduced
NAM	Albuquerque	36	11	r	Albuquerque_36_11	Introduced
NAM	Albuquerque	1	9	u	Albuquerque_1_9	Introduced
NAM	Albuquerque	1	13	u	Albuquerque_1_13	Introduced
NAM	Albuquerque	14	7	u	Albuquerque_14_7	Introduced
NAM	Albuquerque	14	18	u	Albuquerque_14_18	Introduced
NAM	Albuquerque	15	4	u	Albuquerque_15_4	Introduced
NAM	Albuquerque	15	10	u	Albuquerque_15_10	Introduced
NAM	Albuquerque	2	15	u	Albuquerque_2_15	Introduced
NAM	Albuquerque	2	7	u	Albuquerque_2_7	Introduced
NAM	Albuquerque	3	1	u	Albuquerque_3_1	Introduced
NAM	Albuquerque	3	8	u	Albuquerque_3_8	Introduced
EU	Antwerp	36	4	r	Antwerp_36_4	Native
EU	Antwerp	36	8	r	Antwerp_36_8	Native
EU	Antwerp	37	13	r	Antwerp_37_13	Native
EU	Antwerp	37	11	r	Antwerp_37_11	Native
EU	Antwerp	38	14	r	Antwerp_38_14	Native
EU	Antwerp	38	10	r	Antwerp_38_10	Native
EU	Antwerp	39	15	r	Antwerp_39_15	Native
EU	Antwerp	39	9	r	Antwerp_39_9	Native
EU	Antwerp	40	5	r	Antwerp_40_5	Native
EU	Antwerp	40	10	r	Antwerp_40_10	Native
EU	Antwerp	1	10	u	Antwerp_1_10	Native
EU	Antwerp	1	11	u	Antwerp_1_11	Native
EU	Antwerp	2	3	u	Antwerp_2_3	Native
EU	Antwerp	2	7	u	Antwerp_2_7	Native
EU	Antwerp	3	1	u	Antwerp_3_1	Native
EU	Antwerp	3	9	u	Antwerp_3_9	Native
EU	Antwerp	4	10	u	Antwerp_4_10	Native
EU	Antwerp	4	3	u	Antwerp_4_3	Native
EU	Antwerp	5	4	u	Antwerp_5_4	Native
EU	Antwerp	5	9	u	Antwerp_5_9	Native
OCE	Armidale	35	11	r	Armidale_35_11	Introduced
OCE	Armidale	35	16	r	Armidale_35_16	Introduced
OCE	Armidale	36	6	r	Armidale_36_6	Introduced
OCE	Armidale	37	17	r	Armidale_37_17	Introduced
OCE	Armidale	39	11	r	Armidale_39_11	Introduced
OCE	Armidale	39	17	r	Armidale_39_17	Introduced
OCE	Armidale	40	16	r	Armidale_40_16	Introduced
OCE	Armidale	40	9	r	Armidale_40_9	Introduced
