continent,city,pop,individual,site,plantID,max_qubit,leftover,Bioruptor_label,lane,i5,i7,date_prepped,Notes,qubit1_hs,qubit2_hs,qubit3_hs,qubit4_hs,max_library_qubit,nM_concentration,serial_dilution_required,dilution_factor,conc_post_dilution,library_vol_forSerial,TE_vol_forSerial,library_volume_uL,TE_vol_uL
NAM,Albuquerque,29,5,r,Albuquerque_29_5,29.2,Yes,ABQ-1,1,iTru5_01_A,iTru7_101_01,6-Aug-2020,gel visualization issues,0,NA,NA,1.83,1.83,7.9,No,NA,NA,NA,NA,3.8,6.2
NAM,Albuquerque,29,9,r,Albuquerque_29_9,52.8,Yes,ABQ-2,1,iTru5_01_B,iTru7_101_01,6-Aug-2020,NA,0,NA,NA,2.08,2.08,9,No,NA,NA,NA,NA,3.3,6.7
NAM,Albuquerque,32,13,r,Albuquerque_32_13,30.8,Yes,ABQ-3,1,iTru5_01_C,iTru7_101_01,6-Aug-2020,no pre-PCR,2.22,NA,NA,NA,2.22,9.6,No,NA,NA,NA,NA,3.1,6.9
NAM,Albuquerque,32,3,r,Albuquerque_32_3,16.1,Yes,ABQ-4,1,iTru5_01_D,iTru7_101_01,6-Aug-2020,no pre-PCR,1.07,NA,NA,NA,1.07,4.6,No,NA,NA,NA,NA,6.5,3.5
NAM,Albuquerque,33,2,r,Albuquerque_33_2,60,Yes,ABQ-5,1,iTru5_01_E,iTru7_101_01,6-Aug-2020,no pre-PCR,2.3,NA,NA,NA,2.3,10,No,NA,NA,NA,NA,3,7
NAM,Albuquerque,33,7,r,Albuquerque_33_7,14,Yes,ABQ-6,1,iTru5_01_F,iTru7_101_01,6-Aug-2020,no pre-PCR,1.05,NA,NA,NA,1.05,4.5,No,NA,NA,NA,NA,6.7,3.3
NAM,Albuquerque,35,12,r,Albuquerque_35_12,12.8,Yes,ABQ-7,1,iTru5_01_G,iTru7_101_01,6-Aug-2020,no pre-PCR,0.822,NA,NA,NA,0.822,3.6,No,NA,NA,NA,NA,8.3,1.7
NAM,Albuquerque,35,3,r,Albuquerque_35_3,22.2,Yes,ABQ-8,1,iTru5_01_H,iTru7_101_01,6-Aug-2020,no pre-PCR,0.736,NA,NA,0.874,0.874,3.8,No,NA,NA,NA,NA,7.9,2.1
NAM,Albuquerque,36,3,r,Albuquerque_36_3,18.2,Yes,ABQ-9,1,iTru5_01_A,iTru7_101_02,14-Sept-2020,NA,0.928,NA,NA,NA,0.928,4,No,NA,NA,NA,NA,7.5,2.5
NAM,Albuquerque,36,11,r,Albuquerque_36_11,28.2,Yes,ABQ-10,1,iTru5_01_B,iTru7_101_02,14-Sept-2020,NA,1.09,NA,NA,NA,1.09,4.7,No,NA,NA,NA,NA,6.4,3.6
NAM,Albuquerque,1,9,u,Albuquerque_1_9,27.6,Yes,ABQ-11,1,iTru5_01_C,iTru7_101_02,14-Sept-2020,NA,2.44,NA,NA,NA,2.44,10.6,No,NA,NA,NA,NA,2.8,7.2
