continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating,max_qubit,initial_vol,TE_vol,leftover
NAM,Albuquerque,29,5,r,Albuquerque_29_5,6.45,NA,29.2,c,7,h,6,29.2,8.56,16.44,Yes
NAM,Albuquerque,29,9,r,Albuquerque_29_9,0,NA,52.8,g,7,d,7,52.8,4.73,20.27,Yes
NAM,Albuquerque,32,13,r,Albuquerque_32_13,30.8,NA,NA,b,9,NA,NA,30.8,8.12,16.88,Yes
NAM,Albuquerque,32,3,r,Albuquerque_32_3,4.21,NA,16.1,c,8,h,7,16.1,15.53,9.47,Yes
NAM,Albuquerque,33,2,r,Albuquerque_33_2,7.03,NA,60,e,9,g,8,60,4.17,20.83,Yes
NAM,Albuquerque,33,7,r,Albuquerque_33_7,14,NA,NA,h,9,NA,NA,14,17.86,7.14,Yes
NAM,Albuquerque,35,12,r,Albuquerque_35_12,4.23,NA,12.8,a,11,h,9,12.8,19.53,5.47,Yes
NAM,Albuquerque,35,3,r,Albuquerque_35_3,3.16,NA,22.2,g,10,f,9,22.2,11.26,13.74,Yes
NAM,Albuquerque,36,3,r,Albuquerque_36_3,4.14,NA,18.2,a,12,d,10,18.2,13.74,11.26,Yes
NAM,Albuquerque,36,11,r,Albuquerque_36_11,9.26,NA,28.2,b,12,e,10,28.2,8.87,16.13,Yes
NAM,Albuquerque,1,9,u,Albuquerque_1_9,27.6,NA,23.4,d,1,c,1,27.6,9.06,15.94,Yes
NAM,Albuquerque,1,13,u,Albuquerque_1_13,15.8,NA,NA,b,1,NA,NA,15.8,15.82,9.18,Yes
NAM,Albuquerque,14,7,u,Albuquerque_14_7,1.6700000000000002,NA,25.2,b,5,h,4,25.2,9.92,15.08,Yes
NAM,Albuquerque,14,18,u,Albuquerque_14_18,1.11,NA,53.4,g,5,e,5,53.4,4.68,20.32,Yes
NAM,Albuquerque,15,4,u,Albuquerque_15_4,17.5,NA,0,b,6,h,5,17.5,14.29,10.71,Yes
NAM,Albuquerque,15,10,u,Albuquerque_15_10,1.1900000000000002,NA,15.7,f,6,d,6,15.7,15.92,9.08,Yes
NAM,Albuquerque,2,15,u,Albuquerque_2_15,0,NA,23,b,3,h,2,23,10.87,14.13,Yes
NAM,Albuquerque,2,7,u,Albuquerque_2_7,0,NA,25.6,f,2,d,2,25.6,9.77,15.23,Yes
NAM,Albuquerque,3,1,u,Albuquerque_3_1,0,NA,43.8,d,3,b,3,43.8,5.71,19.29,Yes
NAM,Albuquerque,3,8,u,Albuquerque_3_8,1.97,NA,21,g,3,e,3,21,11.9,13.1,Yes
EU,Antwerp,36,4,r,Antwerp_36_4,11.5,NA,NA,f,7,NA,NA,11.5,21.74,3.26,No
EU,Antwerp,36,8,r,Antwerp_36_8,10.6,NA,NA,b,8,NA,NA,10.6,23.58,1.42,No
EU,Antwerp,37,13,r,Antwerp_37_13,8.350000000000001,NA,17.9,d,9,b,4,17.9,13.97,11.03,Yes
EU,Antwerp,37,11,r,Antwerp_37_11,9.7,NA,59,c,8,e,3,59,4.24,20.76,Yes
EU,Antwerp,38,14,r,Antwerp_38_14,13.2,NA,NA,a,10,NA,NA,13.2,18.94,6.06,Yes
EU,Antwerp,38,10,r,Antwerp_38_10,29.25,NA,NA,e,10,NA,NA,29.25,8.55,16.45,Yes
EU,Antwerp,39,15,r,Antwerp_39_15,4.075,NA,19.5,g,10,f,4,19.5,12.82,12.18,Yes
EU,Antwerp,39,9,r,Antwerp_39_9,12.4,NA,NA,f,11,NA,NA,12.4,20.16,4.84,No
EU,Antwerp,40,5,r,Antwerp_40_5,14.5,NA,NA,f,12,NA,NA,14.5,17.24,7.76,Yes
EU,Antwerp,40,10,r,Antwerp_40_10,42.5,NA,NA,h,11,NA,NA,42.5,5.88,19.12,Yes
EU,Antwerp,1,10,u,Antwerp_1_10,33.5,NA,NA,a,1,NA,NA,33.5,7.46,17.54,Yes
EU,Antwerp,1,11,u,Antwerp_1_11,27.5,NA,NA,d,1,NA,NA,27.5,9.09,15.91,Yes
EU,Antwerp,2,3,u,Antwerp_2_3,4.1,NA,19,e,2,a,1,19,13.16,11.84,Yes
EU,Antwerp,2,7,u,Antwerp_2_7,20.2,NA,NA,h,2,NA,NA,20.2,12.38,12.62,Yes
EU,Antwerp,3,1,u,Antwerp_3_1,16.1,NA,NA,b,4,NA,NA,16.1,15.53,9.47,Yes
EU,Antwerp,3,9,u,Antwerp_3_9,10.9,NA,NA,c,4,NA,NA,10.9,22.94,2.06,No
EU,Antwerp,4,10,u,Antwerp_4_10,0,NA,143,a,5,h,1,143,1.75,23.25,Yes
EU,Antwerp,4,3,u,Antwerp_4_3,17.6,NA,NA,g,5,NA,NA,17.6,14.2,10.8,Yes
EU,Antwerp,5,4,u,Antwerp_5_4,17.3,NA,NA,c,6,NA,NA,17.3,14.45,10.55,Yes
EU,Antwerp,5,9,u,Antwerp_5_9,18.7,NA,NA,a,6,NA,NA,18.7,13.37,11.63,Yes
OCE,Armidale,35,11,r,Armidale_35_11,12.9,NA,NA,a,7,NA,NA,12.9,19.38,5.62,Yes
OCE,Armidale,35,16,r,Armidale_35_16,12.6,NA,NA,a,8,NA,NA,12.6,19.84,5.16,Yes
OCE,Armidale,36,6,r,Armidale_36_6,19.8,NA,NA,d,8,NA,NA,19.8,12.63,12.37,Yes
OCE,Armidale,37,17,r,Armidale_37_17,11,NA,NA,f,9,NA,NA,11,22.73,2.27,No
OCE,Armidale,39,11,r,Armidale_39_11,20.8,NA,NA,c,11,NA,NA,20.8,12.02,12.98,Yes
OCE,Armidale,39,17,r,Armidale_39_17,12.6,NA,NA,e,11,NA,NA,12.6,19.84,5.16,Yes
OCE,Armidale,40,16,r,Armidale_40_16,13.8,NA,NA,d,12,NA,NA,13.8,18.12,6.88,Yes
OCE,Armidale,40,9,r,Armidale_40_9,12.8,NA,NA,g,11,NA,NA,12.8,19.53,5.47,Yes
OCE,Armidale,39,13,r,Armidale_39_13,25.6,NA,NA,d,11,NA,NA,25.6,9.77,15.23,Yes
OCE,Armidale,35,8,r,Armidale_35_8,41.5,NA,NA,c,7,NA,NA,41.5,6.02,18.98,Yes
OCE,Armidale,1,15,u,Armidale_1_15,19.9,NA,NA,c,1,NA,NA,19.9,12.56,12.44,Yes
OCE,Armidale,1,14,u,Armidale_1_14,19.9,NA,NA,b,1,NA,NA,19.9,12.56,12.44,Yes
OCE,Armidale,2,20,u,Armidale_2_20,10.4,NA,NA,b,3,NA,NA,10.4,24.04,0.96,No
OCE,Armidale,2,14,u,Armidale_2_14,15.1,NA,NA,c,3,NA,NA,15.1,16.56,8.44,Yes
OCE,Armidale,3,9,u,Armidale_3_9,16.7,NA,NA,f,3,NA,NA,16.7,14.97,10.03,Yes
OCE,Armidale,3,4,u,Armidale_3_4,22,NA,NA,b,4,NA,NA,22,11.36,13.64,Yes
OCE,Armidale,4,20,u,Armidale_4_20,21,NA,NA,h,4,NA,NA,21,11.9,13.1,Yes
OCE,Armidale,4,8,u,Armidale_4_8,34.9,NA,NA,g,4,NA,NA,34.9,7.16,17.84,Yes
OCE,Armidale,5,10,u,Armidale_5_10,10.6,NA,NA,d,6,NA,NA,10.6,23.58,1.42,No
OCE,Armidale,5,13,u,Armidale_5_13,33.5,NA,NA,f,6,NA,NA,33.5,7.46,17.54,Yes
NAM,Athens,21,3,r,Athens_21_3,17.6,NA,NA,h,7,NA,NA,17.6,14.2,10.8,Yes
NAM,Athens,21,18,r,Athens_21_18,4.75,NA,10.3,c,7,b,6,10.3,24.27,0.73,No
NAM,Athens,22,4,r,Athens_22_4,10.9,NA,NA,f,9,NA,NA,10.9,22.94,2.06,No
NAM,Athens,22,6,r,Athens_22_6,10.6,NA,NA,d,9,NA,NA,10.6,23.58,1.42,No
NAM,Athens,23,5,r,Athens_23_5,10.3,NA,NA,c,9,NA,NA,10.3,24.27,0.73,No
NAM,Athens,23,6,r,Athens_23_6,5.83,NA,71.6,a,9,e,7,71.6,3.49,21.51,Yes
NAM,Athens,24,17,r,Athens_24_17,18.5,NA,NA,h,10,NA,NA,18.5,13.51,11.49,Yes
NAM,Athens,24,7,r,Athens_24_7,25.5,NA,NA,a,11,NA,NA,25.5,9.8,15.2,Yes
NAM,Athens,25,17,r,Athens_25_17,5.01,NA,17.9,g,12,f,9,17.9,13.97,11.03,Yes
NAM,Athens,24,13,r,Athens_24_13,18.3,NA,NA,e,10,NA,NA,18.3,13.66,11.34,Yes
NAM,Athens,10,15,u,Athens_10_15,7.659999999999999,NA,46.6,d,6,f,5,46.6,5.36,19.64,Yes
NAM,Athens,10,14,u,Athens_10_14,4.21,NA,21.2,f,6,h,5,21.2,11.79,13.21,Yes
NAM,Athens,6,10,u,Athens_6_10,12.7,NA,NA,e,1,NA,NA,12.7,19.69,5.31,Yes
NAM,Athens,6,4,u,Athens_6_4,1.21,NA,24.4,h,1,g,1,24.4,10.25,14.75,Yes
NAM,Athens,7,19,u,Athens_7_19,7.4,NA,61.4,g,3,f,2,61.4,4.07,20.93,Yes
NAM,Athens,7,3,u,Athens_7_3,11.4,NA,NA,g,2,NA,NA,11.4,21.93,3.07,No
NAM,Athens,8,4,u,Athens_8_4,2.65,NA,22.2,c,4,f,3,22.2,11.26,13.74,Yes
NAM,Athens,8,19,u,Athens_8_19,7.09,NA,27.2,b,4,e,3,27.2,9.19,15.81,Yes
NAM,Athens,9,5,u,Athens_9_5,8.57,NA,20.6,b,5,d,4,20.6,12.14,12.86,Yes
NAM,Athens,9,15,u,Athens_9_15,9.8,NA,19.8,f,4,h,3,19.8,12.63,12.37,Yes
SAM,Bogota,36,8,r,Bogota_36_8,NA,NA,28.2,NA,NA,h,7,28.2,8.87,16.13,Yes
SAM,Bogota,36,1,r,Bogota_36_1,NA,NA,24.4,NA,NA,a,7,24.4,10.25,14.75,Yes
SAM,Bogota,37,1,r,Bogota_37_1,NA,NA,12.7,NA,NA,c,8,12.7,19.69,5.31,Yes
SAM,Bogota,38,4,r,Bogota_38_4,NA,NA,35.2,NA,NA,h,9,35.2,7.1,17.9,Yes
SAM,Bogota,38,1,r,Bogota_38_1,NA,NA,46.2,NA,NA,e,9,46.2,5.41,19.59,Yes
SAM,Bogota,39,2,r,Bogota_39_2,NA,NA,10.2,NA,NA,g,10,10.2,24.51,0.49,No
SAM,Bogota,39,6,r,Bogota_39_6,NA,NA,15.1,NA,NA,c,11,15.1,16.56,8.44,Yes
SAM,Bogota,40,1,r,Bogota_40_1,NA,NA,18.3,NA,NA,h,11,18.3,13.66,11.34,Yes
SAM,Bogota,36,5,r,Bogota_36_5,NA,NA,11.2,NA,NA,e,7,11.2,22.32,2.68,No
SAM,Bogota,36,4,r,Bogota_36_4,NA,NA,16.7,NA,NA,d,7,16.7,14.97,10.03,Yes
SAM,Bogota,1,4,u,Bogota_1_4,NA,NA,59.2,NA,NA,d,1,59.2,4.22,20.78,Yes
SAM,Bogota,1,8,u,Bogota_1_8,NA,NA,11.4,NA,NA,h,1,11.4,21.93,3.07,No
SAM,Bogota,2,9,u,Bogota_2_9,NA,NA,42.8,NA,NA,b,3,42.8,5.84,19.16,Yes
SAM,Bogota,3,7,u,Bogota_3_7,NA,NA,13.9,NA,NA,b,4,13.9,17.99,7.01,Yes
SAM,Bogota,3,8,u,Bogota_3_8,NA,NA,10.4,NA,NA,c,4,10.4,24.04,0.96,No
SAM,Bogota,4,7,u,Bogota_4_7,NA,NA,19.6,NA,NA,d,5,19.6,12.76,12.24,Yes
SAM,Bogota,4,10,u,Bogota_4_10,NA,NA,22.4,NA,NA,g,5,22.4,11.16,13.84,Yes
