OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,washington_015033_20160124_LST_pcs_OID,washington_015033_20160124_LST_pcs_FID_,washington_015033_20160124_LST_pcs_COUNT,washington_015033_20160124_LST_pcs_AREA,washington_015033_20160124_LST_pcs_MEAN
-1,Washington,1,39.250700000000002,-77.380210000000005,15,2,0.133000000000000,38.907192000000002,-77.036873000000000,North America,48.345199999999998,48.345199999999998,1.000000000000000,100.000000000000000,0,0,0,34,30600.000000000000000,-5.885627696360000
-1,Washington,2,39.250059999999998,-77.368610000000004,15,7,0.467000000000000,38.907192000000002,-77.036873000000000,North America,47.681100000000001,48.345199999999998,0.986300000000000,100.000000000000000,1,1,1,33,29700.000000000000000,-5.900383327580000
-1,Washington,3,39.247970000000002,-77.357550000000003,15,8,0.533000000000000,38.907192000000002,-77.036873000000000,North America,46.926299999999998,48.345199999999998,0.970700000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-6.624504199540000
-1,Washington,4,39.244979999999998,-77.340940000000003,15,5,0.333000000000000,38.907192000000002,-77.036873000000000,North America,45.822499999999998,48.345199999999998,0.947800000000000,100.000000000000000,3,3,3,36,32400.000000000000000,-6.456821143460000
-1,Washington,5,39.242640000000002,-77.322109999999995,15,5,0.333000000000000,38.907192000000002,-77.036873000000000,North America,44.694099999999999,48.345199999999998,0.924500000000000,100.000000000000000,4,4,4,36,32400.000000000000000,-5.533549903500000
-1,Washington,6,39.231940000000002,-77.328999999999994,14,3,0.214000000000000,38.907192000000002,-77.036873000000000,North America,44.045000000000002,48.345199999999998,0.911100000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-4.554930707060000
-1,Washington,7,39.218400000000003,-77.331080000000000,15,6,0.400000000000000,38.907192000000002,-77.036873000000000,North America,42.926699999999997,48.345199999999998,0.887900000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-5.543037928540000
-1,Washington,8,39.200330000000001,-77.326750000000004,15,3,0.200000000000000,38.907192000000002,-77.036873000000000,North America,41.097299999999997,48.345199999999998,0.850100000000000,100.000000000000000,7,7,7,32,28800.000000000000000,-4.813221116390000
-1,Washington,9,39.193240000000003,-77.334810000000004,15,8,0.533000000000000,38.907192000000002,-77.036873000000000,North America,40.909799999999997,48.345199999999998,0.846200000000000,100.000000000000000,8,8,8,36,32400.000000000000000,-5.750000598500000
-1,Washington,10,39.181440000000002,-77.352940000000004,14,8,0.571000000000000,38.907192000000002,-77.036873000000000,North America,40.926699999999997,48.345199999999998,0.846600000000000,100.000000000000000,9,9,9,35,31500.000000000000000,-3.312997184760000
-1,Washington,11,39.137960000000000,-77.355570000000000,15,7,0.467000000000000,38.907192000000002,-77.036873000000000,North America,37.635300000000001,48.345199999999998,0.778500000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-6.054032550130000
-1,Washington,12,39.128380000000000,-77.341539999999995,15,0,0.000000000000000,38.907192000000002,-77.036873000000000,North America,36.023699999999998,48.345199999999998,0.745100000000000,100.000000000000000,11,11,11,36,32400.000000000000000,-5.664186678050000
-1,Washington,13,39.124470000000002,-77.323040000000006,9,1,0.111000000000000,38.907192000000002,-77.036873000000000,North America,34.568300000000001,48.345199999999998,0.715000000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-5.168047088530000
-1,Washington,14,39.101590000000002,-77.294309999999996,15,6,0.400000000000000,38.907192000000002,-77.036873000000000,North America,31.017600000000002,48.345199999999998,0.641600000000000,100.000000000000000,13,13,13,36,32400.000000000000000,-5.326698826770000
-1,Washington,15,39.085929999999998,-77.297880000000006,15,2,0.133000000000000,38.907192000000002,-77.036873000000000,North America,30.062799999999999,48.345199999999998,0.621800000000000,100.000000000000000,14,14,14,36,32400.000000000000000,-3.940702121770000
-1,Washington,16,39.068700000000000,-77.283130000000000,15,2,0.133000000000000,38.907192000000002,-77.036873000000000,North America,27.848199999999999,48.345199999999998,0.576000000000000,100.000000000000000,15,15,15,33,29700.000000000000000,-3.607182638840000
-1,Washington,17,39.057229999999997,-77.277100000000004,15,3,0.200000000000000,38.907192000000002,-77.036873000000000,North America,26.636399999999998,48.345199999999998,0.551000000000000,100.000000000000000,16,16,16,34,30600.000000000000000,-3.806448968480000
-1,Washington,18,39.046959999999999,-77.264219999999995,14,1,0.071000000000000,38.907192000000002,-77.036873000000000,North America,25.055099999999999,48.345199999999998,0.518300000000000,100.000000000000000,17,17,17,35,31500.000000000000000,-3.095497756060000
-1,Washington,19,39.039749999999998,-77.249769999999998,15,1,0.067000000000000,38.907192000000002,-77.036873000000000,North America,23.579200000000000,48.345199999999998,0.487700000000000,100.000000000000000,18,18,18,34,30600.000000000000000,-3.363025055260000
-1,Washington,20,39.027259999999998,-77.231710000000007,15,8,0.533000000000000,38.907192000000002,-77.036873000000000,North America,21.493900000000000,48.345199999999998,0.444600000000000,100.000000000000000,19,19,19,35,31500.000000000000000,-3.451651123840000
-1,Washington,21,39.024099999999997,-77.218689999999995,15,3,0.200000000000000,38.907192000000002,-77.036873000000000,North America,20.398199999999999,48.345199999999998,0.421900000000000,100.000000000000000,20,20,20,34,30600.000000000000000,-4.504065128540000
-1,Washington,22,39.004840000000002,-77.188109999999995,15,0,0.000000000000000,38.907192000000002,-77.036873000000000,North America,16.997299999999999,48.345199999999998,0.351600000000000,100.000000000000000,21,21,21,35,31500.000000000000000,-4.843847545690000
-1,Washington,23,38.996609999999997,-77.169560000000004,15,4,0.267000000000000,38.907192000000002,-77.036873000000000,North America,15.182600000000001,48.345199999999998,0.314000000000000,100.000000000000000,22,22,22,35,31500.000000000000000,-2.664244379090000
-1,Washington,24,38.992789999999999,-77.162229999999994,15,7,0.467000000000000,38.907192000000002,-77.036873000000000,North America,14.425900000000000,48.345199999999998,0.298400000000000,100.000000000000000,23,23,23,35,31500.000000000000000,-3.089424432120000
-1,Washington,25,38.989770000000000,-77.152910000000006,15,2,0.133000000000000,38.907192000000002,-77.036873000000000,North America,13.601699999999999,48.345199999999998,0.281300000000000,100.000000000000000,24,24,24,36,32400.000000000000000,-3.403635380830000
-1,Washington,26,38.982619999999997,-77.136979999999994,11,1,0.091000000000000,38.907192000000002,-77.036873000000000,North America,12.053900000000001,48.345199999999998,0.249300000000000,100.000000000000000,25,25,25,34,30600.000000000000000,-3.624794330190000
-1,Washington,27,38.975340000000003,-77.126109999999997,15,4,0.267000000000000,38.907192000000002,-77.036873000000000,North America,10.816000000000001,48.345199999999998,0.223700000000000,100.000000000000000,26,26,26,34,30600.000000000000000,-3.219084485830000
-1,Washington,28,38.969819999999999,-77.116410000000002,15,4,0.267000000000000,38.907192000000002,-77.036873000000000,North America,9.788700000000000,48.345199999999998,0.202500000000000,100.000000000000000,27,27,27,37,33300.000000000000000,-4.035533957580000
-1,Washington,29,38.964790000000001,-77.104460000000003,14,1,0.071000000000000,38.907192000000002,-77.036873000000000,North America,8.671300000000000,48.345199999999998,0.179400000000000,100.000000000000000,28,28,28,36,32400.000000000000000,-4.126316485560000
-1,Washington,30,38.958190000000002,-77.097219999999993,15,4,0.267000000000000,38.907192000000002,-77.036873000000000,North America,7.707400000000000,48.345199999999998,0.159400000000000,100.000000000000000,29,29,29,32,28800.000000000000000,-3.569948659290000
-1,Washington,32,38.946950000000001,-77.079210000000003,15,2,0.133000000000000,38.907192000000002,-77.036873000000000,North America,5.740800000000000,48.345199999999998,0.118700000000000,100.000000000000000,31,30,31,36,32400.000000000000000,-4.336134779710000
-1,Washington,33,38.934869999999997,-77.074219999999997,15,0,0.000000000000000,38.907192000000002,-77.036873000000000,North America,4.462200000000000,48.345199999999998,0.092300000000000,100.000000000000000,32,31,32,36,32400.000000000000000,-3.863564498380000
-1,Washington,34,38.927379999999999,-77.072050000000004,15,6,0.400000000000000,38.907192000000002,-77.036873000000000,North America,3.781700000000000,48.345199999999998,0.078200000000000,100.000000000000000,33,32,33,35,31500.000000000000000,-2.979731601440000
-1,Washington,35,38.920290000000001,-77.063710000000000,15,11,0.733000000000000,38.907192000000002,-77.036873000000000,North America,2.740900000000000,48.345199999999998,0.056700000000000,100.000000000000000,34,33,34,35,31500.000000000000000,-3.107527165200000
-1,Washington,36,38.914729999999999,-77.054289999999995,14,2,0.143000000000000,38.907192000000002,-77.036873000000000,North America,1.724400000000000,48.345199999999998,0.035700000000000,100.000000000000000,35,34,35,35,31500.000000000000000,-2.461312180320000
-1,Washington,37,38.910409999999999,-77.045800000000000,15,1,0.067000000000000,38.907192000000002,-77.036873000000000,North America,0.851300000000000,48.345199999999998,0.017600000000000,100.000000000000000,36,35,36,35,31500.000000000000000,-3.061453457640000
-1,Washington,38,38.901139999999998,-77.039349999999999,15,4,0.267000000000000,38.907192000000002,-77.036873000000000,North America,0.706300000000000,48.345199999999998,0.014600000000000,100.000000000000000,37,36,37,35,31500.000000000000000,-3.151866819820000
-1,Washington,39,38.895159999999997,-77.039510000000007,14,1,0.071000000000000,38.907192000000002,-77.036873000000000,North America,1.357200000000000,48.345199999999998,0.028100000000000,100.000000000000000,38,37,38,34,30600.000000000000000,-2.656327388060000
-1,Washington,40,38.895119999999999,-77.036640000000006,14,1,0.071000000000000,38.907192000000002,-77.036873000000000,North America,1.342500000000000,48.345199999999998,0.027800000000000,100.000000000000000,39,38,39,36,32400.000000000000000,-3.458697870120000
