OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,tampa_017040_20170124_LST_pcs_OID,tampa_017040_20170124_LST_pcs_FID_,tampa_017040_20170124_LST_pcs_COUNT,tampa_017040_20170124_LST_pcs_AREA,tampa_017040_20170124_LST_pcs_MEAN
-1,Tampa,1,28.324529999999999,-82.357619999999997,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,0,0,0,32,28800.000000000000000,24.007507654000001
-1,Tampa,2,28.193449999999999,-82.637519999999995,6,6,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,1,1,1,35,31500.000000000000000,23.793236307000001
-1,Tampa,3,28.084309999999999,-82.503479999999996,14,14,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,2,2,2,35,31500.000000000000000,26.133136503500001
-1,Tampa,4,27.970340000000000,-82.460200000000000,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,3,3,3,35,31500.000000000000000,24.142797196200000
-1,Tampa,5,27.945930000000001,-82.463870000000000,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,4,4,4,36,32400.000000000000000,22.824842277300000
-1,Tampa,6,27.981410000000000,-82.386319999999998,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,5,5,5,35,31500.000000000000000,25.053410271899999
-1,Tampa,7,27.990290000000002,-82.239329999999995,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,6,6,6,36,32400.000000000000000,23.432751765799999
-1,Tampa,8,27.993020000000001,-82.224680000000006,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,7,7,7,32,28800.000000000000000,22.941050544500001
-1,Tampa,9,27.996720000000000,-82.210449999999994,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,8,8,8,35,31500.000000000000000,22.646302171199999
-1,Tampa,10,28.006090000000000,-82.174229999999994,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,9,9,9,35,31500.000000000000000,22.494988509700001
-1,Tampa,11,28.009760000000000,-82.163740000000004,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,10,10,10,36,32400.000000000000000,22.357135302400000
-1,Tampa,12,28.018260000000001,-82.105069999999998,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,11,11,11,34,30600.000000000000000,23.262189596100001
-1,Tampa,13,28.020769999999999,-82.092929999999996,15,14,0.933000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,12,12,12,36,32400.000000000000000,23.050630926699998
