OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,boston_012031_20131212_LST_pcs_OID,boston_012031_20131212_LST_pcs_FID_,boston_012031_20131212_LST_pcs_COUNT,boston_012031_20131212_LST_pcs_AREA,boston_012031_20131212_LST_pcs_MEAN
-1,Boston,1,41.961770000000001,-71.067639999999997,18,7,0.389000000000000,42.356665999999997,-71.055740000000000,North America,43.921399999999998,43.921399999999998,1.000000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-2.738885831280000
-1,Boston,10,42.048139999999997,-71.081930000000000,20,3,0.150000000000000,42.356665999999997,-71.055740000000000,North America,34.374299999999998,43.921399999999998,0.782600000000000,100.000000000000000,1,1,1,32,28800.000000000000000,-1.897384761980000
-1,Boston,11,42.059800000000003,-71.085300000000004,20,2,0.100000000000000,42.356665999999997,-71.055740000000000,North America,33.099699999999999,43.921399999999998,0.753600000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-4.216631663570000
-1,Boston,12,42.066960000000002,-71.086770000000001,20,11,0.550000000000000,42.356665999999997,-71.055740000000000,North America,32.314999999999998,43.921399999999998,0.735700000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-3.234610607760000
-1,Boston,13,42.075930000000000,-71.087440000000001,19,3,0.158000000000000,42.356665999999997,-71.055740000000000,North America,31.325399999999998,43.921399999999998,0.713200000000000,100.000000000000000,4,4,4,35,31500.000000000000000,-3.693310419120000
-1,Boston,14,42.083869999999997,-71.090100000000007,20,5,0.250000000000000,42.356665999999997,-71.055740000000000,North America,30.465199999999999,43.921399999999998,0.693600000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-3.578962196980000
-1,Boston,15,42.094110000000001,-71.094130000000007,20,3,0.150000000000000,42.356665999999997,-71.055740000000000,North America,29.365500000000001,43.921399999999998,0.668600000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-4.175483647780000
-1,Boston,16,42.106670000000001,-71.099080000000001,19,2,0.105000000000000,42.356665999999997,-71.055740000000000,North America,28.026399999999999,43.921399999999998,0.638100000000000,100.000000000000000,7,7,7,32,28800.000000000000000,-4.049100587330000
-1,Boston,17,42.115009999999998,-71.099249999999998,20,2,0.100000000000000,42.356665999999997,-71.055740000000000,North America,27.108599999999999,43.921399999999998,0.617200000000000,100.000000000000000,8,8,8,36,32400.000000000000000,-4.658258821800000
-1,Boston,18,42.124540000000003,-71.101450000000000,20,6,0.300000000000000,42.356665999999997,-71.055740000000000,North America,26.084099999999999,43.921399999999998,0.593900000000000,100.000000000000000,9,9,9,34,30600.000000000000000,-2.229577145580000
-1,Boston,19,42.133789999999998,-71.100650000000002,20,0,0.000000000000000,42.356665999999997,-71.055740000000000,North America,25.056899999999999,43.921399999999998,0.570500000000000,100.000000000000000,10,10,10,34,30600.000000000000000,-3.498567357720000
-1,Boston,2,41.970829999999999,-71.067589999999996,20,4,0.200000000000000,42.356665999999997,-71.055740000000000,North America,42.914099999999998,43.921399999999998,0.977100000000000,100.000000000000000,11,11,11,36,32400.000000000000000,-4.171790485150000
-1,Boston,20,42.145490000000002,-71.105710000000002,20,1,0.050000000000000,42.356665999999997,-71.055740000000000,North America,23.839200000000002,43.921399999999998,0.542800000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-3.847873307720000
-1,Boston,21,42.154699999999998,-71.107039999999998,20,6,0.300000000000000,42.356665999999997,-71.055740000000000,North America,22.850999999999999,43.921399999999998,0.520300000000000,100.000000000000000,13,13,13,35,31500.000000000000000,-2.935402211500000
-1,Boston,22,42.164879999999997,-71.110180000000000,20,5,0.250000000000000,42.356665999999997,-71.055740000000000,North America,21.791100000000000,43.921399999999998,0.496100000000000,100.000000000000000,14,14,14,35,31500.000000000000000,-3.171008873670000
-1,Boston,23,42.176850000000002,-71.109970000000004,20,7,0.350000000000000,42.356665999999997,-71.055740000000000,North America,20.486499999999999,43.921399999999998,0.466400000000000,100.000000000000000,15,15,15,37,33300.000000000000000,-2.784625820540000
-1,Boston,24,42.186230000000002,-71.116669999999999,20,3,0.150000000000000,42.356665999999997,-71.055740000000000,North America,19.603500000000000,43.921399999999998,0.446300000000000,100.000000000000000,16,16,16,34,30600.000000000000000,-4.539377193890000
-1,Boston,25,42.198210000000003,-71.119540000000001,20,4,0.200000000000000,42.356665999999997,-71.055740000000000,North America,18.384699999999999,43.921399999999998,0.418600000000000,100.000000000000000,17,17,17,32,28800.000000000000000,-5.124707535220000
-1,Boston,26,42.208030000000001,-71.120779999999996,20,3,0.150000000000000,42.356665999999997,-71.055740000000000,North America,17.372100000000000,43.921399999999998,0.395500000000000,100.000000000000000,18,18,18,37,33300.000000000000000,-3.071446025230000
-1,Boston,27,42.218299999999999,-71.119219999999999,20,3,0.150000000000000,42.356665999999997,-71.055740000000000,North America,16.247599999999998,43.921399999999998,0.369900000000000,100.000000000000000,19,19,19,35,31500.000000000000000,-5.580210042100000
-1,Boston,28,42.236449999999998,-71.107820000000004,20,7,0.350000000000000,42.356665999999997,-71.055740000000000,North America,14.036899999999999,43.921399999999998,0.319600000000000,100.000000000000000,20,20,20,34,30600.000000000000000,-5.511117267210000
-1,Boston,29,42.245750000000001,-71.093230000000005,20,4,0.200000000000000,42.356665999999997,-71.055740000000000,North America,12.712899999999999,43.921399999999998,0.289400000000000,100.000000000000000,21,21,21,36,32400.000000000000000,-4.526883651310000
-1,Boston,3,41.978079999999999,-71.069659999999999,20,8,0.400000000000000,42.356665999999997,-71.055740000000000,North America,42.112499999999997,43.921399999999998,0.958800000000000,100.000000000000000,22,22,22,36,32400.000000000000000,-3.723297950760000
-1,Boston,30,42.255380000000002,-71.092839999999995,20,2,0.100000000000000,42.356665999999997,-71.055740000000000,North America,11.668400000000000,43.921399999999998,0.265700000000000,100.000000000000000,23,23,23,35,31500.000000000000000,-2.905007727890000
-1,Boston,31,42.265439999999998,-71.094070000000002,20,4,0.200000000000000,42.356665999999997,-71.055740000000000,North America,10.622199999999999,43.921399999999998,0.241800000000000,100.000000000000000,24,24,24,36,32400.000000000000000,-3.087244949030000
-1,Boston,32,42.274209999999997,-71.095110000000005,20,3,0.150000000000000,42.356665999999997,-71.055740000000000,North America,9.723400000000000,43.921399999999998,0.221400000000000,100.000000000000000,25,25,25,36,32400.000000000000000,-3.617376414170000
-1,Boston,33,42.282890000000002,-71.090710000000001,20,8,0.400000000000000,42.356665999999997,-71.055740000000000,North America,8.692800000000000,43.921399999999998,0.197900000000000,100.000000000000000,26,26,26,36,32400.000000000000000,-2.822980245170000
-1,Boston,34,42.291049999999998,-71.086910000000003,20,4,0.200000000000000,42.356665999999997,-71.055740000000000,North America,7.733100000000000,43.921399999999998,0.176100000000000,100.000000000000000,27,27,27,35,31500.000000000000000,-3.769837320080000
-1,Boston,35,42.300780000000003,-71.086039999999997,20,0,0.000000000000000,42.356665999999997,-71.055740000000000,North America,6.694900000000000,43.921399999999998,0.152400000000000,100.000000000000000,28,28,28,37,33300.000000000000000,-2.849538453090000
-1,Boston,36,42.311650000000000,-71.079840000000004,20,2,0.100000000000000,42.356665999999997,-71.055740000000000,North America,5.383300000000000,43.921399999999998,0.122600000000000,100.000000000000000,29,29,29,35,31500.000000000000000,-2.115228274940000
-1,Boston,37,42.319400000000002,-71.071889999999996,20,2,0.100000000000000,42.356665999999997,-71.055740000000000,North America,4.351200000000000,43.921399999999998,0.099100000000000,100.000000000000000,30,30,30,35,31500.000000000000000,-2.287858969800000
-1,Boston,38,42.326439999999998,-71.069980000000001,20,2,0.100000000000000,42.356665999999997,-71.055740000000000,North America,3.558900000000000,43.921399999999998,0.081000000000000,100.000000000000000,31,31,31,36,32400.000000000000000,-1.635002027140000
