OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,woodstock_018030_20150227_LST_pcs_OID,woodstock_018030_20150227_LST_pcs_FID_,woodstock_018030_20150227_LST_pcs_COUNT,woodstock_018030_20150227_LST_pcs_AREA,woodstock_018030_20150227_LST_pcs_MEAN
-1,Woodstock,1,43.131377999999998,-80.746925000000005,NA,NA,0.400000000000000,43.131442999999997,-80.747106000000002,North America,0.016369909,10.764455440000001,0.0015,100.000000000000000,0,0,0,35,31500.000000000000000,-8.787316282450000
-1,Woodstock,2,43.131844000000001,-80.743442000000002,NA,NA,0.450000000000000,43.131442999999997,-80.747106000000002,North America,0.300652469,10.764455440000001,0.0279,100.000000000000000,1,1,1,35,31500.000000000000000,-9.404607699550001
-1,Woodstock,4,43.133284000000003,-80.736018999999999,NA,NA,0.300000000000000,43.131442999999997,-80.747106000000002,North America,0.922676909,10.764455440000001,0.0857,100.000000000000000,3,2,3,33,29700.000000000000000,-10.129203944000000
-1,Woodstock,5,43.133065000000002,-80.732293999999996,NA,NA,0.300000000000000,43.131442999999997,-80.747106000000002,North America,1.215414004,10.764455440000001,0.1129,100.000000000000000,4,3,4,32,28800.000000000000000,-9.273049919070001
-1,Woodstock,6,43.134675000000001,-80.729118999999997,NA,NA,0.250000000000000,43.131442999999997,-80.747106000000002,North America,1.503174895,10.764455440000001,0.1396,100.000000000000000,5,4,5,35,31500.000000000000000,-9.822664940490000
-1,Woodstock,7,43.134982000000001,-80.725032999999996,NA,NA,0.350000000000000,43.131442999999997,-80.747106000000002,North America,1.833861123,10.764455440000001,0.1704,100.000000000000000,6,5,6,35,31500.000000000000000,-9.318111387100000
-1,Woodstock,9,43.135525999999999,-80.717823999999993,NA,NA,0.450000000000000,43.131442999999997,-80.747106000000002,North America,2.419100327,10.764455440000001,0.2247,100.000000000000000,8,6,7,35,31500.000000000000000,-10.337400080100000
-1,Woodstock,10,43.135876000000003,-80.714476000000005,NA,NA,0.300000000000000,43.131442999999997,-80.747106000000002,North America,2.693276244,10.764455440000001,0.2502,100.000000000000000,9,7,8,35,31500.000000000000000,-10.787799324700000
-1,Woodstock,11,43.136597000000002,-80.710341999999997,NA,NA,0.476190476000000,43.131442999999997,-80.747106000000002,North America,3.037772109,10.764455440000001,0.2822,100.000000000000000,10,8,9,36,32400.000000000000000,-10.432241460800000
-1,Woodstock,12,43.137908000000003,-80.706908999999996,NA,NA,0.450000000000000,43.131442999999997,-80.747106000000002,North America,3.340038108,10.764455440000001,0.3103,100.000000000000000,11,9,10,36,32400.000000000000000,-10.945241680400001
-1,Woodstock,13,43.137684999999998,-80.703132999999994,NA,NA,0.400000000000000,43.131442999999997,-80.747106000000002,North America,3.635045957,10.764455440000001,0.3377,100.000000000000000,12,10,11,36,32400.000000000000000,-12.319999817299999
-1,Woodstock,14,43.137326000000002,-80.699326999999997,NA,NA,0.611111111000000,43.131442999999997,-80.747106000000002,North America,3.931814192,10.764455440000001,0.3653,100.000000000000000,13,11,12,35,31500.000000000000000,-12.582182006800000
-1,Woodstock,15,43.138545999999998,-80.696753000000001,NA,NA,0.400000000000000,43.131442999999997,-80.747106000000002,North America,4.161477949,10.764455440000001,0.3866,100.000000000000000,14,12,13,36,32400.000000000000000,-13.204801807100001
-1,Woodstock,16,43.138857999999999,-80.693881000000005,NA,NA,0.400000000000000,43.131442999999997,-80.747106000000002,North America,4.39687287,10.764455440000001,0.4085,100.000000000000000,15,13,14,32,28800.000000000000000,-13.246865969800000
-1,Woodstock,17,43.139764000000000,-80.688513000000000,NA,NA,0.100000000000000,43.131442999999997,-80.747106000000002,North America,4.843612986,10.764455440000001,0.45,100.000000000000000,16,14,15,35,31500.000000000000000,-12.480668378100001
-1,Woodstock,18,43.140825999999997,-80.680774000000000,NA,NA,0.555555556000000,43.131442999999997,-80.747106000000002,North America,5.482529154,10.764455440000001,0.5093,100.000000000000000,17,15,16,35,31500.000000000000000,-11.516486954099999
-1,Woodstock,19,43.141244000000000,-80.678252000000001,NA,NA,0.380952381000000,43.131442999999997,-80.747106000000002,North America,5.692260925,10.764455440000001,0.5288,100.000000000000000,18,16,17,35,31500.000000000000000,-12.167434821100001
-1,Woodstock,20,43.142313999999999,-80.672882999999999,NA,NA,0.200000000000000,43.131442999999997,-80.747106000000002,North America,6.142672099,10.764455440000001,0.5706,100.000000000000000,19,17,18,32,28800.000000000000000,-12.105858629600000
-1,Woodstock,21,43.142732000000002,-80.668011000000007,NA,NA,0.466666667000000,43.131442999999997,-80.747106000000002,North America,6.539467467,10.764455440000001,0.6075,100.000000000000000,20,18,19,35,31500.000000000000000,-12.600588703900000
-1,Woodstock,22,43.143151000000003,-80.664350999999996,NA,NA,0.450000000000000,43.131442999999997,-80.747106000000002,North America,6.839851398,10.764455440000001,0.6354,100.000000000000000,21,19,20,32,28800.000000000000000,-13.892489142800001
-1,Woodstock,23,43.143949999999997,-80.659184999999994,NA,NA,0.750000000000000,43.131442999999997,-80.747106000000002,North America,7.268230549,10.764455440000001,0.6752,100.000000000000000,22,20,21,32,28800.000000000000000,-13.964766531100000
-1,Woodstock,24,43.143869000000002,-80.655432000000005,NA,NA,0.500000000000000,43.131442999999997,-80.747106000000002,North America,7.565702827,10.764455440000001,0.7028,100.000000000000000,23,21,22,34,30600.000000000000000,-12.960558329800000
-1,Woodstock,25,43.145598999999997,-80.648143000000005,NA,NA,0.750000000000000,43.131442999999997,-80.747106000000002,North America,8.182610618,10.764455440000001,0.7602,100.000000000000000,24,22,23,35,31500.000000000000000,-14.078542399100000
-1,Woodstock,26,43.146664000000001,-80.641385000000000,NA,NA,0.300000000000000,43.131442999999997,-80.747106000000002,North America,8.743422104,10.764455440000001,0.8122,100.000000000000000,25,23,24,36,32400.000000000000000,-12.345697378800001
-1,Woodstock,27,43.147185000000000,-80.637891999999994,NA,NA,0.315789474000000,43.131442999999997,-80.747106000000002,North America,9.032655717,10.764455440000001,0.8391,100.000000000000000,26,24,25,34,30600.000000000000000,-13.087602609999999
-1,Woodstock,28,43.149113000000000,-80.629244999999997,NA,NA,0.350000000000000,43.131442999999997,-80.747106000000002,North America,9.762638061,10.764455440000001,0.9069,100.000000000000000,27,25,26,35,31500.000000000000000,-13.185208629300000
-1,Woodstock,30,43.149318999999998,-80.616716999999994,NA,NA,0.238095238000000,43.131442999999997,-80.747106000000002,North America,10.76445544,10.764455440000001,1,100.000000000000000,29,26,27,36,32400.000000000000000,-12.108289914300000
