OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,reutlingen_195026_20170123_LST_pcs_OID,reutlingen_195026_20170123_LST_pcs_FID_,reutlingen_195026_20170123_LST_pcs_COUNT,reutlingen_195026_20170123_LST_pcs_AREA,reutlingen_195026_20170123_LST_pcs_MEAN
-1,Reutlingen,1,48.491030000000002,9.208560000000000,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,0.233900000000000,9.539000000000000,0.024500000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-5.430317885550000
-1,Reutlingen,2,48.490189999999998,9.218790000000000,20,8,0.400000000000000,48.491951000000000,9.211414000000000,Europe,0.577800000000000,9.539000000000000,0.060600000000000,100.000000000000000,1,1,1,36,32400.000000000000000,-4.874495870060000
-1,Reutlingen,3,48.492789999999999,9.218290000000000,19,5,0.263000000000000,48.491951000000000,9.211414000000000,Europe,0.515200000000000,9.539000000000000,0.054000000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-4.997226534710000
-1,Reutlingen,4,48.495359999999998,9.209899999999999,20,9,0.450000000000000,48.491951000000000,9.211414000000000,Europe,0.395100000000000,9.539000000000000,0.041400000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-5.473891841930000
-1,Reutlingen,5,48.498300000000000,9.209619999999999,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,0.718200000000000,9.539000000000000,0.075300000000000,100.000000000000000,4,4,4,37,33300.000000000000000,-5.776912319700000
-1,Reutlingen,6,48.500850000000000,9.203320000000000,20,5,0.250000000000000,48.491951000000000,9.211414000000000,Europe,1.155400000000000,9.539000000000000,0.121100000000000,100.000000000000000,5,5,5,34,30600.000000000000000,-6.030316780310000
-1,Reutlingen,7,48.502859999999998,9.204829999999999,20,2,0.100000000000000,48.491951000000000,9.211414000000000,Europe,1.306400000000000,9.539000000000000,0.137000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-5.642963483390000
-1,Reutlingen,8,48.504899999999999,9.204610000000001,20,2,0.100000000000000,48.491951000000000,9.211414000000000,Europe,1.524600000000000,9.539000000000000,0.159800000000000,100.000000000000000,7,7,7,32,28800.000000000000000,-5.618257439670000
-1,Reutlingen,9,48.506850000000000,9.207789999999999,20,2,0.100000000000000,48.491951000000000,9.211414000000000,Europe,1.678100000000000,9.539000000000000,0.175900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-5.725875875930000
-1,Reutlingen,10,48.507869999999997,9.209330000000000,20,5,0.250000000000000,48.491951000000000,9.211414000000000,Europe,1.776800000000000,9.539000000000000,0.186300000000000,100.000000000000000,9,9,9,32,28800.000000000000000,-5.817740683770000
