OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,winnipeg_031025_20180129_LST_pcs_OID,winnipeg_031025_20180129_LST_pcs_FID_,winnipeg_031025_20180129_LST_pcs_COUNT,winnipeg_031025_20180129_LST_pcs_AREA,winnipeg_031025_20180129_LST_pcs_MEAN
-1,Winnipeg,1,49.902610000000003,-97.141369999999995,14,1,0.071000000000000,49.895138000000003,-97.138373999999999,North America,0.858100000000000,30.441900000000000,0.028200000000000,100.000000000000000,0,0,0,33,29700.000000000000000,-15.749233227600000
-1,Winnipeg,2,49.901899999999998,-97.134799999999998,10,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,0.794300000000000,30.441900000000000,0.026100000000000,100.000000000000000,1,1,1,34,30600.000000000000000,-14.642924391499999
-1,Winnipeg,3,49.902990000000003,-97.145840000000007,13,1,0.077000000000000,49.895138000000003,-97.138373999999999,North America,1.023800000000000,30.441900000000000,0.033600000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-15.494149034199999
-1,Winnipeg,4,49.891700000000000,-97.156229999999994,20,6,0.300000000000000,49.895138000000003,-97.138373999999999,North America,1.335000000000000,30.441900000000000,0.043900000000000,100.000000000000000,3,3,3,37,33300.000000000000000,-14.919306380400000
-1,Winnipeg,5,49.885629999999999,-97.147059999999996,20,4,0.200000000000000,49.895138000000003,-97.138373999999999,North America,1.226800000000000,30.441900000000000,0.040300000000000,100.000000000000000,4,4,4,35,31500.000000000000000,-15.584648975300000
-1,Winnipeg,6,49.876449999999998,-97.148390000000006,20,1,0.050000000000000,49.895138000000003,-97.138373999999999,North America,2.198400000000000,30.441900000000000,0.072200000000000,100.000000000000000,5,5,5,36,32400.000000000000000,-14.646762847500000
-1,Winnipeg,7,49.874870000000001,-97.143780000000007,16,2,0.125000000000000,49.895138000000003,-97.138373999999999,North America,2.286700000000000,30.441900000000000,0.075100000000000,100.000000000000000,6,6,6,32,28800.000000000000000,-15.160266523200001
-1,Winnipeg,8,49.871839999999999,-97.145539999999997,20,3,0.150000000000000,49.895138000000003,-97.138373999999999,North America,2.641000000000000,30.441900000000000,0.086800000000000,100.000000000000000,7,7,7,35,31500.000000000000000,-14.743699664199999
-1,Winnipeg,9,49.867730000000002,-97.150310000000005,19,3,0.158000000000000,49.895138000000003,-97.138373999999999,North America,3.165400000000000,30.441900000000000,0.104000000000000,100.000000000000000,8,8,8,32,28800.000000000000000,-15.357253471600000
-1,Winnipeg,10,49.861199999999997,-97.153170000000003,9,1,0.111000000000000,49.895138000000003,-97.138373999999999,North America,3.919800000000000,30.441900000000000,0.128800000000000,100.000000000000000,9,9,9,36,32400.000000000000000,-15.573259571900000
-1,Winnipeg,11,49.855989999999998,-97.154790000000006,20,4,0.200000000000000,49.895138000000003,-97.138373999999999,North America,4.509200000000000,30.441900000000000,0.148100000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-15.559092930600000
-1,Winnipeg,12,49.850949999999997,-97.148099999999999,19,1,0.053000000000000,49.895138000000003,-97.138373999999999,North America,4.962700000000000,30.441900000000000,0.163000000000000,100.000000000000000,11,11,11,35,31500.000000000000000,-16.455445667799999
-1,Winnipeg,13,49.846629999999998,-97.146349999999998,20,1,0.050000000000000,49.895138000000003,-97.138373999999999,North America,5.424000000000000,30.441900000000000,0.178200000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-16.153488184699999
-1,Winnipeg,14,49.841290000000001,-97.140810000000002,20,0,0.000000000000000,49.895138000000003,-97.138373999999999,North America,5.990200000000000,30.441900000000000,0.196800000000000,100.000000000000000,13,13,13,36,32400.000000000000000,-16.267719845700000
-1,Winnipeg,15,49.835909999999998,-97.143850000000000,20,1,0.050000000000000,49.895138000000003,-97.138373999999999,North America,6.597500000000000,30.441900000000000,0.216700000000000,100.000000000000000,14,14,14,35,31500.000000000000000,-16.731627119700001
-1,Winnipeg,16,49.812629999999999,-97.162899999999993,18,1,0.056000000000000,49.895138000000003,-97.138373999999999,North America,9.341400000000000,30.441900000000000,0.306900000000000,100.000000000000000,15,15,15,35,31500.000000000000000,-15.977924147200000
-1,Winnipeg,17,49.803939999999997,-97.160100000000000,20,1,0.050000000000000,49.895138000000003,-97.138373999999999,North America,10.259700000000000,30.441900000000000,0.337000000000000,100.000000000000000,16,16,16,34,30600.000000000000000,-16.958666355199998
