OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,munster_196024_20170215_LST_pcs_OID,munster_196024_20170215_LST_pcs_FID_,munster_196024_20170215_LST_pcs_COUNT,munster_196024_20170215_LST_pcs_AREA,munster_196024_20170215_LST_pcs_MEAN
-1,Muenster,1,51.956829999999997,7.629510000000000,20,2,0.100000000000000,51.962125999999998,7.624724000000000,Europe,0.674000000000000,10.032900000000000,0.067200000000000,100.000000000000000,0,0,0,36,32400.000000000000000,9.649388368409999
-1,Muenster,2,51.957160000000002,7.620800000000000,20,3,0.150000000000000,51.962125999999998,7.624724000000000,Europe,0.614200000000000,10.032900000000000,0.061200000000000,100.000000000000000,1,1,1,34,30600.000000000000000,8.531573964450001
-1,Muenster,3,51.957819999999998,7.630270000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.611300000000000,10.032900000000000,0.060900000000000,100.000000000000000,2,2,2,25,22500.000000000000000,10.231207449299999
-1,Muenster,4,51.961930000000002,7.621390000000000,15,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.229500000000000,10.032900000000000,0.022900000000000,100.000000000000000,3,3,3,33,29700.000000000000000,9.538764354130000
-1,Muenster,5,51.962699999999998,7.622490000000000,20,1,0.050000000000000,51.962125999999998,7.624724000000000,Europe,0.165800000000000,10.032900000000000,0.016500000000000,100.000000000000000,4,4,4,24,21600.000000000000000,9.056221853160000
-1,Muenster,6,51.966569999999997,7.622430000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.518500000000000,10.032900000000000,0.051700000000000,100.000000000000000,5,5,5,35,31500.000000000000000,9.293874731410000
-1,Muenster,7,51.967399999999998,7.620060000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.667800000000000,10.032900000000000,0.066600000000000,100.000000000000000,6,6,6,34,30600.000000000000000,9.154806041810000
-1,Muenster,8,51.973070000000000,7.617220000000000,17,5,0.294000000000000,51.962125999999998,7.624724000000000,Europe,1.321000000000000,10.032900000000000,0.131700000000000,100.000000000000000,7,7,7,36,32400.000000000000000,8.859503939830001
-1,Muenster,9,51.974670000000003,7.618140000000000,20,2,0.100000000000000,51.962125999999998,7.624724000000000,Europe,1.465900000000000,10.032900000000000,0.146100000000000,100.000000000000000,8,8,8,35,31500.000000000000000,9.350579165590000
-1,Muenster,10,51.976550000000003,7.618440000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,1.660600000000000,10.032900000000000,0.165500000000000,100.000000000000000,9,9,9,34,30600.000000000000000,8.281936467970000
-1,Muenster,11,51.978330000000000,7.618070000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,1.858600000000000,10.032900000000000,0.185300000000000,100.000000000000000,10,10,10,36,32400.000000000000000,8.319775028360000
-1,Muenster,12,51.982770000000002,7.613800000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,2.414400000000000,10.032900000000000,0.240600000000000,100.000000000000000,11,11,11,35,31500.000000000000000,9.544977897300001
-1,Muenster,14,51.985959999999999,7.613570000000000,23,2,0.087000000000000,51.962125999999998,7.624724000000000,Europe,2.758200000000000,10.032900000000000,0.274900000000000,100.000000000000000,13,12,13,36,32400.000000000000000,8.282271469970000
-1,Muenster,15,51.988669999999999,7.603250000000000,15,10,0.667000000000000,51.962125999999998,7.624724000000000,Europe,3.297800000000000,10.032900000000000,0.328700000000000,100.000000000000000,14,13,14,34,30600.000000000000000,8.294466105580000
-1,Muenster,16,51.988709999999998,7.612530000000000,24,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,3.071700000000000,10.032900000000000,0.306200000000000,100.000000000000000,15,14,15,37,33300.000000000000000,8.081314046959999
-1,Muenster,17,51.991120000000002,7.603740000000000,20,10,0.500000000000000,51.962125999999998,7.624724000000000,Europe,3.529900000000000,10.032900000000000,0.351800000000000,100.000000000000000,16,15,16,36,32400.000000000000000,7.621591307730000
-1,Muenster,18,51.995030000000000,7.605510000000000,18,3,0.167000000000000,51.962125999999998,7.624724000000000,Europe,3.888200000000000,10.032900000000000,0.387500000000000,100.000000000000000,17,16,17,36,32400.000000000000000,7.669578011060000
-1,Muenster,19,51.997839999999997,7.606650000000000,20,3,0.150000000000000,51.962125999999998,7.624724000000000,Europe,4.159700000000000,10.032900000000000,0.414600000000000,100.000000000000000,18,17,18,36,32400.000000000000000,7.564921472930000
-1,Muenster,20,51.999369999999999,7.606410000000000,13,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,4.327100000000000,10.032900000000000,0.431300000000000,100.000000000000000,19,18,19,33,29700.000000000000000,7.714401704910000
-1,Muenster,21,52.001690000000004,7.606550000000000,16,1,0.062000000000000,51.962125999999998,7.624724000000000,Europe,4.572000000000000,10.032900000000000,0.455700000000000,100.000000000000000,20,19,20,35,31500.000000000000000,8.185582417730000
-1,Muenster,22,52.004719999999999,7.605870000000000,20,13,0.650000000000000,51.962125999999998,7.624724000000000,Europe,4.909100000000000,10.032900000000000,0.489300000000000,100.000000000000000,21,20,21,36,32400.000000000000000,7.691397661680000
-1,Muenster,23,52.005879999999998,7.610260000000000,20,2,0.100000000000000,51.962125999999998,7.624724000000000,Europe,4.965000000000000,10.032900000000000,0.494900000000000,100.000000000000000,22,21,22,35,31500.000000000000000,8.008906248710000
-1,Muenster,24,52.007559999999998,7.606520000000000,17,16,0.941000000000000,51.962125999999998,7.624724000000000,Europe,5.203600000000000,10.032900000000000,0.518700000000000,100.000000000000000,23,22,23,36,32400.000000000000000,6.965678574620000
-1,Muenster,25,52.008870000000002,7.605890000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,5.355300000000000,10.032900000000000,0.533800000000000,100.000000000000000,24,23,24,30,27000.000000000000000,6.413435992370000
-1,Muenster,26,52.010539999999999,7.604830000000000,18,10,0.556000000000000,51.962125999999998,7.624724000000000,Europe,5.553100000000000,10.032900000000000,0.553500000000000,100.000000000000000,25,24,25,36,32400.000000000000000,6.489252815850000
-1,Muenster,27,52.012619999999998,7.603650000000000,17,7,0.412000000000000,51.962125999999998,7.624724000000000,Europe,5.797200000000000,10.032900000000000,0.577800000000000,100.000000000000000,26,25,26,35,31500.000000000000000,6.565417549870000
