OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,glasgow_205021_20170214_LST_pcs_OID,glasgow_205021_20170214_LST_pcs_FID_,glasgow_205021_20170214_LST_pcs_COUNT,glasgow_205021_20170214_LST_pcs_AREA,glasgow_205021_20170214_LST_pcs_MEAN
-1,Glasgow,1,55.867060000000002,-4.261260000000000,13,10,0.769000000000000,55.865681000000002,-4.257140000000000,Europe,0.299300000000000,24.949200000000001,0.012000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,6.435820626180000
-1,Glasgow,2,55.866650000000000,-4.252330000000000,13,4,0.308000000000000,55.865681000000002,-4.257140000000000,Europe,0.318900000000000,24.949200000000001,0.012800000000000,100.000000000000000,1,1,1,36,32400.000000000000000,6.431962148970000
-1,Glasgow,3,55.865349999999999,-4.247620000000000,12,6,0.500000000000000,55.865681000000002,-4.257140000000000,Europe,0.595100000000000,24.949200000000001,0.023900000000000,100.000000000000000,2,2,2,35,31500.000000000000000,5.683678859340000
-1,Glasgow,4,55.869399999999999,-4.255020000000000,14,7,0.500000000000000,55.865681000000002,-4.257140000000000,Europe,0.434200000000000,24.949200000000001,0.017400000000000,100.000000000000000,3,3,3,36,32400.000000000000000,7.164520561790000
-1,Glasgow,5,55.872619999999998,-4.260860000000000,12,2,0.167000000000000,55.865681000000002,-4.257140000000000,Europe,0.805700000000000,24.949200000000001,0.032300000000000,100.000000000000000,4,4,4,35,31500.000000000000000,5.870189100780000
-1,Glasgow,6,55.877850000000002,-4.267000000000000,11,5,0.455000000000000,55.865681000000002,-4.257140000000000,Europe,1.486400000000000,24.949200000000001,0.059600000000000,100.000000000000000,5,5,5,32,28800.000000000000000,6.992748319670000
-1,Glasgow,7,55.882019999999997,-4.278760000000000,12,3,0.250000000000000,55.865681000000002,-4.257140000000000,Europe,2.262700000000000,24.949200000000001,0.090700000000000,100.000000000000000,6,6,6,36,32400.000000000000000,6.339178292860000
-1,Glasgow,8,55.888979999999997,-4.290380000000000,12,1,0.083000000000000,55.865681000000002,-4.257140000000000,Europe,3.318300000000000,24.949200000000001,0.133000000000000,100.000000000000000,7,7,7,32,28800.000000000000000,6.620654141360000
-1,Glasgow,9,55.892719999999997,-4.296050000000000,15,10,0.667000000000000,55.865681000000002,-4.257140000000000,Europe,3.863900000000000,24.949200000000001,0.154900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,6.563705530360000
-1,Glasgow,10,55.899189999999997,-4.302790000000000,10,7,0.700000000000000,55.865681000000002,-4.257140000000000,Europe,4.689300000000000,24.949200000000001,0.188000000000000,100.000000000000000,9,9,9,35,31500.000000000000000,6.636383426630000
-1,Glasgow,11,55.904069999999997,-4.313410000000000,10,4,0.400000000000000,55.865681000000002,-4.257140000000000,Europe,5.526000000000000,24.949200000000001,0.221500000000000,100.000000000000000,10,10,10,32,28800.000000000000000,6.609330169370000
-1,Glasgow,12,55.910020000000003,-4.325730000000000,10,4,0.400000000000000,55.865681000000002,-4.257140000000000,Europe,6.527100000000000,24.949200000000001,0.261600000000000,100.000000000000000,11,11,11,35,31500.000000000000000,6.561289882650000
-1,Glasgow,13,55.919759999999997,-4.331890000000000,14,4,0.286000000000000,55.865681000000002,-4.257140000000000,Europe,7.608100000000000,24.949200000000001,0.304900000000000,100.000000000000000,12,12,12,35,31500.000000000000000,6.689547584820000
-1,Glasgow,14,55.928040000000003,-4.343820000000000,14,7,0.500000000000000,55.865681000000002,-4.257140000000000,Europe,8.791200000000000,24.949200000000001,0.352400000000000,100.000000000000000,13,13,13,36,32400.000000000000000,6.659965894240000
-1,Glasgow,15,55.933900000000001,-4.343370000000000,20,9,0.450000000000000,55.865681000000002,-4.257140000000000,Europe,9.297200000000000,24.949200000000001,0.372600000000000,100.000000000000000,14,14,14,36,32400.000000000000000,6.225687010810000
-1,Glasgow,16,55.942180000000000,-4.349500000000000,10,2,0.200000000000000,55.865681000000002,-4.257140000000000,Europe,10.271400000000000,24.949200000000001,0.411700000000000,100.000000000000000,15,15,15,35,31500.000000000000000,6.425643937270000
-1,Glasgow,17,55.946610000000000,-4.352430000000000,8,3,0.375000000000000,55.865681000000002,-4.257140000000000,Europe,10.782299999999999,24.949200000000001,0.432200000000000,100.000000000000000,16,16,16,36,32400.000000000000000,6.347306154390000
-1,Glasgow,18,55.956200000000003,-4.359470000000000,10,2,0.200000000000000,55.865681000000002,-4.257140000000000,Europe,11.915600000000000,24.949200000000001,0.477600000000000,100.000000000000000,17,17,17,33,29700.000000000000000,6.541216544290000
-1,Glasgow,19,55.966030000000003,-4.364900000000000,12,2,0.167000000000000,55.865681000000002,-4.257140000000000,Europe,13.023000000000000,24.949200000000001,0.522000000000000,100.000000000000000,18,18,18,35,31500.000000000000000,6.709526761980000
-1,Glasgow,20,55.912840000000003,-4.332470000000000,9,0,0.000000000000000,55.865681000000002,-4.257140000000000,Europe,7.040100000000000,24.949200000000001,0.282200000000000,100.000000000000000,19,19,19,33,29700.000000000000000,6.236941745150000
-1,Glasgow,21,55.968670000000003,-4.363580000000000,15,2,0.133000000000000,55.865681000000002,-4.257140000000000,Europe,13.233900000000000,24.949200000000001,0.530400000000000,100.000000000000000,20,20,20,35,31500.000000000000000,6.932104895470000
-1,Glasgow,22,55.982289999999999,-4.367210000000000,10,2,0.200000000000000,55.865681000000002,-4.257140000000000,Europe,14.667999999999999,24.949200000000001,0.587900000000000,100.000000000000000,21,21,21,35,31500.000000000000000,7.229662371390000
-1,Glasgow,23,55.987749999999998,-4.372700000000000,12,4,0.333000000000000,55.865681000000002,-4.257140000000000,Europe,15.364400000000000,24.949200000000001,0.615800000000000,100.000000000000000,22,22,22,34,30600.000000000000000,7.084270000730000
-1,Glasgow,24,56.003380000000000,-4.391520000000000,12,6,0.500000000000000,55.865681000000002,-4.257140000000000,Europe,17.449700000000000,24.949200000000001,0.699400000000000,100.000000000000000,23,23,23,37,33300.000000000000000,6.812657852010000
-1,Glasgow,25,56.013649999999998,-4.405050000000000,12,0,0.000000000000000,55.865681000000002,-4.257140000000000,Europe,18.856400000000001,24.949200000000001,0.755800000000000,100.000000000000000,24,24,24,35,31500.000000000000000,5.636310848210000
-1,Glasgow,26,56.016390000000001,-4.407840000000000,11,0,0.000000000000000,55.865681000000002,-4.257140000000000,Europe,19.206900000000001,24.949200000000001,0.769800000000000,100.000000000000000,25,25,25,35,31500.000000000000000,5.833248947190000
-1,Glasgow,27,56.019359999999999,-4.410380000000000,12,0,0.000000000000000,55.865681000000002,-4.257140000000000,Europe,19.572199999999999,24.949200000000001,0.784500000000000,100.000000000000000,26,26,26,36,32400.000000000000000,5.552776003010000
-1,Glasgow,28,56.022599999999997,-4.414030000000000,12,2,0.167000000000000,55.865681000000002,-4.257140000000000,Europe,19.997399999999999,24.949200000000001,0.801500000000000,100.000000000000000,27,27,27,35,31500.000000000000000,6.004509306580000
-1,Glasgow,29,56.025709999999997,-4.415590000000000,11,0,0.000000000000000,55.865681000000002,-4.257140000000000,Europe,20.346499999999999,24.949200000000001,0.815500000000000,100.000000000000000,28,28,28,35,31500.000000000000000,5.757250218700000
-1,Glasgow,30,56.030279999999998,-4.416220000000000,14,10,0.714000000000000,55.865681000000002,-4.257140000000000,Europe,20.810800000000000,24.949200000000001,0.834100000000000,100.000000000000000,29,29,29,35,31500.000000000000000,5.804771520140000
-1,Glasgow,31,56.034059999999997,-4.419680000000000,10,2,0.200000000000000,55.865681000000002,-4.257140000000000,Europe,21.282699999999998,24.949200000000001,0.853000000000000,100.000000000000000,30,30,30,37,33300.000000000000000,6.056650658890000
-1,Glasgow,32,56.035670000000003,-4.422860000000000,10,2,0.200000000000000,55.865681000000002,-4.257140000000000,Europe,21.534500000000001,24.949200000000001,0.863100000000000,100.000000000000000,31,31,31,36,32400.000000000000000,5.651429201620000
-1,Glasgow,33,56.037770000000002,-4.430500000000000,10,2,0.200000000000000,55.865681000000002,-4.257140000000000,Europe,21.969300000000000,24.949200000000001,0.880600000000000,100.000000000000000,32,32,32,37,33300.000000000000000,5.335388126720000
-1,Glasgow,34,56.041690000000003,-4.445290000000000,12,3,0.250000000000000,55.865681000000002,-4.257140000000000,Europe,22.808599999999998,24.949200000000001,0.914200000000000,100.000000000000000,33,33,33,32,28800.000000000000000,5.899478644060000
-1,Glasgow,35,56.043180000000000,-4.446530000000000,10,3,0.300000000000000,55.865681000000002,-4.257140000000000,Europe,22.990300000000001,24.949200000000001,0.921500000000000,100.000000000000000,34,34,34,36,32400.000000000000000,6.156813101820000
-1,Glasgow,36,56.047220000000003,-4.447410000000000,10,7,0.700000000000000,55.865681000000002,-4.257140000000000,Europe,23.404399999999999,24.949200000000001,0.938100000000000,100.000000000000000,35,35,35,36,32400.000000000000000,6.059068980260000
-1,Glasgow,37,56.054859999999998,-4.452540000000000,13,2,0.154000000000000,55.865681000000002,-4.257140000000000,Europe,24.298600000000000,24.949200000000001,0.973900000000000,100.000000000000000,36,36,36,32,28800.000000000000000,6.394743749630000
-1,Glasgow,38,56.061500000000002,-4.452840000000000,12,6,0.500000000000000,55.865681000000002,-4.257140000000000,Europe,24.949200000000001,24.949200000000001,1.000000000000000,100.000000000000000,37,37,37,36,32400.000000000000000,6.759536808560000
-1,Glasgow,39,55.878850000000000,-4.287460000000000,9,8,0.889000000000000,55.865681000000002,-4.257140000000000,Europe,2.392100000000000,24.949200000000001,0.095900000000000,100.000000000000000,38,38,38,35,31500.000000000000000,6.294249801800000
-1,Glasgow,40,55.871920000000003,-4.289980000000000,7,0,0.000000000000000,55.865681000000002,-4.257140000000000,Europe,2.163200000000000,24.949200000000001,0.086700000000000,100.000000000000000,39,39,39,34,30600.000000000000000,7.136598120640000
