OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,kingston_016029_20150128_LST_pcs_OID,kingston_016029_20150128_LST_pcs_FID_,kingston_016029_20150128_LST_pcs_COUNT,kingston_016029_20150128_LST_pcs_AREA,kingston_016029_20150128_LST_pcs_MEAN
-1,Kingston,1,44.300199999999997,-76.501499999999993,20,6,0.300000000000000,44.230480000000000,-76.481250000000003,Canada,North America,7.918400000000000,7.918400000000000,1,100.000000000000000,0,0,0,36,32400.000000000000000,-9.527579906020000
-1,Kingston,2,44.295200000000001,-76.501900000000006,20,5,0.250000000000000,44.230480000000000,-76.481250000000003,Canada,North America,7.382000000000000,7.918400000000000,1,100.000000000000000,1,1,1,36,32400.000000000000000,-9.970464930730000
-1,Kingston,3,44.289999999999999,-76.501599999999996,20,8,0.400000000000000,44.230480000000000,-76.481250000000003,Canada,North America,6.813800000000000,7.918400000000000,1,100.000000000000000,2,2,2,35,31500.000000000000000,-10.300713988300000
-1,Kingston,4,44.284399999999998,-76.502499999999998,20,1,0.050000000000000,44.230480000000000,-76.481250000000003,Canada,North America,6.229900000000000,7.918400000000000,1,100.000000000000000,3,3,3,32,28800.000000000000000,-10.695366209700000
-1,Kingston,5,44.278300000000002,-76.500799999999998,17,7,0.412000000000000,44.230480000000000,-76.481250000000003,Canada,North America,5.540600000000000,7.918400000000000,1,100.000000000000000,4,4,4,32,28800.000000000000000,-9.388815816579999
-1,Kingston,6,44.266700000000000,-76.500100000000003,13,5,0.385000000000000,44.230480000000000,-76.481250000000003,Canada,North America,4.298200000000000,7.918400000000000,1,100.000000000000000,5,5,5,33,29700.000000000000000,-7.798259709880000
-1,Kingston,7,44.266100000000002,-76.497799999999998,18,7,0.389000000000000,44.230480000000000,-76.481250000000003,Canada,North America,4.174400000000000,7.918400000000000,1,100.000000000000000,6,6,6,36,32400.000000000000000,-7.706157851250000
-1,Kingston,8,44.264400000000002,-76.499799999999993,20,1,0.050000000000000,44.230480000000000,-76.481250000000003,Canada,North America,4.050800000000000,7.918400000000000,1,100.000000000000000,7,7,7,35,31500.000000000000000,-7.330194892100000
-1,Kingston,9,44.263399999999997,-76.497600000000006,13,2,0.154000000000000,44.230480000000000,-76.481250000000003,Canada,North America,3.885300000000000,7.918400000000000,0,100.000000000000000,8,8,8,35,31500.000000000000000,-8.242097049750001
-1,Kingston,10,44.259399999999999,-76.499899999999997,20,3,0.150000000000000,44.230480000000000,-76.481250000000003,Canada,North America,3.542300000000000,7.918400000000000,0,100.000000000000000,9,9,9,34,30600.000000000000000,-9.020629295410000
