OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,la_verne_040036_20170125_LST_pcs_OID,la_verne_040036_20170125_LST_pcs_FID_,la_verne_040036_20170125_LST_pcs_COUNT,la_verne_040036_20170125_LST_pcs_AREA,la_verne_040036_20170125_LST_pcs_MEAN
-1,La_Verne,1,34.100450000000002,-117.773489999999995,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,0.522400000000000,6.107700000000000,0.085500000000000,100.000000000000000,0,0,0,32,28800.000000000000000,16.235728271300001
-1,La_Verne,2,34.100589999999997,-117.772829999999999,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,0.460700000000000,6.107700000000000,0.075400000000000,100.000000000000000,1,1,1,15,13500.000000000000000,14.672340125400000
-1,La_Verne,3,34.104329999999997,-117.778570000000002,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,1.061700000000000,6.107700000000000,0.173800000000000,100.000000000000000,2,2,2,37,33300.000000000000000,14.514838298000001
-1,La_Verne,4,34.104080000000003,-117.777590000000004,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,0.967500000000000,6.107700000000000,0.158400000000000,100.000000000000000,3,3,3,21,18900.000000000000000,15.127202606399999
-1,La_Verne,5,34.115110000000001,-117.760810000000006,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,1.713200000000000,6.107700000000000,0.280500000000000,100.000000000000000,4,4,4,35,31500.000000000000000,15.604422179200000
-1,La_Verne,6,34.115130000000001,-117.743870000000001,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,2.718900000000000,6.107700000000000,0.445200000000000,100.000000000000000,5,5,5,37,33300.000000000000000,15.538364304700000
-1,La_Verne,7,34.103220000000000,-117.767319999999998,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,0.268500000000000,6.107700000000000,0.044000000000000,100.000000000000000,6,6,6,32,28800.000000000000000,15.272517107400001
-1,La_Verne,8,34.104050000000001,-117.766990000000007,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,0.365000000000000,6.107700000000000,0.059800000000000,100.000000000000000,7,7,7,19,17100.000000000000000,14.816545977600001
-1,La_Verne,9,34.104830000000000,-117.766459999999995,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,0.461100000000000,6.107700000000000,0.075500000000000,100.000000000000000,8,8,8,24,21600.000000000000000,14.781798770500000
-1,La_Verne,10,34.104309999999998,-117.763840000000002,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,0.532900000000000,6.107700000000000,0.087300000000000,100.000000000000000,9,9,9,34,30600.000000000000000,15.590972632400000
-1,La_Verne,11,34.105499999999999,-117.763509999999997,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,0.653300000000000,6.107700000000000,0.107000000000000,100.000000000000000,10,10,10,28,25200.000000000000000,15.267868843000000
-1,La_Verne,12,34.107019999999999,-117.762690000000006,15,2,0.133000000000000,34.100842999999998,-117.767836000000003,North America,0.834400000000000,6.107700000000000,0.136600000000000,100.000000000000000,11,11,11,35,31500.000000000000000,15.184922188000000
-1,La_Verne,13,34.106969999999997,-117.762020000000007,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,0.866500000000000,6.107700000000000,0.141900000000000,100.000000000000000,12,12,12,12,10800.000000000000000,15.781589022400000
-1,La_Verne,14,34.107170000000004,-117.760890000000003,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,0.950800000000000,6.107700000000000,0.155700000000000,100.000000000000000,13,13,13,24,21600.000000000000000,16.517939895500000
-1,La_Verne,15,34.108269999999997,-117.759490000000000,15,13,0.867000000000000,34.100842999999998,-117.767836000000003,North America,1.128100000000000,6.107700000000000,0.184700000000000,100.000000000000000,14,14,14,34,30600.000000000000000,17.204903074299999
-1,La_Verne,16,34.108440000000002,-117.759169999999997,15,5,0.333000000000000,34.100842999999998,-117.767836000000003,North America,1.162000000000000,6.107700000000000,0.190300000000000,100.000000000000000,15,15,15,6,5400.000000000000000,17.650485779200000
-1,La_Verne,17,34.123420000000003,-117.739199999999997,15,5,0.333000000000000,34.100842999999998,-117.767836000000003,North America,3.640400000000000,6.107700000000000,0.596000000000000,100.000000000000000,16,16,16,32,28800.000000000000000,14.192838380800000
-1,La_Verne,18,34.117510000000003,-117.738180000000000,15,3,0.200000000000000,34.100842999999998,-117.767836000000003,North America,3.299900000000000,6.107700000000000,0.540300000000000,100.000000000000000,17,17,17,34,30600.000000000000000,15.258260519200000
-1,La_Verne,19,34.116979999999998,-117.738110000000006,15,2,0.133000000000000,34.100842999999998,-117.767836000000003,North America,3.272600000000000,6.107700000000000,0.535800000000000,100.000000000000000,18,18,18,12,10800.000000000000000,15.006877281400000
-1,La_Verne,20,34.116160000000001,-117.738900000000001,15,7,0.467000000000000,34.100842999999998,-117.767836000000003,North America,3.162000000000000,6.107700000000000,0.517700000000000,100.000000000000000,19,19,19,25,22500.000000000000000,15.425175848500000
-1,La_Verne,21,34.115960000000001,-117.740160000000003,15,3,0.200000000000000,34.100842999999998,-117.767836000000003,North America,3.052600000000000,6.107700000000000,0.499800000000000,100.000000000000000,20,20,20,25,22500.000000000000000,16.224819871800001
-1,La_Verne,22,34.117019999999997,-117.739869999999996,15,6,0.400000000000000,34.100842999999998,-117.767836000000003,North America,3.140800000000000,6.107700000000000,0.514200000000000,100.000000000000000,21,21,21,19,17100.000000000000000,15.060609200400000
-1,La_Verne,23,34.124409999999997,-117.733599999999996,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,4.098900000000000,6.107700000000000,0.671100000000000,100.000000000000000,22,22,22,35,31500.000000000000000,13.784653628899999
-1,La_Verne,24,34.124809999999997,-117.735560000000007,15,12,0.800000000000000,34.100842999999998,-117.767836000000003,North America,3.991400000000000,6.107700000000000,0.653500000000000,100.000000000000000,23,23,23,33,29700.000000000000000,13.303986105500000
-1,La_Verne,25,34.127929999999999,-117.725480000000005,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,4.927100000000000,6.107700000000000,0.806700000000000,100.000000000000000,24,24,24,35,31500.000000000000000,14.353489779600000
-1,La_Verne,26,34.127719999999997,-117.725239999999999,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,4.930400000000000,6.107700000000000,0.807200000000000,100.000000000000000,25,25,25,8,7200.000000000000000,14.186942149600000
-1,La_Verne,27,34.127470000000002,-117.724999999999994,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,4.931300000000000,6.107700000000000,0.807400000000000,100.000000000000000,26,26,26,9,8100.000000000000000,14.650297998199999
-1,La_Verne,28,34.127000000000002,-117.724729999999994,15,5,0.333000000000000,34.100842999999998,-117.767836000000003,North America,4.920100000000000,6.107700000000000,0.805600000000000,100.000000000000000,27,27,27,13,11700.000000000000000,15.138439252600000
-1,La_Verne,29,34.126600000000003,-117.724570000000000,15,13,0.867000000000000,34.100842999999998,-117.767836000000003,North America,4.905900000000000,6.107700000000000,0.803200000000000,100.000000000000000,28,28,28,9,8100.000000000000000,15.777994268800001
-1,La_Verne,30,34.128410000000002,-117.724639999999994,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,5.020900000000000,6.107700000000000,0.822100000000000,100.000000000000000,29,29,29,16,14400.000000000000000,14.485086745200000
-1,La_Verne,31,34.128270000000001,-117.719719999999995,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,5.377900000000000,6.107700000000000,0.880500000000000,100.000000000000000,30,30,30,36,32400.000000000000000,14.470385963600000
-1,La_Verne,32,34.128210000000003,-117.719220000000007,15,7,0.467000000000000,34.100842999999998,-117.767836000000003,North America,5.412100000000000,6.107700000000000,0.886100000000000,100.000000000000000,31,31,31,11,9900.000000000000000,14.137870857099999
-1,La_Verne,33,34.128140000000002,-117.718680000000006,15,3,0.200000000000000,34.100842999999998,-117.767836000000003,North America,5.449000000000000,6.107700000000000,0.892200000000000,100.000000000000000,32,32,32,8,7200.000000000000000,14.081516551800000
-1,La_Verne,34,34.127980000000001,-117.718230000000005,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,5.473600000000000,6.107700000000000,0.896200000000000,100.000000000000000,33,33,33,13,11700.000000000000000,14.212438482400000
-1,La_Verne,35,34.128390000000003,-117.716930000000005,15,2,0.133000000000000,34.100842999999998,-117.767836000000003,North America,5.598700000000000,6.107700000000000,0.916700000000000,100.000000000000000,34,34,34,27,24300.000000000000000,14.500566053300000
-1,La_Verne,36,34.128579999999999,-117.716840000000005,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,5.617200000000000,6.107700000000000,0.919700000000000,100.000000000000000,35,35,35,5,4500.000000000000000,15.131984729699999
-1,La_Verne,37,34.132100000000001,-117.713279999999997,15,0,0.000000000000000,34.100842999999998,-117.767836000000003,North America,6.107700000000000,6.107700000000000,1.000000000000000,100.000000000000000,36,36,36,35,31500.000000000000000,15.132324035500000
-1,La_Verne,38,34.131419999999999,-117.712770000000006,15,6,0.400000000000000,34.100842999999998,-117.767836000000003,North America,6.103900000000000,6.107700000000000,0.999400000000000,100.000000000000000,37,37,37,20,18000.000000000000000,15.498528212700000
-1,La_Verne,39,34.130940000000002,-117.713359999999994,15,3,0.200000000000000,34.100842999999998,-117.767836000000003,North America,6.029100000000000,6.107700000000000,0.987100000000000,100.000000000000000,38,38,38,15,13500.000000000000000,16.340964881000001
-1,La_Verne,40,34.131520000000002,-117.713620000000006,15,1,0.067000000000000,34.100842999999998,-117.767836000000003,North America,6.045400000000000,6.107700000000000,0.989800000000000,100.000000000000000,39,39,39,5,4500.000000000000000,15.555247944900000
