OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,melbourne_093086_20180727_LST_pcs_OID,melbourne_093086_20180727_LST_pcs_FID_,melbourne_093086_20180727_LST_pcs_COUNT,melbourne_093086_20180727_LST_pcs_AREA,melbourne_093086_20180727_LST_pcs_MEAN
-1,Melbourne,1,-38.015999999999998,144.447599999999994,20,15,0.750000000000000,-37.814217999999997,144.963161000000014,Oceania,50.486699999999999,53.436000000000000,0.944800000000000,100.000000000000000,0,0,0,36,32400.000000000000000,14.375492547900000
-1,Melbourne,2,-37.961100000000002,144.497299999999996,20,12,0.600000000000000,-37.814217999999997,144.963161000000014,Oceania,44.024099999999997,53.436000000000000,0.823900000000000,100.000000000000000,1,1,1,36,32400.000000000000000,14.621349329399999
-1,Melbourne,3,-38.020200000000003,144.412800000000004,11,7,0.636000000000000,-37.814217999999997,144.963161000000014,Oceania,53.436000000000000,53.436000000000000,1.000000000000000,100.000000000000000,2,2,2,36,32400.000000000000000,14.547759520300000
-1,Melbourne,4,-38.018500000000003,144.413499999999999,20,16,0.800000000000000,-37.814217999999997,144.963161000000014,Oceania,53.300199999999997,53.436000000000000,0.997500000000000,100.000000000000000,3,3,3,32,28800.000000000000000,14.647822284300000
-1,Melbourne,5,-37.920499999999997,144.681700000000006,20,16,0.800000000000000,-37.814217999999997,144.963161000000014,Oceania,27.387899999999998,53.436000000000000,0.512500000000000,100.000000000000000,4,4,4,36,32400.000000000000000,14.244460962700000
-1,Melbourne,6,-37.921500000000002,144.675800000000010,20,13,0.650000000000000,-37.814217999999997,144.963161000000014,Oceania,27.903199999999998,53.436000000000000,0.522200000000000,100.000000000000000,5,5,5,36,32400.000000000000000,13.999283753200000
-1,Melbourne,7,-37.938299999999998,144.672899999999998,20,15,0.750000000000000,-37.814217999999997,144.963161000000014,Oceania,28.972500000000000,53.436000000000000,0.542200000000000,100.000000000000000,6,6,6,35,31500.000000000000000,13.482473771800001
-1,Melbourne,8,-37.884000000000000,144.740600000000001,20,15,0.750000000000000,-37.814217999999997,144.963161000000014,Oceania,21.025600000000001,53.436000000000000,0.393500000000000,100.000000000000000,7,7,7,35,31500.000000000000000,13.468875433299999
-1,Melbourne,9,-37.880699999999997,144.736400000000003,10,6,0.600000000000000,-37.814217999999997,144.963161000000014,Oceania,21.238700000000001,53.436000000000000,0.397500000000000,100.000000000000000,8,8,8,37,33300.000000000000000,13.382825832700000
-1,Melbourne,10,-37.885100000000001,144.758800000000008,10,10,1.000000000000000,-37.814217999999997,144.963161000000014,Oceania,19.598099999999999,53.436000000000000,0.366800000000000,100.000000000000000,9,9,9,36,32400.000000000000000,14.103482497300000
-1,Melbourne,11,-37.871699999999997,144.768200000000007,15,11,0.733000000000000,-37.814217999999997,144.963161000000014,Oceania,18.273800000000001,53.436000000000000,0.342000000000000,100.000000000000000,10,10,10,32,28800.000000000000000,14.219895998500000
-1,Melbourne,12,-37.870699999999999,144.764499999999998,12,11,0.917000000000000,-37.814217999999997,144.963161000000014,Oceania,18.540700000000001,53.436000000000000,0.347000000000000,100.000000000000000,11,11,11,35,31500.000000000000000,14.208402919699999
-1,Melbourne,13,-37.874499999999998,144.764800000000008,15,14,0.933000000000000,-37.814217999999997,144.963161000000014,Oceania,18.663000000000000,53.436000000000000,0.349300000000000,100.000000000000000,12,12,12,35,31500.000000000000000,13.819844773400000
-1,Melbourne,14,-37.865200000000002,144.779899999999998,16,8,0.500000000000000,-37.814217999999997,144.963161000000014,Oceania,17.062200000000001,53.436000000000000,0.319300000000000,100.000000000000000,13,13,13,35,31500.000000000000000,13.988872510700000
