OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,tokyo_107035_20180102_LST_pcs_OID,tokyo_107035_20180102_LST_pcs_FID_,tokyo_107035_20180102_LST_pcs_COUNT,tokyo_107035_20180102_LST_pcs_AREA,tokyo_107035_20180102_LST_pcs_MEAN
-1,Tokyo,1,36.080277799999998,140.118333299999989,20,6,0.300000000000000,35.689487000000000,139.691710999999998,Japan,Asia,58.012300000000003,65.991500000000002,0.879100000000000,100.000000000000000,0,0,0,36,32400.000000000000000,8.925764616550000
-1,Tokyo,2,36.079722199999999,140.126944400000014,20,1,0.050000000000000,35.689487000000000,139.691710999999998,Japan,Asia,58.483400000000003,65.991500000000002,0.886200000000000,100.000000000000000,1,1,1,35,31500.000000000000000,10.246214410300000
-1,Tokyo,3,36.077777800000000,140.135277800000011,19,2,0.105000000000000,35.689487000000000,139.691710999999998,Japan,Asia,58.830800000000004,65.991500000000002,0.891500000000000,100.000000000000000,2,2,2,32,28800.000000000000000,9.753740974210000
-1,Tokyo,4,36.067777800000002,140.138611099999991,17,9,0.529000000000000,35.689487000000000,139.691710999999998,Japan,Asia,58.228700000000003,65.991500000000002,0.882400000000000,100.000000000000000,3,3,3,35,31500.000000000000000,9.156304829170001
-1,Tokyo,5,35.669166699999998,139.719444399999986,16,7,0.438000000000000,35.689487000000000,139.691710999999998,Japan,Asia,3.373500000000000,65.991500000000002,0.051100000000000,100.000000000000000,4,4,4,32,28800.000000000000000,11.573590069800000
-1,Tokyo,6,35.658611100000002,139.687777799999992,18,2,0.111000000000000,35.689487000000000,139.691710999999998,Japan,Asia,3.451600000000000,65.991500000000002,0.052300000000000,100.000000000000000,5,5,5,32,28800.000000000000000,10.278821401500000
-1,Tokyo,7,35.950555600000001,139.995277799999997,18,8,0.444000000000000,35.689487000000000,139.691710999999998,Japan,Asia,39.898099999999999,65.991500000000002,0.604600000000000,100.000000000000000,6,6,6,35,31500.000000000000000,9.655686158000000
-1,Tokyo,8,35.952222200000001,140.001388899999995,20,2,0.100000000000000,35.689487000000000,139.691710999999998,Japan,Asia,40.411700000000003,65.991500000000002,0.612400000000000,100.000000000000000,7,7,7,35,31500.000000000000000,8.945220403420000
-1,Tokyo,9,35.991944400000001,140.037499999999994,18,2,0.111000000000000,35.689487000000000,139.691710999999998,Japan,Asia,45.854300000000002,65.991500000000002,0.694900000000000,100.000000000000000,8,8,8,36,32400.000000000000000,9.776477874730000
-1,Tokyo,10,35.988611100000000,140.028611100000006,18,12,0.667000000000000,35.689487000000000,139.691710999999998,Japan,Asia,45.039499999999997,65.991500000000002,0.682500000000000,100.000000000000000,9,9,9,35,31500.000000000000000,10.510933574599999
