OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,rochester_016030_20150128_LST_pcs_OID,rochester_016030_20150128_LST_pcs_FID_,rochester_016030_20150128_LST_pcs_COUNT,rochester_016030_20150128_LST_pcs_AREA,rochester_016030_20150128_LST_pcs_MEAN
-1,Rochester,1,43.158320000000003,-77.615819999999999,10,0,0.000000000000000,43.156139000000003,-77.604917000000000,North America,0.917000000000000,23.999600000000001,0.038200000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-4.755131291030000
-1,Rochester,2,43.154380000000003,-77.615589999999997,5,0,0.000000000000000,43.156139000000003,-77.604917000000000,North America,0.887600000000000,23.999600000000001,0.037000000000000,100.000000000000000,1,1,1,37,33300.000000000000000,-3.798768118010000
-1,Rochester,3,43.153880000000001,-77.618430000000004,10,0,0.000000000000000,43.156139000000003,-77.604917000000000,North America,1.124600000000000,23.999600000000001,0.046900000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-3.986064133410000
-1,Rochester,4,43.153329999999997,-77.622889999999998,10,2,0.200000000000000,43.156139000000003,-77.604917000000000,North America,1.491000000000000,23.999600000000001,0.062100000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-6.076197018400000
-1,Rochester,5,43.152940000000001,-77.624160000000003,9,3,0.333000000000000,43.156139000000003,-77.604917000000000,North America,1.601000000000000,23.999600000000001,0.066700000000000,100.000000000000000,4,4,4,21,18900.000000000000000,-5.454350063910000
-1,Rochester,6,43.150820000000003,-77.631950000000003,19,2,0.105000000000000,43.156139000000003,-77.604917000000000,North America,2.271300000000000,23.999600000000001,0.094600000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-5.092575763660000
-1,Rochester,7,43.150770000000001,-77.634879999999995,20,4,0.200000000000000,43.156139000000003,-77.604917000000000,North America,2.502800000000000,23.999600000000001,0.104300000000000,100.000000000000000,6,6,6,36,32400.000000000000000,-4.966872252770000
-1,Rochester,8,43.150190000000002,-77.639319999999998,20,1,0.050000000000000,43.156139000000003,-77.604917000000000,North America,2.868100000000000,23.999600000000001,0.119500000000000,100.000000000000000,7,7,7,36,32400.000000000000000,-5.003150123350000
-1,Rochester,9,43.145650000000003,-77.650899999999993,20,9,0.450000000000000,43.156139000000003,-77.604917000000000,North America,3.908400000000000,23.999600000000001,0.162900000000000,100.000000000000000,8,8,8,36,32400.000000000000000,-4.354977955830000
-1,Rochester,10,43.143110000000000,-77.658019999999993,15,0,0.000000000000000,43.156139000000003,-77.604917000000000,North America,4.545000000000000,23.999600000000001,0.189400000000000,100.000000000000000,9,9,9,36,32400.000000000000000,-5.250415971200000
-1,Rochester,11,43.141150000000003,-77.662639999999996,20,4,0.200000000000000,43.156139000000003,-77.604917000000000,North America,4.970600000000000,23.999600000000001,0.207100000000000,100.000000000000000,10,10,10,36,32400.000000000000000,-6.320276219790000
-1,Rochester,12,43.140090000000001,-77.667619999999999,20,0,0.000000000000000,43.156139000000003,-77.604917000000000,North America,5.390800000000000,23.999600000000001,0.224600000000000,100.000000000000000,11,11,11,35,31500.000000000000000,-5.066421060590000
-1,Rochester,13,43.139020000000002,-77.671180000000007,20,7,0.350000000000000,43.156139000000003,-77.604917000000000,North America,5.702800000000000,23.999600000000001,0.237600000000000,100.000000000000000,12,12,12,36,32400.000000000000000,-5.568463759090000
-1,Rochester,14,43.136589999999998,-77.675139999999999,12,1,0.083000000000000,43.156139000000003,-77.604917000000000,North America,6.097700000000000,23.999600000000001,0.254100000000000,100.000000000000000,13,13,13,35,31500.000000000000000,-6.836888736710000
-1,Rochester,16,43.131959999999999,-77.686390000000003,19,0,0.000000000000000,43.156139000000003,-77.604917000000000,North America,7.135900000000000,23.999600000000001,0.297300000000000,100.000000000000000,15,14,15,34,30600.000000000000000,-4.930827739040000
-1,Rochester,26,43.130229999999997,-77.694220000000001,20,0,0.000000000000000,43.156139000000003,-77.604917000000000,North America,7.797200000000000,23.999600000000001,0.324900000000000,100.000000000000000,16,15,16,34,30600.000000000000000,-6.663030547290000
-1,Rochester,27,43.128439999999998,-77.698459999999997,20,5,0.250000000000000,43.156139000000003,-77.604917000000000,North America,8.190700000000000,23.999600000000001,0.341300000000000,100.000000000000000,17,16,17,35,31500.000000000000000,-6.491379782120000
