OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,rennes_202026_20180212_NDVI_pcs_OID,rennes_202026_20180212_NDVI_pcs_FID_,rennes_202026_20180212_NDVI_pcs_COUNT,rennes_202026_20180212_NDVI_pcs_AREA,rennes_202026_20180212_NDVI_pcs_MEAN
-1,Rennes,1,48.111499999999999,-1.689300000000000,20,20,1.000000000000000,48.111778000000001,-1.680260000000000,Europe,0.671900000000000,12.319300000000000,0.054500000000000,100.000000000000000,0,0,0,36,32400.000000000000000,0.339700630556000
-1,Rennes,2,48.115000000000002,-1.686200000000000,18,15,0.833000000000000,48.111778000000001,-1.680260000000000,Europe,0.568200000000000,12.319300000000000,0.046100000000000,100.000000000000000,1,1,1,36,32400.000000000000000,0.323482654782000
-1,Rennes,3,48.110900000000001,-1.685100000000000,18,14,0.778000000000000,48.111778000000001,-1.680260000000000,Europe,0.372400000000000,12.319300000000000,0.030200000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.249516118211000
-1,Rennes,4,48.113000000000000,-1.674500000000000,20,18,0.900000000000000,48.111778000000001,-1.680260000000000,Europe,0.448700000000000,12.319300000000000,0.036400000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.372403128871000
-1,Rennes,5,48.109600000000000,-1.674400000000000,18,17,0.944000000000000,48.111778000000001,-1.680260000000000,Europe,0.497900000000000,12.319300000000000,0.040400000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.162803374923000
-1,Rennes,6,48.109200000000001,-1.667300000000000,17,10,0.588000000000000,48.111778000000001,-1.680260000000000,Europe,1.004000000000000,12.319300000000000,0.081500000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.298605405007000
-1,Rennes,7,48.107999999999997,-1.664600000000000,17,17,1.000000000000000,48.111778000000001,-1.680260000000000,Europe,1.236200000000000,12.319300000000000,0.100300000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.328649177722000
-1,Rennes,8,48.110700000000001,-1.661500000000000,16,15,0.938000000000000,48.111778000000001,-1.680260000000000,Europe,1.398000000000000,12.319300000000000,0.113500000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.382497675930000
-1,Rennes,9,48.113000000000000,-1.660100000000000,17,14,0.824000000000000,48.111778000000001,-1.680260000000000,Europe,1.502900000000000,12.319300000000000,0.122000000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.493859500119000
-1,Rennes,10,48.117699999999999,-1.652000000000000,18,18,1.000000000000000,48.111778000000001,-1.680260000000000,Europe,2.198900000000000,12.319300000000000,0.178500000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.475916112321000
-1,Rennes,11,48.117300000000000,-1.647400000000000,20,14,0.700000000000000,48.111778000000001,-1.680260000000000,Europe,2.515600000000000,12.319300000000000,0.204200000000000,100.000000000000000,10,10,10,34,30600.000000000000000,0.727710217237000
