OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,munster_196024_20170215_NDVI_pcs_OID,munster_196024_20170215_NDVI_pcs_FID_,munster_196024_20170215_NDVI_pcs_COUNT,munster_196024_20170215_NDVI_pcs_AREA,munster_196024_20170215_NDVI_pcs_MEAN
-1,Muenster,1,51.956829999999997,7.629510000000000,20,2,0.100000000000000,51.962125999999998,7.624724000000000,Europe,0.674000000000000,10.032900000000000,0.067200000000000,100.000000000000000,0,0,0,36,32400.000000000000000,0.315158821849000
-1,Muenster,2,51.957160000000002,7.620800000000000,20,3,0.150000000000000,51.962125999999998,7.624724000000000,Europe,0.614200000000000,10.032900000000000,0.061200000000000,100.000000000000000,1,1,1,34,30600.000000000000000,0.310818538946000
-1,Muenster,3,51.957819999999998,7.630270000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.611300000000000,10.032900000000000,0.060900000000000,100.000000000000000,2,2,2,25,22500.000000000000000,0.276188536584000
-1,Muenster,4,51.961930000000002,7.621390000000000,15,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.229500000000000,10.032900000000000,0.022900000000000,100.000000000000000,3,3,3,33,29700.000000000000000,0.296186722363000
-1,Muenster,5,51.962699999999998,7.622490000000000,20,1,0.050000000000000,51.962125999999998,7.624724000000000,Europe,0.165800000000000,10.032900000000000,0.016500000000000,100.000000000000000,4,4,4,24,21600.000000000000000,0.343725849719000
-1,Muenster,6,51.966569999999997,7.622430000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.518500000000000,10.032900000000000,0.051700000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.340449417489000
-1,Muenster,7,51.967399999999998,7.620060000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,0.667800000000000,10.032900000000000,0.066600000000000,100.000000000000000,6,6,6,34,30600.000000000000000,0.334079286851000
-1,Muenster,8,51.973070000000000,7.617220000000000,17,5,0.294000000000000,51.962125999999998,7.624724000000000,Europe,1.321000000000000,10.032900000000000,0.131700000000000,100.000000000000000,7,7,7,36,32400.000000000000000,0.424825374451000
-1,Muenster,9,51.974670000000003,7.618140000000000,20,2,0.100000000000000,51.962125999999998,7.624724000000000,Europe,1.465900000000000,10.032900000000000,0.146100000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.326652770809000
-1,Muenster,10,51.976550000000003,7.618440000000000,20,0,0.000000000000000,51.962125999999998,7.624724000000000,Europe,1.660600000000000,10.032900000000000,0.165500000000000,100.000000000000000,9,9,9,34,30600.000000000000000,0.348919187193000
