OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,talca_233085_20160709_NDVI_pcs_OID,talca_233085_20160709_NDVI_pcs_FID_,talca_233085_20160709_NDVI_pcs_COUNT,talca_233085_20160709_NDVI_pcs_AREA,talca_233085_20160709_NDVI_pcs_MEAN
-1,Talca,1,-35.426400000000001,-71.665859999999995,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,1.000300000000000,14.086700000000000,0.071000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.194519759914000
-1,Talca,2,-35.428339999999999,-71.667040000000000,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,1.103100000000000,14.086700000000000,0.078300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.143146354599000
-1,Talca,3,-35.428220000000003,-71.671090000000007,20,17,0.850000000000000,-35.427525000000003,-71.654906999999994,South America,1.468300000000000,14.086700000000000,0.104200000000000,100.000000000000000,2,2,2,32,28800.000000000000000,0.317422610999000
-1,Talca,4,-35.429560000000002,-71.672319999999999,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,1.593900000000000,14.086700000000000,0.113100000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.204871052184000
-1,Talca,5,-35.429420000000000,-71.675659999999993,20,10,0.500000000000000,-35.427525000000003,-71.654906999999994,South America,1.892100000000000,14.086700000000000,0.134300000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.298490634809000
-1,Talca,6,-35.431570000000001,-71.676969999999997,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,2.049000000000000,14.086700000000000,0.145500000000000,100.000000000000000,5,5,5,36,32400.000000000000000,0.224855578505000
-1,Talca,7,-35.433219999999999,-71.678039999999996,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,2.189500000000000,14.086700000000000,0.155400000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.381828514167000
-1,Talca,8,-35.435440000000000,-71.679730000000006,20,17,0.850000000000000,-35.427525000000003,-71.654906999999994,South America,2.415100000000000,14.086700000000000,0.171400000000000,100.000000000000000,7,7,7,37,33300.000000000000000,0.275789355104000
-1,Talca,9,-35.437449999999998,-71.680580000000006,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,2.574500000000000,14.086700000000000,0.182800000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.314852245365000
-1,Talca,10,-35.439380000000000,-71.682689999999994,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,2.841400000000000,14.086700000000000,0.201700000000000,100.000000000000000,9,9,9,36,32400.000000000000000,0.201468076246000
-1,Talca,11,-35.441540000000003,-71.684280000000001,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,3.083900000000000,14.086700000000000,0.218900000000000,100.000000000000000,10,10,10,37,33300.000000000000000,0.257038657654000
-1,Talca,12,-35.444209999999998,-71.685900000000004,20,8,0.400000000000000,-35.427525000000003,-71.654906999999994,South America,3.365500000000000,14.086700000000000,0.238900000000000,100.000000000000000,11,11,11,36,32400.000000000000000,0.229283937150000
-1,Talca,13,-35.446159999999999,-71.688000000000002,20,18,0.900000000000000,-35.427525000000003,-71.654906999999994,South America,3.644500000000000,14.086700000000000,0.258700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.241777508174000
-1,Talca,14,-35.447949999999999,-71.689419999999998,20,20,1.000000000000000,-35.427525000000003,-71.654906999999994,South America,3.864500000000000,14.086700000000000,0.274300000000000,100.000000000000000,13,13,13,37,33300.000000000000000,0.349653291138000
-1,Talca,15,-35.449910000000003,-71.690179999999998,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,4.050600000000000,14.086700000000000,0.287500000000000,100.000000000000000,14,14,14,36,32400.000000000000000,0.236647555242000
-1,Talca,16,-35.453530000000001,-71.686700000000002,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,4.081300000000000,14.086700000000000,0.289700000000000,100.000000000000000,15,15,15,35,31500.000000000000000,0.177698689061000
-1,Talca,17,-35.455170000000003,-71.689880000000002,20,11,0.550000000000000,-35.427525000000003,-71.654906999999994,South America,4.414400000000000,14.086700000000000,0.313400000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.600384945529000
-1,Talca,18,-35.458640000000003,-71.693280000000001,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,4.904500000000000,14.086700000000000,0.348200000000000,100.000000000000000,17,17,17,35,31500.000000000000000,0.519886707940000
-1,Talca,19,-35.465879999999999,-71.685550000000006,20,17,0.850000000000000,-35.427525000000003,-71.654906999999994,South America,5.088600000000000,14.086700000000000,0.361200000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.684209614992000
-1,Talca,20,-35.466780000000000,-71.695110000000000,20,12,0.600000000000000,-35.427525000000003,-71.654906999999994,South America,5.684700000000000,14.086700000000000,0.403600000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.669721398183000
-1,Talca,21,-35.475949999999997,-71.699029999999993,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,6.705800000000000,14.086700000000000,0.476000000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.614315627302000
-1,Talca,22,-35.479340000000001,-71.700770000000006,1,0,0.000000000000000,-35.427525000000003,-71.654906999999994,South America,7.103000000000000,14.086700000000000,0.504200000000000,100.000000000000000,21,21,21,35,31500.000000000000000,0.646060815028000
-1,Talca,23,-35.481040000000000,-71.701359999999994,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,7.287900000000000,14.086700000000000,0.517400000000000,100.000000000000000,22,22,22,34,30600.000000000000000,0.653528055724000
-1,Talca,24,-35.483289999999997,-71.703580000000002,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,7.608200000000000,14.086700000000000,0.540100000000000,100.000000000000000,23,23,23,35,31500.000000000000000,0.507996374369000
-1,Talca,25,-35.489010000000000,-71.705650000000006,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,8.238000000000000,14.086700000000000,0.584800000000000,100.000000000000000,24,24,24,34,30600.000000000000000,0.532981781399000
-1,Talca,26,-35.490850000000002,-71.705269999999999,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,8.389799999999999,14.086700000000000,0.595600000000000,100.000000000000000,25,25,25,35,31500.000000000000000,0.528661633815000
-1,Talca,27,-35.493789999999997,-71.703109999999995,20,12,0.600000000000000,-35.427525000000003,-71.654906999999994,South America,8.564600000000000,14.086700000000000,0.608000000000000,100.000000000000000,26,26,26,36,32400.000000000000000,0.614332811700000
-1,Talca,28,-35.496420000000001,-71.702730000000003,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,8.800400000000000,14.086700000000000,0.624700000000000,100.000000000000000,27,27,27,32,28800.000000000000000,0.646356469020000
-1,Talca,29,-35.499029999999998,-71.702969999999993,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,9.064600000000000,14.086700000000000,0.643500000000000,100.000000000000000,28,28,28,36,32400.000000000000000,0.688202401002000
-1,Talca,30,-35.508319999999998,-71.702200000000005,20,11,0.550000000000000,-35.427525000000003,-71.654906999999994,South America,9.952700000000000,14.086700000000000,0.706500000000000,100.000000000000000,29,29,29,32,28800.000000000000000,0.634313362651000
-1,Talca,31,-35.512720000000002,-71.701300000000003,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,10.363099999999999,14.086700000000000,0.735700000000000,100.000000000000000,30,30,30,33,29700.000000000000000,0.384355675316000
-1,Talca,32,-35.535240000000002,-71.697289999999995,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,12.577100000000000,14.086700000000000,0.892800000000000,100.000000000000000,31,31,31,34,30600.000000000000000,0.553234535982000
-1,Talca,33,-35.537860000000002,-71.697909999999993,6,0,0.000000000000000,-35.427525000000003,-71.654906999999994,South America,12.871700000000001,14.086700000000000,0.913700000000000,100.000000000000000,32,32,32,32,28800.000000000000000,0.557427682914000
-1,Talca,34,-35.543720000000000,-71.696110000000004,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,13.448100000000000,14.086700000000000,0.954700000000000,100.000000000000000,33,33,33,36,32400.000000000000000,0.586367074814000
-1,Talca,35,-35.542780000000000,-71.697649999999996,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,13.387400000000000,14.086700000000000,0.950400000000000,100.000000000000000,34,34,34,32,28800.000000000000000,0.498136679176000
-1,Talca,36,-35.549379999999999,-71.697460000000007,20,11,0.550000000000000,-35.427525000000003,-71.654906999999994,South America,14.086700000000000,14.086700000000000,1.000000000000000,100.000000000000000,35,35,35,37,33300.000000000000000,0.352110735669000
-1,Talca,37,-35.517330000000001,-71.700500000000005,20,10,0.500000000000000,-35.427525000000003,-71.654906999999994,South America,10.805700000000000,14.086700000000000,0.767100000000000,100.000000000000000,36,36,36,32,28800.000000000000000,0.384929954540000
-1,Talca,38,-35.422089999999997,-71.664510000000007,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,1.059400000000000,14.086700000000000,0.075200000000000,100.000000000000000,37,37,37,36,32400.000000000000000,0.240017680451000
-1,Talca,39,-35.422420000000002,-71.661890000000000,20,18,0.900000000000000,-35.427525000000003,-71.654906999999994,South America,0.850000000000000,14.086700000000000,0.060300000000000,100.000000000000000,38,38,38,35,31500.000000000000000,0.261798313047000
-1,Talca,40,-35.422570000000000,-71.658990000000003,20,12,0.600000000000000,-35.427525000000003,-71.654906999999994,South America,0.663700000000000,14.086700000000000,0.047100000000000,100.000000000000000,39,39,39,35,31500.000000000000000,0.239479001824000
