OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,angus_018029_20150126_NDVI_pcs_OID,angus_018029_20150126_NDVI_pcs_FID_,angus_018029_20150126_NDVI_pcs_COUNT,angus_018029_20150126_NDVI_pcs_AREA,angus_018029_20150126_NDVI_pcs_MEAN
-1,Angus,1,44.322775000000000,-79.878961000000004,NA,NA,0.150000000000000,44.325538999999999,-79.888369999999995,North America,0.809117913039000,4.792257340690000,0.168800000000000,100.000000000000000,0,0,0,36,32400.000000000000000,0.018835886013700
-1,Angus,2,44.322101000000004,-79.876159999999999,NA,NA,0.200000000000000,44.325538999999999,-79.888369999999995,North America,1.043818684820000,4.792257340690000,0.217800000000000,100.000000000000000,1,1,1,36,32400.000000000000000,0.048226870699900
-1,Angus,3,44.323613000000002,-79.874397999999999,NA,NA,0.350000000000000,44.325538999999999,-79.888369999999995,North America,1.131890854750000,4.792257340690000,0.236200000000000,100.000000000000000,2,2,2,32,28800.000000000000000,0.167335561317000
-1,Angus,4,44.323729999999998,-79.872265999999996,NA,NA,0.550000000000000,44.325538999999999,-79.888369999999995,North America,1.296737495840000,4.792257340690000,0.270600000000000,100.000000000000000,3,3,3,34,30600.000000000000000,0.249661597437000
-1,Angus,5,44.323501999999998,-79.869035999999994,NA,NA,0.400000000000000,44.325538999999999,-79.888369999999995,North America,1.554573616980000,4.792257340690000,0.324400000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.073534574080300
-1,Angus,6,44.324226000000003,-79.867006000000003,NA,NA,0.200000000000000,44.325538999999999,-79.888369999999995,North America,1.705716152670000,4.792257340690000,0.355900000000000,100.000000000000000,5,5,5,36,32400.000000000000000,0.103327849961000
-1,Angus,7,44.325378000000001,-79.865945999999994,NA,NA,0.700000000000000,44.325538999999999,-79.888369999999995,North America,1.783849201680000,4.792257340690000,0.372200000000000,100.000000000000000,6,6,6,31,27900.000000000000000,0.065614866453300
-1,Angus,8,44.325809999999997,-79.863809000000003,NA,NA,0.300000000000000,44.325538999999999,-79.888369999999995,North America,1.953976239230000,4.792257340690000,0.407700000000000,100.000000000000000,7,7,7,33,29700.000000000000000,0.030892772547100
-1,Angus,9,44.326416000000002,-79.861348000000007,NA,NA,0.368421053000000,44.325538999999999,-79.888369999999995,North America,2.151707877280000,4.792257340690000,0.449000000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.023804945239300
-1,Angus,10,44.324646999999999,-79.859815999999995,NA,NA,0.250000000000000,44.325538999999999,-79.888369999999995,North America,2.273560486090000,4.792257340690000,0.474400000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.145191624581000
-1,Angus,11,44.326810999999999,-79.857831000000004,NA,NA,0.150000000000000,44.325538999999999,-79.888369999999995,North America,2.433366757300000,4.792257340690000,0.507800000000000,100.000000000000000,10,10,10,35,31500.000000000000000,0.225426117118000
-1,Angus,12,44.328736999999997,-79.854731999999998,NA,NA,0.300000000000000,44.325538999999999,-79.888369999999995,North America,2.699247672730000,4.792257340690000,0.563300000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.241960046161000
-1,Angus,13,44.328958000000000,-79.849299999999999,NA,NA,0.857142857000000,44.325538999999999,-79.888369999999995,North America,3.130968932590000,4.792257340690000,0.653300000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.313308334271000
-1,Angus,14,44.328499999999998,-79.845177000000007,NA,NA,0.150000000000000,44.325538999999999,-79.888369999999995,North America,3.451516936690000,4.792257340690000,0.720200000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.030928461865700
-1,Angus,15,44.330373000000002,-79.843890999999999,NA,NA,0.105263158000000,44.325538999999999,-79.888369999999995,North America,3.578613655170000,4.792257340690000,0.746700000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.098722918564500
-1,Angus,16,44.331220000000002,-79.840498999999994,NA,NA,0.350000000000000,44.325538999999999,-79.888369999999995,North America,3.859841751100000,4.792257340690000,0.805400000000000,100.000000000000000,15,15,15,36,32400.000000000000000,-0.025337151103000
-1,Angus,17,44.331384999999997,-79.838414999999998,NA,NA,0.421052632000000,44.325538999999999,-79.888369999999995,North America,4.026381437440000,4.792257340690000,0.840200000000000,100.000000000000000,16,16,16,29,26100.000000000000000,-0.013023184667600
-1,Angus,18,44.332183000000001,-79.835282000000007,NA,NA,0.176470588000000,44.325538999999999,-79.888369999999995,North America,4.286878594450000,4.792257340690000,0.894500000000000,100.000000000000000,17,17,17,34,30600.000000000000000,-0.030573352541300
-1,Angus,19,44.332776000000003,-79.832218999999995,NA,NA,0.473684211000000,44.325538999999999,-79.888369999999995,North America,4.538270753440000,4.792257340690000,0.947000000000000,100.000000000000000,18,18,18,37,33300.000000000000000,-0.004059946837810
-1,Angus,20,44.333384000000002,-79.829127999999997,NA,NA,0.368421053000000,44.325538999999999,-79.888369999999995,North America,4.792257340690000,4.792257340690000,1.000000000000000,100.000000000000000,19,19,19,36,32400.000000000000000,0.062700761915400
