OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,st_louis_024033_20150205_NDVI_pcs_OID,st_louis_024033_20150205_NDVI_pcs_FID_,st_louis_024033_20150205_NDVI_pcs_COUNT,st_louis_024033_20150205_NDVI_pcs_AREA,st_louis_024033_20150205_NDVI_pcs_MEAN
-1,St_Louis,1,38.626710000000003,-90.194029999999998,12,3,0.250000000000000,38.627273000000002,-90.197889000000004,North America,0.341000000000000,37.038400000000003,0.009200000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.090561824125600
-1,St_Louis,2,38.627299999999998,-90.197059999999993,13,0,0.000000000000000,38.627273000000002,-90.197889000000004,North America,0.072100000000000,37.038400000000003,0.001900000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.071962029460300
-1,St_Louis,3,38.627879999999998,-90.198589999999996,15,6,0.400000000000000,38.627273000000002,-90.197889000000004,North America,0.090900000000000,37.038400000000003,0.002500000000000,100.000000000000000,2,2,2,30,27000.000000000000000,0.103292410448000
-1,St_Louis,4,38.625590000000003,-90.195700000000002,13,3,0.231000000000000,38.627273000000002,-90.197889000000004,North America,0.266800000000000,37.038400000000003,0.007200000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.120571017299000
-1,St_Louis,5,38.617710000000002,-90.201329999999999,10,2,0.200000000000000,38.627273000000002,-90.197889000000004,North America,1.104600000000000,37.038400000000003,0.029800000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.102823767598000
-1,St_Louis,6,38.614600000000003,-90.215540000000004,17,3,0.176000000000000,38.627273000000002,-90.197889000000004,North America,2.082600000000000,37.038400000000003,0.056200000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.164566464722000
-1,St_Louis,7,38.611919999999998,-90.207260000000005,15,4,0.267000000000000,38.627273000000002,-90.197889000000004,North America,1.891400000000000,37.038400000000003,0.051100000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.132467416674000
-1,St_Louis,8,38.608100000000000,-90.214169999999996,16,5,0.312000000000000,38.627273000000002,-90.197889000000004,North America,2.558500000000000,37.038400000000003,0.069100000000000,100.000000000000000,7,7,7,32,28800.000000000000000,0.090734211728000
-1,St_Louis,9,38.597920000000002,-90.221249999999998,15,1,0.067000000000000,38.627273000000002,-90.197889000000004,North America,3.843600000000000,37.038400000000003,0.103800000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.135471382311000
-1,St_Louis,10,38.601739999999999,-90.219420000000000,15,0,0.000000000000000,38.627273000000002,-90.197889000000004,North America,3.400000000000000,37.038400000000003,0.091800000000000,100.000000000000000,9,9,9,36,32400.000000000000000,0.111500755211000
-1,St_Louis,11,38.607630000000000,-90.226879999999994,17,2,0.118000000000000,38.627273000000002,-90.197889000000004,North America,3.333900000000000,37.038400000000003,0.090000000000000,100.000000000000000,10,10,10,36,32400.000000000000000,0.098681201822000
-1,St_Louis,12,38.598489999999998,-90.236369999999994,15,2,0.133000000000000,38.627273000000002,-90.197889000000004,North America,4.628400000000000,37.038400000000003,0.125000000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.132919267192000
-1,St_Louis,13,38.603149999999999,-90.244399999999999,17,1,0.059000000000000,38.627273000000002,-90.197889000000004,North America,4.850200000000000,37.038400000000003,0.131000000000000,100.000000000000000,12,12,12,34,30600.000000000000000,0.157286263674000
-1,St_Louis,14,38.591709999999999,-90.250780000000006,15,3,0.200000000000000,38.627273000000002,-90.197889000000004,North America,6.062800000000000,37.038400000000003,0.163700000000000,100.000000000000000,13,13,13,36,32400.000000000000000,0.081240019864500
-1,St_Louis,15,38.587989999999998,-90.251710000000003,15,2,0.133000000000000,38.627273000000002,-90.197889000000004,North America,6.399300000000000,37.038400000000003,0.172800000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.107339045938000
-1,St_Louis,16,38.590519999999998,-90.261300000000006,16,1,0.062000000000000,38.627273000000002,-90.197889000000004,North America,6.860000000000000,37.038400000000003,0.185200000000000,100.000000000000000,15,15,15,32,28800.000000000000000,0.130720501416000
-1,St_Louis,17,38.599260000000001,-90.289850000000001,18,3,0.167000000000000,38.627273000000002,-90.197889000000004,North America,8.575699999999999,37.038400000000003,0.231500000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.153765855304000
-1,St_Louis,18,38.593879999999999,-90.298220000000001,16,8,0.500000000000000,38.627273000000002,-90.197889000000004,North America,9.475400000000000,37.038400000000003,0.255800000000000,100.000000000000000,17,17,17,34,30600.000000000000000,0.091790610263500
-1,St_Louis,19,38.592689999999997,-90.301360000000003,16,5,0.312000000000000,38.627273000000002,-90.197889000000004,North America,9.778400000000000,37.038400000000003,0.264000000000000,100.000000000000000,18,18,18,37,33300.000000000000000,0.076539471330200
-1,St_Louis,20,38.587209999999999,-90.303600000000003,17,2,0.118000000000000,38.627273000000002,-90.197889000000004,North America,10.208700000000000,37.038400000000003,0.275600000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.162023790979000
-1,St_Louis,21,38.589520000000000,-90.307609999999997,16,1,0.062000000000000,38.627273000000002,-90.197889000000004,North America,10.417100000000000,37.038400000000003,0.281300000000000,100.000000000000000,20,20,20,36,32400.000000000000000,0.082376042743100
-1,St_Louis,22,38.586930000000002,-90.314019999999999,16,10,0.625000000000000,38.627273000000002,-90.197889000000004,North America,11.043100000000001,37.038400000000003,0.298200000000000,100.000000000000000,21,21,21,35,31500.000000000000000,0.126939554300000
