OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,jacksonville_017039_20170124_NDVI_pcs_OID,jacksonville_017039_20170124_NDVI_pcs_FID_,jacksonville_017039_20170124_NDVI_pcs_COUNT,jacksonville_017039_20170124_NDVI_pcs_AREA,jacksonville_017039_20170124_NDVI_pcs_MEAN
-1,Jacksonville,1,30.332619999999999,-81.652429999999995,15,5,0.333000000000000,30.325970000000002,-81.656761000000003,North America,0.848300000000000,41.157699999999998,0.020600000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.235354019169000
-1,Jacksonville,2,30.332599999999999,-81.652370000000005,15,8,0.533000000000000,30.325970000000002,-81.656761000000003,North America,0.849200000000000,41.157699999999998,0.020600000000000,100.000000000000000,1,1,1,2,1800.000000000000000,0.107929074205000
-1,Jacksonville,3,30.338130000000000,-81.657719999999998,15,4,0.267000000000000,30.325970000000002,-81.656761000000003,North America,1.355300000000000,41.157699999999998,0.032900000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.574924417479000
-1,Jacksonville,4,30.341830000000002,-81.660640000000001,15,10,0.667000000000000,30.325970000000002,-81.656761000000003,North America,1.802400000000000,41.157699999999998,0.043800000000000,100.000000000000000,3,3,3,37,33300.000000000000000,0.511767297178000
-1,Jacksonville,5,30.343830000000001,-81.661720000000003,15,9,0.600000000000000,30.325970000000002,-81.656761000000003,North America,2.042200000000000,41.157699999999998,0.049600000000000,100.000000000000000,4,4,4,32,28800.000000000000000,0.355358017524000
-1,Jacksonville,6,30.348720000000000,-81.662049999999994,15,15,1.000000000000000,30.325970000000002,-81.656761000000003,North America,2.580100000000000,41.157699999999998,0.062700000000000,100.000000000000000,5,5,5,32,28800.000000000000000,0.224962794920000
-1,Jacksonville,7,30.365469999999998,-81.643349999999998,15,14,0.933000000000000,30.325970000000002,-81.656761000000003,North America,4.576900000000000,41.157699999999998,0.111200000000000,100.000000000000000,6,6,6,37,33300.000000000000000,0.646130061633000
-1,Jacksonville,8,30.372029999999999,-81.640100000000004,15,15,1.000000000000000,30.325970000000002,-81.656761000000003,North America,5.365400000000000,41.157699999999998,0.130400000000000,100.000000000000000,7,7,7,36,32400.000000000000000,0.568003598187000
-1,Jacksonville,9,30.387419999999999,-81.650540000000007,14,13,0.929000000000000,30.325970000000002,-81.656761000000003,North America,6.859000000000000,41.157699999999998,0.166700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.623858492715000
-1,Jacksonville,10,30.389890000000001,-81.656750000000002,15,11,0.733000000000000,30.325970000000002,-81.656761000000003,North America,7.107600000000000,41.157699999999998,0.172700000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.484524178784000
-1,Jacksonville,11,30.399339999999999,-81.647369999999995,15,14,0.933000000000000,30.325970000000002,-81.656761000000003,North America,8.208000000000000,41.157699999999998,0.199400000000000,100.000000000000000,10,10,10,35,31500.000000000000000,0.626318461554000
-1,Jacksonville,12,30.410340000000001,-81.650319999999994,9,9,1.000000000000000,30.325970000000002,-81.656761000000003,North America,9.401800000000000,41.157699999999998,0.228400000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.317259809588000
-1,Jacksonville,13,30.441440000000000,-81.639930000000007,13,11,0.846000000000000,30.325970000000002,-81.656761000000003,North America,12.940799999999999,41.157699999999998,0.314400000000000,100.000000000000000,12,12,12,32,28800.000000000000000,0.444542188430000
-1,Jacksonville,14,30.442689999999999,-81.607169999999996,15,14,0.933000000000000,30.325970000000002,-81.656761000000003,North America,13.823000000000000,41.157699999999998,0.335900000000000,100.000000000000000,13,13,13,32,28800.000000000000000,0.578462879173000
