OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,helsinki_188018_20100220_NDVI_pcs_OID,helsinki_188018_20100220_NDVI_pcs_FID_,helsinki_188018_20100220_NDVI_pcs_COUNT,helsinki_188018_20100220_NDVI_pcs_AREA,helsinki_188018_20100220_NDVI_pcs_MEAN
-1,Helsinki,1,60.185899999999997,24.933479999999999,19,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,1.804400000000000,25.743800000000000,0.070100000000000,100.000000000000000,0,0,0,32,28800.000000000000000,0.061423820443500
-1,Helsinki,2,60.189880000000002,24.939879999999999,19,2,0.105000000000000,60.169857000000000,24.938379000000001,Europe,2.228000000000000,25.743800000000000,0.086500000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.025761599033800
-1,Helsinki,3,60.186500000000002,24.956160000000001,17,1,0.059000000000000,60.169857000000000,24.938379000000001,Europe,2.095600000000000,25.743800000000000,0.081400000000000,100.000000000000000,2,2,2,32,28800.000000000000000,0.001627923067640
-1,Helsinki,4,60.185879999999997,24.964620000000000,19,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,2.297800000000000,25.743800000000000,0.089300000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-0.006653229815750
-1,Helsinki,5,60.190019999999997,24.971940000000000,19,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,2.910400000000000,25.743800000000000,0.113100000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.014045261438700
-1,Helsinki,6,60.181359999999998,24.984169999999999,20,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,2.837000000000000,25.743800000000000,0.110200000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.031529548509800
-1,Helsinki,7,60.186599999999999,24.996649999999999,12,8,0.667000000000000,60.169857000000000,24.938379000000001,Europe,3.721400000000000,25.743800000000000,0.144600000000000,100.000000000000000,6,6,6,34,30600.000000000000000,0.033317105755600
-1,Helsinki,8,60.189819999999997,25.002490000000002,20,1,0.050000000000000,60.169857000000000,24.938379000000001,Europe,4.182600000000000,25.743800000000000,0.162500000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.051482347212700
-1,Helsinki,9,60.191510000000001,25.018940000000001,20,1,0.050000000000000,60.169857000000000,24.938379000000001,Europe,5.063600000000000,25.743800000000000,0.196700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.058900608800900
-1,Helsinki,10,60.196320000000000,25.031720000000000,20,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,5.940700000000000,25.743800000000000,0.230800000000000,100.000000000000000,9,9,9,36,32400.000000000000000,0.070988281539400
