OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,xalapa_025046_20170116_NDVI_pcs_OID,xalapa_025046_20170116_NDVI_pcs_FID_,xalapa_025046_20170116_NDVI_pcs_COUNT,xalapa_025046_20170116_NDVI_pcs_AREA,xalapa_025046_20170116_NDVI_pcs_MEAN
-1,Xalapa,1,19.545900000000000,-96.918999999999997,16,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,2.124700000000000,6.388200000000000,0.332600000000000,100.000000000000000,0,0,0,34,30600.000000000000000,0.562515874119000
-1,Xalapa,2,19.544899999999998,-96.921499999999995,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,1.971600000000000,6.388200000000000,0.308600000000000,100.000000000000000,1,1,1,36,32400.000000000000000,0.615100311736000
-1,Xalapa,3,19.544400000000000,-96.923299999999998,15,3,0.200000000000000,19.527269000000000,-96.923500000000004,South America,1.905000000000000,6.388200000000000,0.298200000000000,100.000000000000000,2,2,2,32,28800.000000000000000,0.317644786788000
-1,Xalapa,4,19.543399999999998,-96.927400000000006,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,1.839700000000000,6.388200000000000,0.288000000000000,100.000000000000000,3,3,3,34,30600.000000000000000,0.313851276741000
-1,Xalapa,5,19.547799999999999,-96.929299999999998,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,2.362500000000000,6.388200000000000,0.369800000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.240705257696000
-1,Xalapa,6,19.551430000000000,-96.930269999999993,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,2.778700000000000,6.388200000000000,0.435000000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.560962139709000
-1,Xalapa,7,19.537929999999999,-96.934039999999996,18,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,1.620300000000000,6.388200000000000,0.253600000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.308666350799000
-1,Xalapa,8,19.539790000000000,-96.931179999999998,20,3,0.150000000000000,19.527269000000000,-96.923500000000004,South America,1.608200000000000,6.388200000000000,0.251700000000000,100.000000000000000,7,7,7,36,32400.000000000000000,0.294861177189000
-1,Xalapa,9,19.531389999999998,-96.929389999999998,20,5,0.250000000000000,19.527269000000000,-96.923500000000004,South America,0.768800000000000,6.388200000000000,0.120300000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.359032938310000
-1,Xalapa,10,19.530750000000001,-96.936779999999999,20,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,1.444500000000000,6.388200000000000,0.226100000000000,100.000000000000000,9,9,9,34,30600.000000000000000,0.272276501883000
