City,Population,Plant,plant_id,Plate,Habitat,Qubit_conc,260_280,initial_vol,TE_vol,i5_index,i7_index,Column,Row,Sheared_remaining,Pre-PCR_remaining,Qubit_postPCR,Notes
Toronto,42,20,42_20,2,Urban,13.5,1.363,37,13,iTru5_01_A,iTru7_101_01,1,A,No,No,4.16,
Toronto,5,16,5_16,3,Rural,15.4,1.183,32.5,17.5,iTru5_01_B,iTru7_101_01,1,B,No,No,7.7,
Toronto,40,8,40_8,2,Urban,14.1,1.662,35.5,14.5,iTru5_01_C,iTru7_101_01,1,C,No,No,9.58,First faile prep: Added 2X ligation master mix on first run throught library prep
Toronto,41,7,41_7,2,Urban,13.4,1.665,37.3,12.7,iTru5_01_D,iTru7_101_01,1,D,No,No,9.22,
Toronto,3,5,3_5,3,Rural,17.7,1.882,28.2,21.8,iTru5_01_E,iTru7_101_01,1,E,No,No,8.24,
Toronto,41,2,41_2,2,Urban,48.6,1.749,10.3,39.7,iTru5_01_F,iTru7_101_01,1,F,No,No,7.86,
Toronto,7,19,7_19,5,Rural,20.8,1.808,24,26,iTru5_01_G,iTru7_101_01,1,G,No,No,9,
Toronto,83,17,83_17,8,Rural,21.4,1.842,23.4,26.6,iTru5_01_H,iTru7_101_01,1,H,No,No,5.18,
Toronto,42,17,42_17,2,Urban,65.2,1.653,7.7,42.3,iTru5_01_A,iTru7_101_02,2,A,No,No,11.5,
Toronto,24,6,24_6,6,Suburban,36.8,1.751,13.6,36.4,iTru5_01_B,iTru7_101_02,2,B,No,No,5.14,
Toronto,97,14,97_14,4,Rural,22.2,1.755,22.5,27.5,iTru5_01_C,iTru7_101_02,2,C,No,No,12.5,
Toronto,21,18,21_18,5,Suburban,19.5,1.599,25.6,24.4,iTru5_01_D,iTru7_101_02,2,D,No,No,9.64,
Toronto,43,15,43_15,2,Urban,19.1,1.605,26.2,23.8,iTru5_01_E,iTru7_101_02,2,E,No,No,10.2,
Toronto,83,5,83_5,8,Rural,41.8,1.768,12,38,iTru5_01_F,iTru7_101_02,2,F,No,No,6.62,
Toronto,54,7,54_7,7,Suburban,21.4,1.808,23.4,26.6,iTru5_01_G,iTru7_101_02,2,G,No,No,8.62,
Toronto,41,18,41_18,2,Urban,28.6,1.6,17.5,32.5,iTru5_01_H,iTru7_101_02,2,H,No,No,11.6,First failed prep: Used PEG-6000 since I ran out of PEG-4000 in ligation master mix (due to mistake above)
Toronto,7,7,7_7,5,Rural,25.8,1.774,19.4,30.6,iTru5_01_A,iTru7_101_03,3,A,Yes,No,6.74,
Toronto,42,11,42_11,2,Urban,30.6,1.635,16.3,33.7,iTru5_01_B,iTru7_101_03,3,B,Yes,No,8.32,
Toronto,83,11,83_11,8,Rural,53.2,1.698,9.4,40.6,iTru5_01_C,iTru7_101_03,3,C,Yes,No,6.58,
Toronto,23,6,23_6,5,Suburban,25.2,1.771,19.8,30.2,iTru5_01_D,iTru7_101_03,3,D,Yes,No,6.62,
Toronto,54,18,54_18,7,Suburban,17.4,1.747,28.7,21.3,iTru5_01_E,iTru7_101_03,3,E,Yes,No,10.3,
Toronto,40,7,40_7,2,Urban,43.4,1.739,11.5,38.5,iTru5_01_F,iTru7_101_03,3,F,Yes,No,8.8,
Toronto,7,13,7_13,5,Rural,34.2,1.952,14.6,35.4,iTru5_01_G,iTru7_101_03,3,G,Yes,No,7.58,
Toronto,119,19,119_19,10,Suburban,33,1.847,15.2,34.8,iTru5_01_H,iTru7_101_03,3,H,Yes,No,6.64,
Toronto,101,17,101_17,4,Rural,15.8,2.042,31.6,18.4,iTru5_01_A,iTru7_101_04,4,A,Yes,No,8.84,
Toronto,23,7,23_7,5,Suburban,14,1.757,35.7,14.3,iTru5_01_B,iTru7_101_04,4,B,Yes,No,5.52,
Toronto,22,15,22_15,5,Suburban,24.4,1.745,20.5,29.5,iTru5_01_C,iTru7_101_04,4,C,Yes,No,8.8,
Toronto,4,18,4_18,3,Rural,20.4,1.822,24.5,25.5,iTru5_01_D,iTru7_101_04,4,D,Yes,No,9.04,
Toronto,37,18,37_18,6,Urban,16.9,1.833,29.6,20.4,iTru5_01_E,iTru7_101_04,4,E,Yes,No,10.7,
Toronto,37,13,37_13,6,Urban,27.4,1.841,18.2,31.8,iTru5_01_F,iTru7_101_04,4,F,Yes,No,6.5,
Toronto,43,8,43_8,2,Urban,42,1.71,11.9,38.1,iTru5_01_G,iTru7_101_04,4,G,Yes,No,8,
Toronto,42,9,42_9,2,Urban,37.8,1.643,13.2,36.8,iTru5_01_H,iTru7_101_04,4,H,Yes,No,7.72,
Toronto,37,12,37_12,6,Urban,26.4,1.65,18.9,31.1,iTru5_01_A,iTru7_101_05,5,A,Yes,No,11.6,Accidentally pipetted 12.5 uL of PCR master mix into pre-PCR library. Maybe ruined?
Toronto,80,18,80_18,8,Rural,30,1.748,16.7,33.3,iTru5_01_B,iTru7_101_05,5,B,Yes,No,17.1,
Toronto,42,3,42_3,2,Urban,47.6,1.644,10.5,39.5,iTru5_01_C,iTru7_101_05,5,C,Yes,No,7.54,
Toronto,54,9,54_9,7,Suburban,71.8,1.802,7,43,iTru5_01_D,iTru7_101_05,5,D,Yes,No,4.36,
Toronto,37,10,37_10,6,Urban,18.5,1.651,27,23,iTru5_01_E,iTru7_101_05,5,E,Yes,No,7.58,
Toronto,23,15,23_15,5,Suburban,23.6,1.821,21.2,28.8,iTru5_01_F,iTru7_101_05,5,F,Yes,No,5.66,
Toronto,77,18,77_18,8,Rural,41.2,1.469,12.1,37.9,iTru5_01_G,iTru7_101_05,5,G,Yes,No,6.28,
Toronto,41,1,41_1,2,Urban,13.1,1.671,38.2,11.8,iTru5_01_H,iTru7_101_05,5,H,Yes,No,6.46,
Toronto,54,16,54_16,7,Suburban,16.3,1.81,30.7,19.3,iTru5_01_A,iTru7_101_06,6,A,Yes,No,10.5,
Toronto,43,4,43_4,2,Urban,53.6,1.754,9.3,40.7,iTru5_01_B,iTru7_101_06,6,B,Yes,No,12.2,
Toronto,83,10,83_10,8,Rural,23.2,1.712,21.6,28.4,iTru5_01_C,iTru7_101_06,6,C,Yes,No,10,
Toronto,37,16,37_16,6,Urban,30,1.668,16.7,33.3,iTru5_01_D,iTru7_101_06,6,D,Yes,No,7.4,
Toronto,98,1,98_1,4,Rural,22.8,1.506,21.9,28.1,iTru5_01_E,iTru7_101_06,6,E,Yes,No,10.9,
Toronto,83,9,83_9,8,Rural,33.6,1.636,14.9,35.1,iTru5_01_F,iTru7_101_06,6,F,Yes,No,8.9,
