City,Population,Plant,plant_id,Plate,Habitat,Qubit_conc,260_280,initial_vol,TE_vol
Toronto,40,1,40_1,2,Urban,30.4,1.686,16.4,33.6
Toronto,40,3,40_3,2,Urban,32.8,1.654,15.2,34.8
Toronto,40,6,40_6,2,Urban,59.8,1.818,8.4,41.6
Toronto,40,7,40_7,2,Urban,43.4,1.739,11.5,38.5
Toronto,40,8,40_8,2,Urban,14.1,1.662,35.5,14.5
Toronto,40,10,40_10,2,Urban,61,1.788,8.2,41.8
Toronto,40,12,40_12,2,Urban,12.9,1.517,38.8,11.2
Toronto,40,17,40_17,2,Urban,15.2,1.682,32.9,17.1
Toronto,40,19,40_19,2,Urban,59.4,1.718,8.4,41.6
Toronto,41,1,41_1,2,Urban,13.1,1.671,38.2,11.8
Toronto,41,2,41_2,2,Urban,48.6,1.749,10.3,39.7
Toronto,41,7,41_7,2,Urban,13.4,1.665,37.3,12.7
Toronto,41,8,41_8,2,Urban,30,1.412,16.7,33.3
Toronto,41,12,41_12,2,Urban,51.4,1.751,9.7,40.3
Toronto,41,13,41_13,2,Urban,38.2,2.174,13.1,36.9
Toronto,41,14,41_14,2,Urban,33.6,2.643,14.9,35.1
Toronto,41,16,41_16,2,Urban,37.2,1.731,13.4,36.6
Toronto,41,18,41_18,2,Urban,28.6,1.6,17.5,32.5
Toronto,42,1,42_1,2,Urban,15.4,1.554,32.5,17.5
Toronto,42,3,42_3,2,Urban,47.6,1.644,10.5,39.5
Toronto,42,5,42_5,2,Urban,13.5,1.544,37,13
Toronto,42,9,42_9,2,Urban,37.8,1.643,13.2,36.8
Toronto,42,10,42_10,2,Urban,39.8,1.653,12.6,37.4
Toronto,42,11,42_11,2,Urban,30.6,1.635,16.3,33.7
Toronto,42,13,42_13,2,Urban,27.6,1.653,18.1,31.9
Toronto,42,17,42_17,2,Urban,65.2,1.653,7.7,42.3
Toronto,42,20,42_20,2,Urban,13.5,1.363,37,13
Toronto,43,4,43_4,2,Urban,53.6,1.754,9.3,40.7
Toronto,43,5,43_5,2,Urban,49.8,1.763,10,40
Toronto,43,6,43_6,2,Urban,52,1.752,9.6,40.4
Toronto,43,8,43_8,2,Urban,42,1.71,11.9,38.1
Toronto,43,10,43_10,2,Urban,35.8,1.685,14,36
Toronto,43,12,43_12,2,Urban,33.4,1.708,15,35
Toronto,43,13,43_13,2,Urban,36.6,1.662,13.7,36.3
Toronto,43,14,43_14,2,Urban,19.5,1.705,25.6,24.4
Toronto,43,15,43_15,2,Urban,19.1,1.605,26.2,23.8
Toronto,1,9,1_9,3,Rural,16.9,1.801,29.6,20.4
Toronto,2,3,2_3,3,Rural,14,1.904,35.7,14.3
Toronto,3,5,3_5,3,Rural,17.7,1.882,28.2,21.8
Toronto,4,18,4_18,3,Rural,20.4,1.822,24.5,25.5
Toronto,5,16,5_16,3,Rural,15.4,1.183,32.5,17.5
Toronto,97,3,97_3,4,Rural,19.4,1.725,25.8,24.2
Toronto,97,4,97_4,4,Rural,13.4,1.917,37.3,12.7
Toronto,97,6,97_6,4,Rural,13.9,1.5,36,14
Toronto,97,7,97_7,4,Rural,37.2,1.523,13.4,36.6
Toronto,97,9,97_9,4,Rural,13.6,1.576,36.8,13.2
Toronto,97,10,97_10,4,Rural,21.2,1.744,23.6,26.4
Toronto,97,11,97_11,4,Rural,13,1.531,38.5,11.5
Toronto,97,13,97_13,4,Rural,18.9,1.509,26.5,23.5
Toronto,97,14,97_14,4,Rural,22.2,1.755,22.5,27.5
Toronto,98,1,98_1,4,Rural,22.8,1.506,21.9,28.1
Toronto,99,5,99_5,4,Rural,13.4,1.62,37.3,12.7
Toronto,100,13,100_13,4,Rural,14.1,1.976,35.5,14.5
Toronto,101,17,101_17,4,Rural,15.8,2.042,31.6,18.4
Toronto,6,8,6_8,5,Rural,27,1.811,18.5,31.5
Toronto,7,4,7_4,5,Rural,31,1.76,16.1,33.9
Toronto,7,6,7_6,5,Rural,24.4,1.637,20.5,29.5
Toronto,7,7,7_7,5,Rural,25.8,1.774,19.4,30.6
Toronto,7,11,7_11,5,Rural,14,1.728,35.7,14.3
Toronto,7,13,7_13,5,Rural,34.2,1.952,14.6,35.4
Toronto,7,14,7_14,5,Rural,63.4,1.751,7.9,42.1
Toronto,7,16,7_16,5,Rural,28.2,1.756,17.7,32.3
Toronto,7,19,7_19,5,Rural,20.8,1.808,24,26
Toronto,7,20,7_20,5,Rural,21.4,1.742,23.4,26.6
Toronto,21,18,21_18,5,Suburban,19.5,1.599,25.6,24.4
Toronto,22,15,22_15,5,Suburban,24.4,1.745,20.5,29.5
Toronto,23,4,23_4,5,Suburban,17.2,1.777,29.1,20.9
Toronto,23,6,23_6,5,Suburban,25.2,1.771,19.8,30.2
Toronto,23,7,23_7,5,Suburban,14,1.757,35.7,14.3
Toronto,23,9,23_9,5,Suburban,13.9,1.571,36,14
Toronto,23,12,23_12,5,Suburban,25.8,1.342,19.4,30.6
Toronto,23,15,23_15,5,Suburban,23.6,1.821,21.2,28.8
Toronto,23,17,23_17,6,Suburban,16.4,1.711,30.5,19.5
Toronto,24,6,24_6,6,Suburban,36.8,1.751,13.6,36.4
Toronto,37,6,37_6,6,Urban,73,1.642,6.8,43.2
Toronto,37,8,37_8,6,Urban,47.6,1.649,10.5,39.5
Toronto,37,10,37_10,6,Urban,18.5,1.651,27,23
Toronto,37,11,37_11,6,Urban,31.4,1.7,15.9,34.1
Toronto,37,12,37_12,6,Urban,26.4,1.65,18.9,31.1
Toronto,37,13,37_13,6,Urban,27.4,1.841,18.2,31.8
Toronto,37,15,37_15,6,Urban,14.6,1.712,34.2,15.8
Toronto,37,16,37_16,6,Urban,30,1.668,16.7,33.3
Toronto,37,18,37_18,6,Urban,16.9,1.833,29.6,20.4
Toronto,52,3,52_3,7,Suburban,31.4,1.65,15.9,34.1
Toronto,53,11,53_11,7,Suburban,12.6,1.66,39.7,10.3
Toronto,54,7,54_7,7,Suburban,21.4,1.808,23.4,26.6
Toronto,54,8,54_8,7,Suburban,17,1.591,29.4,20.6
Toronto,54,9,54_9,7,Suburban,71.8,1.802,7,43
Toronto,54,15,54_15,7,Suburban,65,1.635,7.7,42.3
Toronto,54,16,54_16,7,Suburban,16.3,1.81,30.7,19.3
Toronto,54,18,54_18,7,Suburban,17.4,1.747,28.7,21.3
Toronto,54,20,54_20,7,Suburban,22.2,1.703,22.5,27.5
Toronto,56,1,56_1,7,Suburban,19.1,1.201,26.2,23.8
Toronto,77,18,77_18,8,Rural,41.2,1.469,12.1,37.9
Toronto,78,4,78_4,8,Rural,48.8,1.649,10.2,39.8
Toronto,79,17,79_17,8,Rural,19.8,1.739,25.3,24.7
Toronto,80,18,80_18,8,Rural,30,1.748,16.7,33.3
Toronto,81,3,81_3,8,Rural,41.2,1.824,12.1,37.9
Toronto,82,19,82_19,8,Rural,42,1.737,11.9,38.1
Toronto,83,5,83_5,8,Rural,41.8,1.768,12,38
Toronto,83,9,83_9,8,Rural,33.6,1.636,14.9,35.1
Toronto,83,10,83_10,8,Rural,23.2,1.712,21.6,28.4
Toronto,83,11,83_11,8,Rural,53.2,1.698,9.4,40.6
Toronto,83,13,83_13,8,Rural,25.2,1.826,19.8,30.2
