Distance,Population,Transect,latitude,longitude,Habitat
2.084573034,41,North,43.64994276,-79.404773,Urban
2.1964305,40,North,43.6571995,-79.40756003,Urban
2.359797361,42,North,43.64299751,-79.40337219,Urban
2.679125777,39,North,43.66346793,-79.41200875,Urban
2.822995675,43,North,43.63471312,-79.39920481,Urban
3.249424196,38,North,43.67198534,-79.41420663,Urban
4.372424175,37,North,43.68315226,-79.41975321,Urban
47.19441734,95,East,43.95298206,-78.9600189,Rural
46.47891353,96,East,43.95415941,-78.97423694,Rural
45.43933214,97,East,43.957231,-78.997517,Rural
45.1250852,98,East,43.96003555,-79.00767202,Rural
42.9047196,99,East,43.9394414,-79.01742952,Rural
41.42377724,100,East,43.93221747,-79.03384622,Rural
40.15887226,101,East,43.93092424,-79.05568178,Rural
43.24512928,1,North,44.0302644,-79.52738917,Rural
42.06986657,2,North,44.01968437,-79.52537587,Rural
41.04714354,3,North,44.01056937,-79.52316198,Rural
39.74826217,4,North,43.99906923,-79.51997222,Rural
39.12573954,5,North,43.99338264,-79.51925626,Rural
38.251262,6,North,43.98568084,-79.51690128,Rural
37.36913974,7,North,43.9776803,-79.51558202,Rural
47.54144406,83,West,43.3983028,-79.85073545,Rural
46.61916112,82,West,43.40464167,-79.84302214,Rural
45.76323785,81,West,43.41100034,-79.83634158,Rural
44.46925638,80,West,43.4281789,-79.83364941,Rural
43.36108087,79,West,43.43666174,-79.82504026,Rural
42.22817092,78,West,43.43697531,-79.80823568,Rural
40.94554357,77,West,43.446351,-79.79789595,Rural
21.96157436,115,East,43.83430312,-79.26242083,Suburban
21.41111605,116,East,43.83251828,-79.27349158,Suburban
20.57363502,117,East,43.82853877,-79.28746333,Suburban
19.76383379,118,East,43.82482022,-79.30292324,Suburban
19.47303486,119,East,43.82545532,-79.31859168,Suburban
23.18850033,21,North,43.85038448,-79.48520713,Suburban
21.60093823,22,North,43.83598273,-79.48183193,Suburban
20.3023865,23,North,43.82418131,-79.47900514,Suburban
19.13965057,24,North,43.81359026,-79.47643065,Suburban
18.16767392,25,North,43.80455856,-79.47471928,Suburban
17.26161341,52,West,43.65359237,-79.59483319,Suburban
18.66286908,53,West,43.65254421,-79.61222466,Suburban
19.3812002,54,West,43.64917643,-79.6210086,Suburban
20.21078893,55,West,43.64228065,-79.6307686,Suburban
20.93525295,56,West,43.63520223,-79.63887687,Suburban
