City,Population,Plant,Transect,Latitude,Longitude,Distance,Tissue,Plate,Notes,Qubit_conc,260_280,nanodrop_conc
Toronto,39,1,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,-4.867,16.324
Toronto,39,2,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,-5.692,-41.258
Toronto,39,3,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,2.556,2.549
Toronto,39,4,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,1.714,5.319
Toronto,39,5,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,1.767,5.873
Toronto,39,6,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,1.478,-7.515
Toronto,39,7,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,3.453,65.462
Toronto,39,8,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,DNA lost,NA,40.389,80.243
Toronto,39,9,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,4.3,1.698,24.269
Toronto,39,10,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,11.7,-0.304,-5.09
Toronto,39,11,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,18,1.684,52.011
Toronto,39,12,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,3.8,1.621,33.101
Toronto,39,13,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,11.9,1.626,36.938
Toronto,39,14,A,43.66346793,-79.41200875,2.64091112,Leaf/Stolon,2,NA,17.4,1.755,62.028
Toronto,39,15,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,23.2,1.697,63.969
Toronto,39,16,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,3.78,1.582,113.581
Toronto,39,17,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,9.88,1.657,90.846
Toronto,39,18,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,20.6,1.768,112.176
Toronto,39,19,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,4.82,1.63,87.732
Toronto,39,20,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,21.6,1.662,116.107
Toronto,40,1,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,30.4,1.686,60.245
Toronto,40,2,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,6.42,1.663,81.065
Toronto,40,3,A,43.6571995,-79.40756003,2.240528963,Leaf/Stolon,2,NA,32.8,1.654,100.332
Toronto,40,4,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,9.32,1.437,166.627
Toronto,40,5,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,NA,12.4,1.586,90.951
Toronto,40,6,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,59.8,1.818,220.892
Toronto,40,7,A,43.6571995,-79.40756003,2.240528963,Leaf/Stolon,2,NA,43.4,1.739,176.304
Toronto,40,8,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,14.1,1.662,113.006
Toronto,40,9,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,10.7,1.712,112.47
Toronto,40,10,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,NA,61,1.788,176.974
Toronto,40,11,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,NA,8.2,1.529,69.79
Toronto,40,12,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,12.9,1.517,206.633
Toronto,40,13,A,43.6571995,-79.40756003,2.240528963,Leaf/Stolon,2,NA,9.74,1.633,103.564
Toronto,40,14,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,7.28,1.702,50.24
Toronto,40,15,A,43.6571995,-79.40756003,2.240528963,Petiole/Infl,2,NA,2.2,1.665,66.91
Toronto,40,16,A,43.6571995,-79.40756003,2.240528963,Petiole,2,NA,5.64,1.685,67.001
Toronto,40,17,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,NA,15.2,1.682,97.486
Toronto,40,18,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,11,1.662,96.785
Toronto,40,19,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,59.4,1.718,153.933
Toronto,40,20,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,21.8,1.665,120.666
Toronto,41,1,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,NA,13.1,1.671,75.968
Toronto,41,2,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,NA,48.6,1.749,143.511
Toronto,41,3,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,NA,7.06,1.617,93.993
Toronto,41,4,A,43.64994276,-79.404773,2.114903256,Petiole,2,NA,7.92,1.444,190.405
Toronto,41,5,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,NA,6.12,1.671,85.177
Toronto,41,6,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,NA,2.48,1.682,58.757
Toronto,41,7,A,43.64994276,-79.404773,2.114903256,Petiole,2,NA,13.4,1.665,79.804
Toronto,41,8,A,43.64994276,-79.404773,2.114903256,Leaf,2,NA,30,1.412,227.055
Toronto,41,9,A,43.64994276,-79.404773,2.114903256,Leaf,2,NA,9.54,1.236,88.886
Toronto,41,10,A,43.64994276,-79.404773,2.114903256,Leaf/Petiole,2,NA,11.2,1.467,169.269
Toronto,41,11,A,43.64994276,-79.404773,2.114903256,Leaf/Petiole,2,NA,5.74,1.784,61.295
