predictor,mean,non_zero
(Intercept),0.769561959229494,100
annualPET_Slope:summerNDVI_Mean,-0.08876058766873604,100
annualPET_Slope:GMIS_Mean,0.034175425956497425,94
winterNDVI_Mean,0.03358397575631573,94
NDSI_Mean,-0.011619939162197888,91
summerNDVI_Slope:annualAI_Mean,-0.03589267109198881,91
annualPET_Slope,0.001199559562846209,76
annualAI_Slope:annualAI_Mean,-1.3415293542009838e-4,9
annualPET_Slope:NDSI_Mean,-8.637093491564952e-11,9
annualPET_Slope:winterNDVI_Slope,0.0015722657689448128,9
summerNDVI_Slope:winterNDVI_Mean,-2.138429241680364e-10,9
winterNDVI_Slope:summerLST_Mean,1.5138888057609504e-11,9
