city,Mean_annualAI,Mean_annualPET,Mean_DEM,Mean_GMIS,Mean_NDSI,Mean_summerLST,Mean_summerNDVI,Mean_winterLST,Mean_winterNDVI,betaRLM_annualAI,betaRLM_annualPET,betaRLM_DEM,betaRLM_GMIS,betaRLM_NDSI,betaRLM_summerLST,betaRLM_summerNDVI,betaRLM_winterLST,betaRLM_winterNDVI,pvalRLM_annualAI,pvalRLM_annualPET,pvalRLM_DEM,pvalRLM_GMIS,pvalRLM_NDSI,pvalRLM_summerLST,pvalRLM_summerNDVI,pvalRLM_winterLST,pvalRLM_winterNDVI
Acton,1.055,840.7,356.2,31.318,0.686,31.274,0.501,-8.071,0.034,-0.002,-3.49,6.557,-72.761,-0.029,-6.211,0.278,-1.816,0.024,0.042,0,0,0,0.375,0,0.013,0,0.238
Albuquerque,0.166,1409.95,1593.175,53.019,-0.294,42.391,0.329,13.754,0.198,0.035,-63.329,188.787,-13.81,-0.028,1.549,-0.035,1.398,0,0,0,0,0.27,0.439,0.201,0.639,0.009,0.992
Almada,0.685,1026.955,38.545,68.389,-0.323,34.908,0.287,10.552,0.328,-0.052,30.764,11.545,-0.919,-0.057,1.877,-0.019,-1.525,0.083,0,0,0.333,0.924,0.023,0.008,0.7,0,0.25
Amsterdam,1.272,629.075,1.05,17.119,0.408,30.667,0.639,2.001,0.154,-0.017,1.766,-9.462,-56.149,0.311,-3.317,0.266,-1.358,-0.01,0,0,0,0,0.002,0,0,0,0.788
Anchorage,1.26,325.75,164.364,65.747,0.806,28.191,0.558,-14.318,0.09,0.523,-73.092,629.811,-157.316,0.025,-18.948,0.622,-4.68,0.234,0,0,0,0,0.597,0,0,0,0.004
Angus,0.977,863.9,197.85,15.701,0.645,29.795,0.596,-14.22,0.091,0.016,-3.691,30.242,-46.344,0.249,-4.077,-0.045,-0.812,-0.126,0,0,0,0,0.023,0.013,0.701,0.445,0.19
Antwerp,1.075,726,13,26.226,-0.392,39.24,0.501,3.318,0.538,-0.017,15.264,11.777,-62.38,0.047,2.335,0.095,-0.953,0.321,0,0,0,0,0.161,0.064,0.209,0,0
Armidale,0.619,1273.95,1016.925,14.845,-0.499,31.574,0.579,13.707,0.428,0.035,-41.251,131.445,-50.299,-0.13,-2.903,0.157,-0.158,0.114,0,0,0,0,0,0,0,0.666,0.008
Athens,0.93,1339.179,213.429,25.267,-0.413,35.029,0.601,5.975,0.352,-0.024,8.349,-2.052,-51.045,-0.16,-6.428,0.201,-2.463,0.211,0,0.009,0.813,0,0,0,0.011,0.007,0
Atlanta,1.008,1296.044,310.022,34.943,0.402,38.642,0.53,0.559,0.147,-0.014,33.009,-3.123,-58.958,0.014,-8.786,0.351,-2.072,0.166,0,0,0.446,0,0.841,0,0,0,0
Atlantic_City,1.059,1010.533,7.689,39.307,0.533,29.566,0.503,-8.799,0.095,-0.097,121.361,8.443,-98.662,-0.273,-11.777,0.71,-2.863,0.223,0,0,0,0,0.001,0,0,0,0
Baltimore,0.995,1107.692,140.897,35.633,0.737,33.976,0.533,-4.568,0.012,0.022,-69.59,190.935,-83.392,-0.057,-12.334,0.575,-2.428,0.065,0.133,0,0,0,0.013,0,0,0,0.001
Barrie,1.001,857.28,241.32,21.59,0.566,27.402,0.632,-14.132,0.111,0.006,-3.546,19.524,-62.722,-0.011,-6.058,0.405,-3.255,0.217,0.154,0.003,0.001,0,0.911,0.003,0,0,0.003
Baton_Rouge,1.075,1420.711,10.2,16.584,-0.418,31.983,0.586,18.54,0.462,0.012,0.083,-9.901,-20.162,-0.028,-2.727,0.005,-1.698,-0.012,0,0.933,0,0.009,0.536,0.035,0.937,0.005,0.877
Beijing,0.557,1093.333,46.375,41.933,0.606,38.59,0.61,-1.762,0.043,0.004,18.254,-11.628,28.564,0.153,-1.295,-0.113,-0.775,-0.078,0.546,0,0.021,0.333,0.008,0.801,0.557,0.204,0.027
Berlin,0.744,749.118,45.121,34.029,-0.289,32.177,0.558,2.846,0.391,-0.039,6.952,-0.399,-27.804,-0.289,1.741,-0.026,0.769,0.282,0,0,0.908,0.028,0,0.275,0.776,0.03,0.002
Bern,1.212,774.125,564.55,31.338,0.1,36.13,0.521,4.676,0.117,0.063,-13.985,72.024,-76.518,0.748,-6.084,0.257,-5.754,-0.051,0,0,0,0,0,0,0,0,0.175
