continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating
NAM,Albuquerque,1,19,u,Albuquerque_1_19,6.78,NA,6.5,a,1,a,1
NAM,Albuquerque,1,13,u,Albuquerque_1_13,15.8,NA,NA,b,1,NA,NA
NAM,Albuquerque,1,10,u,Albuquerque_1_10,8.29,NA,12.8,c,1,b,1
NAM,Albuquerque,1,9,u,Albuquerque_1_9,27.6,NA,23.4,d,1,c,1
NAM,Albuquerque,1,8,u,Albuquerque_1_8,3.32,NA,13.4,e,1,d,1
NAM,Albuquerque,1,7,u,Albuquerque_1_7,8.05,NA,20.8,f,1,e,1
NAM,Albuquerque,1,5,u,Albuquerque_1_5,22.6,NA,NA,g,1,NA,NA
NAM,Albuquerque,1,4,u,Albuquerque_1_4,15.3,NA,17.4,h,1,f,1
NAM,Albuquerque,1,3,u,Albuquerque_1_3,6.68,NA,33.6,a,2,g,1
NAM,Albuquerque,2,14,u,Albuquerque_2_14,8.28,NA,3.64,b,2,h,1
NAM,Albuquerque,2,13,u,Albuquerque_2_13,9.97,NA,0,c,2,a,2
NAM,Albuquerque,2,12,u,Albuquerque_2_12,1.18,NA,0,d,2,b,2
NAM,Albuquerque,2,8,u,Albuquerque_2_8,0,NA,17.7,e,2,c,2
NAM,Albuquerque,2,7,u,Albuquerque_2_7,0,NA,25.6,f,2,d,2
NAM,Albuquerque,2,6,u,Albuquerque_2_6,0,NA,63.4,g,2,e,2
NAM,Albuquerque,2,3,u,Albuquerque_2_3,3.97,NA,179,h,2,f,2
NAM,Albuquerque,2,1,u,Albuquerque_2_1,0,NA,26,a,3,g,2
NAM,Albuquerque,2,15,u,Albuquerque_2_15,0,NA,23,b,3,h,2
NAM,Albuquerque,2,19,u,Albuquerque_2_19,2.49,NA,32.8,c,3,a,3
NAM,Albuquerque,3,1,u,Albuquerque_3_1,0,NA,43.8,d,3,b,3
NAM,Albuquerque,3,2,u,Albuquerque_3_2,0,NA,0,e,3,c,3
NAM,Albuquerque,3,7,u,Albuquerque_3_7,0,NA,50.6,f,3,d,3
NAM,Albuquerque,3,8,u,Albuquerque_3_8,1.97,NA,21,g,3,e,3
NAM,Albuquerque,3,9,u,Albuquerque_3_9,0,NA,2.98,h,3,f,3
NAM,Albuquerque,3,10,u,Albuquerque_3_10,2.04,NA,0,a,4,g,3
NAM,Albuquerque,3,11,u,Albuquerque_3_11,0,NA,0,b,4,h,3
NAM,Albuquerque,3,12,u,Albuquerque_3_12,8.19,NA,8.6,c,4,a,4
NAM,Albuquerque,3,14,u,Albuquerque_3_14,0,NA,14.4,d,4,b,4
NAM,Albuquerque,3,16,u,Albuquerque_3_16,0,NA,28.8,e,4,c,4
NAM,Albuquerque,14,1,u,Albuquerque_14_1,0,NA,30.4,f,4,d,4
NAM,Albuquerque,14,3,u,Albuquerque_14_3,0,NA,22.2,g,4,e,4
NAM,Albuquerque,14,4,u,Albuquerque_14_4,0,NA,100,h,4,f,4
NAM,Albuquerque,14,5,u,Albuquerque_14_5,1.55,NA,23,a,5,g,4
NAM,Albuquerque,14,7,u,Albuquerque_14_7,1.67,NA,25.2,b,5,h,4
NAM,Albuquerque,14,8,u,Albuquerque_14_8,6.73,NA,19.4,c,5,a,5
NAM,Albuquerque,14,10,u,Albuquerque_14_10,0,NA,22.6,d,5,b,5
NAM,Albuquerque,14,14,u,Albuquerque_14_14,0,NA,91.2,e,5,c,5
NAM,Albuquerque,14,17,u,Albuquerque_14_17,0,NA,94.8,f,5,d,5
NAM,Albuquerque,14,18,u,Albuquerque_14_18,1.11,NA,53.4,g,5,e,5
NAM,Albuquerque,15,1,u,Albuquerque_15_1,0,NA,65.2,h,5,f,5
NAM,Albuquerque,15,2,u,Albuquerque_15_2,0,NA,3.24,a,6,g,5
NAM,Albuquerque,15,4,u,Albuquerque_15_4,17.5,NA,0,b,6,h,5
NAM,Albuquerque,15,5,u,Albuquerque_15_5,1.42,NA,11.1,c,6,a,6
NAM,Albuquerque,15,8,u,Albuquerque_15_8,0,NA,26.8,d,6,b,6
NAM,Albuquerque,15,9,u,Albuquerque_15_9,1.56,NA,32.4,e,6,c,6
NAM,Albuquerque,15,10,u,Albuquerque_15_10,1.19,NA,15.7,f,6,d,6
NAM,Albuquerque,15,11,u,Albuquerque_15_11,2.85,NA,19,g,6,e,6
NAM,Albuquerque,15,7,u,Albuquerque_15_7,0,NA,18.4,h,6,f,6
NAM,Albuquerque,29,1,r,Albuquerque_29_1,1.16,NA,0,a,7,g,6
NAM,Albuquerque,29,2,r,Albuquerque_29_2,0,NA,NA,b,7,NA,NA
NAM,Albuquerque,29,5,r,Albuquerque_29_5,6.45,NA,29.2,c,7,h,6
NAM,Albuquerque,29,6,r,Albuquerque_29_6,2.06,NA,13.7,d,7,a,7
NAM,Albuquerque,29,7,r,Albuquerque_29_7,20.4,NA,17.2,e,7,b,7
NAM,Albuquerque,29,8,r,Albuquerque_29_8,1.33,NA,0,f,7,c,7
NAM,Albuquerque,29,9,r,Albuquerque_29_9,0,NA,52.8,g,7,d,7
NAM,Albuquerque,29,12,r,Albuquerque_29_12,1.26,NA,38.6,h,7,e,7
NAM,Albuquerque,29,13,r,Albuquerque_29_13,2.5,NA,0,a,8,f,7
NAM,Albuquerque,32,1,r,Albuquerque_32_1,3.09,NA,2.28,b,8,g,7
NAM,Albuquerque,32,3,r,Albuquerque_32_3,4.21,NA,16.1,c,8,h,7
NAM,Albuquerque,32,7,r,Albuquerque_32_7,8.89,NA,7.48,d,8,a,8
NAM,Albuquerque,32,8,r,Albuquerque_32_8,0,NA,21.4,e,8,b,8
NAM,Albuquerque,32,9,r,Albuquerque_32_9,7.03,NA,19.8,f,8,c,8
NAM,Albuquerque,32,10,r,Albuquerque_32_10,7.2,NA,11.7,g,8,d,8
NAM,Albuquerque,32,11,r,Albuquerque_32_11,2.12,NA,45.4,h,8,e,8
NAM,Albuquerque,32,12,r,Albuquerque_32_12,5.47,NA,37.2,a,9,f,8
NAM,Albuquerque,32,13,r,Albuquerque_32_13,30.8,NA,NA,b,9,NA,NA
