OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F1_Indianapolis_gcs_PET_Jan_OID,F1_Indianapolis_gcs_PET_Jan_FID_,F1_Indianapolis_gcs_PET_Jan_COUNT,F1_Indianapolis_gcs_PET_Jan_AREA,F1_Indianapolis_gcs_PET_Jan_MEAN
-1,Indianapolis,1,39.770099999999999,-86.157899999999998,15,1,0.067000000000000,39.768402000000002,-86.158066000000005,North America,0.189300000000000,24.556300000000000,0.007700000000000,0,0,1,0.000069444451688,19.000000000000000
-1,Indianapolis,2,39.765819999999998,-86.152330000000006,20,2,0.100000000000000,39.768402000000002,-86.158066000000005,North America,0.568100000000000,24.556300000000000,0.023100000000000,1,1,1,0.000069444451688,19.000000000000000
-1,Indianapolis,3,39.767640000000000,-86.146000000000001,20,1,0.050000000000000,39.768402000000002,-86.158066000000005,North America,1.034700000000000,24.556300000000000,0.042100000000000,2,2,1,0.000069444451688,19.000000000000000
-1,Indianapolis,4,39.766829999999999,-86.140330000000006,20,2,0.100000000000000,39.768402000000002,-86.158066000000005,North America,1.525900000000000,24.556300000000000,0.062100000000000,3,3,1,0.000069444451688,19.000000000000000
-1,Indianapolis,5,39.766410000000000,-86.134379999999993,20,5,0.250000000000000,39.768402000000002,-86.158066000000005,North America,2.036500000000000,24.556300000000000,0.082900000000000,4,4,1,0.000069444451688,19.000000000000000
-1,Indianapolis,6,39.767009999999999,-86.128259999999997,20,1,0.050000000000000,39.768402000000002,-86.158066000000005,North America,2.552200000000000,24.556300000000000,0.103900000000000,5,5,1,0.000069444451688,19.000000000000000
-1,Indianapolis,7,39.767270000000003,-86.121849999999995,16,0,0.000000000000000,39.768402000000002,-86.158066000000005,North America,3.097900000000000,24.556300000000000,0.126200000000000,6,6,1,0.000069444451688,19.000000000000000
-1,Indianapolis,8,39.768479999999997,-86.117769999999993,20,3,0.150000000000000,39.768402000000002,-86.158066000000005,North America,3.444000000000000,24.556300000000000,0.140200000000000,,,,,
-1,Indianapolis,9,39.768419999999999,-86.112300000000005,20,2,0.100000000000000,39.768402000000002,-86.158066000000005,North America,3.911500000000000,24.556300000000000,0.159300000000000,7,8,1,0.000069444451688,19.000000000000000
-1,Indianapolis,10,39.769520000000000,-86.105829999999997,19,5,0.263000000000000,39.768402000000002,-86.158066000000005,North America,4.466200000000000,24.556300000000000,0.181900000000000,8,9,1,0.000069444451688,19.000000000000000
-1,Indianapolis,11,39.768830000000001,-86.099890000000002,20,3,0.150000000000000,39.768402000000002,-86.158066000000005,North America,4.972400000000000,24.556300000000000,0.202500000000000,9,10,1,0.000069444451688,19.000000000000000
-1,Indianapolis,12,39.769129999999997,-86.093990000000005,20,5,0.250000000000000,39.768402000000002,-86.158066000000005,North America,5.477000000000000,24.556300000000000,0.223000000000000,,,,,
-1,Indianapolis,13,39.769579999999998,-86.087119999999999,20,0,0.000000000000000,39.768402000000002,-86.158066000000005,North America,6.065000000000000,24.556300000000000,0.247000000000000,10,12,1,0.000069444451688,19.000000000000000
-1,Indianapolis,14,39.770020000000002,-86.082440000000005,18,1,0.056000000000000,39.768402000000002,-86.158066000000005,North America,6.466100000000000,24.556300000000000,0.263300000000000,11,13,1,0.000069444451688,19.000000000000000
-1,Indianapolis,15,39.769900000000000,-86.076819999999998,20,1,0.050000000000000,39.768402000000002,-86.158066000000005,North America,6.945900000000000,24.556300000000000,0.282900000000000,,,,,
-1,Indianapolis,16,39.770040000000002,-86.070830000000001,20,1,0.050000000000000,39.768402000000002,-86.158066000000005,North America,7.458100000000000,24.556300000000000,0.303700000000000,12,15,1,0.000069444451688,19.000000000000000
-1,Indianapolis,17,39.770629999999997,-86.063029999999998,20,2,0.100000000000000,39.768402000000002,-86.158066000000005,North America,8.126200000000001,24.556300000000000,0.330900000000000,13,16,1,0.000069444451688,19.000000000000000
-1,Indianapolis,18,39.771220000000000,-86.058189999999996,20,2,0.100000000000000,39.768402000000002,-86.158066000000005,North America,8.541800000000000,24.556300000000000,0.347800000000000,14,17,1,0.000069444451688,19.000000000000000
