OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F7_Cape_Town_gcs_PET_Jul_OID,F7_Cape_Town_gcs_PET_Jul_FID_,F7_Cape_Town_gcs_PET_Jul_COUNT,F7_Cape_Town_gcs_PET_Jul_AREA,F7_Cape_Town_gcs_PET_Jul_MEAN
-1,Cape_Town,1,-34.030479999999997,18.437639999999998,15,14,0.933000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,11.809900000000001,39.661099999999998,0.297800000000000,0,0,1,0.000069444451688,48.000000000000000
-1,Cape_Town,2,-33.981810000000003,18.435510000000001,17,17,1.000000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,6.419000000000000,39.661099999999998,0.161800000000000,1,1,1,0.000069444451688,48.000000000000000
-1,Cape_Town,3,-33.989240000000002,18.487079999999999,18,12,0.667000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,9.220700000000001,39.661099999999998,0.232500000000000,2,2,1,0.000069444451688,48.000000000000000
-1,Cape_Town,4,-33.948830000000001,18.477930000000001,18,13,0.722000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,5.639200000000000,39.661099999999998,0.142200000000000,3,3,1,0.000069444451688,49.000000000000000
-1,Cape_Town,5,-34.037360000000000,18.418430000000001,18,15,0.833000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,12.519100000000000,39.661099999999998,0.315700000000000,4,4,1,0.000069444451688,47.000000000000000
-1,Cape_Town,6,-34.038429999999998,18.411280000000001,17,16,0.941000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,12.682100000000000,39.661099999999998,0.319800000000000,5,5,1,0.000069444451688,47.000000000000000
-1,Cape_Town,7,-33.962519999999998,18.743490000000001,16,11,0.688000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,29.762400000000000,39.661099999999998,0.750400000000000,6,6,1,0.000069444451688,48.000000000000000
-1,Cape_Town,8,-33.946930000000002,18.719570000000001,11,8,0.727000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,27.372599999999998,39.661099999999998,0.690200000000000,7,7,1,0.000069444451688,48.000000000000000
-1,Cape_Town,9,-33.970700000000001,18.524210000000000,16,11,0.688000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,10.550800000000001,39.661099999999998,0.266000000000000,8,8,1,0.000069444451688,48.000000000000000
-1,Cape_Town,10,-34.001660000000001,18.459640000000000,18,17,0.944000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,9.147600000000001,39.661099999999998,0.230600000000000,9,9,1,0.000069444451688,48.000000000000000
-1,Cape_Town,11,-33.978200000000001,18.483120000000000,18,4,0.222000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,8.052700000000000,39.661099999999998,0.203000000000000,10,10,1,0.000069444451688,48.000000000000000
-1,Cape_Town,12,-33.933860000000003,18.411940000000001,18,10,0.556000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,1.499500000000000,39.661099999999998,0.037800000000000,11,11,1,0.000069444451688,49.000000000000000
-1,Cape_Town,13,-33.929620000000000,18.415839999999999,16,7,0.438000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,0.923800000000000,39.661099999999998,0.023300000000000,12,12,1,0.000069444451688,49.000000000000000
-1,Cape_Town,14,-33.935720000000003,18.450759999999999,17,17,1.000000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,2.743300000000000,39.661099999999998,0.069200000000000,13,13,1,0.000069444451688,49.000000000000000
-1,Cape_Town,15,-34.016860000000001,18.451129999999999,17,14,0.824000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,10.529100000000000,39.661099999999998,0.265500000000000,14,14,1,0.000069444451688,48.000000000000000
-1,Cape_Town,16,-34.030889999999999,18.419190000000000,15,15,1.000000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,11.797400000000000,39.661099999999998,0.297500000000000,15,15,1,0.000069444451688,47.000000000000000
-1,Cape_Town,17,-34.014629999999997,18.415140000000001,18,15,0.833000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,10.014699999999999,39.661099999999998,0.252500000000000,16,16,1,0.000069444451688,47.000000000000000
-1,Cape_Town,18,-33.878100000000003,18.761900000000001,18,17,0.944000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,31.611000000000001,39.661099999999998,0.797000000000000,17,17,1,0.000069444451688,48.000000000000000
-1,Cape_Town,19,-33.864699999999999,18.847600000000000,17,16,0.941000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,39.661099999999998,39.661099999999998,1.000000000000000,18,18,1,0.000069444451688,49.000000000000000
-1,Cape_Town,20,-33.964050000000000,18.488019999999999,18,12,0.667000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,7.334500000000000,39.661099999999998,0.184900000000000,19,19,1,0.000069444451688,48.000000000000000
