OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F6_Fredericton_gcs_PET_Jun_OID,F6_Fredericton_gcs_PET_Jun_FID_,F6_Fredericton_gcs_PET_Jun_COUNT,F6_Fredericton_gcs_PET_Jun_AREA,F6_Fredericton_gcs_PET_Jun_MEAN
-1,Fredericton,1,45.963979999999999,-66.649760000000001,20,0,0.000000000000000,45.962040999999999,-66.643934000000002,North America,0.499300000000000,11.910200000000000,0.041900000000000,0,0,1,0.000069444451688,142.000000000000000
-1,Fredericton,2,45.963940000000001,-66.649500000000003,19,2,0.105000000000000,45.962040999999999,-66.643934000000002,North America,0.479200000000000,11.910200000000000,0.040200000000000,,,,,
-1,Fredericton,2,45.963979999999999,-66.649760000000001,1,0,0.000000000000000,45.962040999999999,-66.643934000000002,North America,0.499300000000000,11.910200000000000,0.041900000000000,,,,,
-1,Fredericton,3,45.963180000000001,-66.646209999999996,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,0.216800000000000,11.910200000000000,0.018200000000000,,,,,
-1,Fredericton,4,45.963839999999998,-66.642820000000000,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,North America,0.217800000000000,11.910200000000000,0.018300000000000,,,,,
-1,Fredericton,5,45.962539999999997,-66.641409999999993,20,0,0.000000000000000,45.962040999999999,-66.643934000000002,North America,0.202800000000000,11.910200000000000,0.017000000000000,1,5,1,0.000069444451688,142.000000000000000
-1,Fredericton,6,45.959930000000000,-66.636640000000000,20,5,0.250000000000000,45.962040999999999,-66.643934000000002,North America,0.610700000000000,11.910200000000000,0.051300000000000,,,,,
-1,Fredericton,7,45.958170000000003,-66.637540000000001,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,0.655400000000000,11.910200000000000,0.055000000000000,2,7,1,0.000069444451688,142.000000000000000
-1,Fredericton,8,45.956370000000000,-66.636489999999995,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,0.853700000000000,11.910200000000000,0.071700000000000,,,,,
-1,Fredericton,9,45.954819999999998,-66.634540000000001,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,North America,1.082600000000000,11.910200000000000,0.090900000000000,,,,,
-1,Fredericton,10,45.953009999999999,-66.632429999999999,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,North America,1.341400000000000,11.910200000000000,0.112600000000000,3,10,1,0.000069444451688,142.000000000000000
-1,Fredericton,11,45.951990000000002,-66.632400000000004,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,North America,1.429700000000000,11.910200000000000,0.120000000000000,,,,,
