OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F7_Wuhan_gcs_PET_Jul_OID,F7_Wuhan_gcs_PET_Jul_FID_,F7_Wuhan_gcs_PET_Jul_COUNT,F7_Wuhan_gcs_PET_Jul_AREA,F7_Wuhan_gcs_PET_Jul_MEAN
,Wuhan,1,30.480000000000000,114.307777799999997,20,20,1,30.600916999999999,114.295922000000004,China,Asia,13.493200000000000,31.001799999999999,0.435200000000000,0,0,1,0.000069444451688,157.000000000000000
,Wuhan,2,30.480000000000000,114.323611099999994,20,20,1,30.600916999999999,114.295922000000004,China,Asia,13.704400000000000,31.001799999999999,0.442100000000000,1,1,1,0.000069444451688,157.000000000000000
,Wuhan,3,30.482500000000002,114.341388899999998,20,20,1,30.600916999999999,114.295922000000004,China,Asia,13.868600000000001,31.001799999999999,0.447300000000000,2,2,1,0.000069444451688,157.000000000000000
,Wuhan,4,30.482777800000001,114.349999999999994,20,20,1,30.600916999999999,114.295922000000004,China,Asia,14.120500000000000,31.001799999999999,0.455500000000000,3,3,1,0.000069444451688,157.000000000000000
,Wuhan,5,30.482222199999999,114.354166699999993,20,16,1,30.600916999999999,114.295922000000004,China,Asia,14.328600000000000,31.001799999999999,0.462200000000000,4,4,1,0.000069444451688,157.000000000000000
,Wuhan,6,30.482222199999999,114.358888899999997,20,20,1,30.600916999999999,114.295922000000004,China,Asia,14.510600000000000,31.001799999999999,0.468100000000000,5,5,1,0.000069444451688,157.000000000000000
,Wuhan,7,30.483333300000002,114.363333299999994,20,17,1,30.600916999999999,114.295922000000004,China,Asia,14.581700000000000,31.001799999999999,0.470400000000000,,,,,
,Wuhan,8,30.483333300000002,114.371944400000004,20,18,1,30.600916999999999,114.295922000000004,China,Asia,14.965100000000000,31.001799999999999,0.482700000000000,6,7,1,0.000069444451688,157.000000000000000
,Wuhan,9,30.480555599999999,114.411111099999999,20,20,1,30.600916999999999,114.295922000000004,China,Asia,17.344000000000001,31.001799999999999,0.559500000000000,7,8,1,0.000069444451688,157.000000000000000
,Wuhan,10,30.479722200000001,114.423333299999996,20,19,1,30.600916999999999,114.295922000000004,China,Asia,18.179600000000001,31.001799999999999,0.586400000000000,8,9,1,0.000069444451688,158.000000000000000
