OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F3_Sydney_gcs_PET_Mar_OID,F3_Sydney_gcs_PET_Mar_FID_,F3_Sydney_gcs_PET_Mar_COUNT,F3_Sydney_gcs_PET_Mar_AREA,F3_Sydney_gcs_PET_Mar_MEAN
-1,Parramata,1,-33.814439999999998,151.000560000000007,13,0,0.000000000000000,-33.814999000000000,151.001114000000001,Oceania,0.080500000000000,28.714900000000000,0.002800000000000,0,0,1,0.000069444451688,118.000000000000000
-1,Parramata,2,-33.808889999999998,150.990000000000009,15,0,0.000000000000000,-33.814999000000000,151.001114000000001,Oceania,1.231200000000000,28.714900000000000,0.042900000000000,1,1,1,0.000069444451688,118.000000000000000
-1,Parramata,3,-33.806939999999997,150.986109999999996,12,1,0.083000000000000,-33.814999000000000,151.001114000000001,Oceania,1.650600000000000,28.714900000000000,0.057500000000000,2,2,1,0.000069444451688,118.000000000000000
-1,Parramata,4,-33.806390000000000,150.979719999999986,15,3,0.200000000000000,-33.814999000000000,151.001114000000001,Oceania,2.196200000000000,28.714900000000000,0.076500000000000,3,3,1,0.000069444451688,119.000000000000000
-1,Parramata,5,-33.799439999999997,150.974999999999994,15,6,0.400000000000000,-33.814999000000000,151.001114000000001,Oceania,2.968900000000000,28.714900000000000,0.103400000000000,4,4,1,0.000069444451688,118.000000000000000
-1,Parramata,6,-33.797220000000003,150.968889999999988,12,2,0.167000000000000,-33.814999000000000,151.001114000000001,Oceania,3.573900000000000,28.714900000000000,0.124500000000000,,,,,
-1,Parramata,7,-33.792499999999997,150.960829999999987,15,4,0.267000000000000,-33.814999000000000,151.001114000000001,Oceania,4.484800000000000,28.714900000000000,0.156200000000000,5,6,1,0.000069444451688,119.000000000000000
-1,Parramata,8,-33.787779999999998,150.952779999999990,15,0,0.000000000000000,-33.814999000000000,151.001114000000001,Oceania,5.395000000000000,28.714900000000000,0.187900000000000,6,7,1,0.000069444451688,120.000000000000000
-1,Parramata,9,-33.786670000000001,150.948329999999999,14,3,0.214000000000000,-33.814999000000000,151.001114000000001,Oceania,5.806100000000000,28.714900000000000,0.202200000000000,7,8,1,0.000069444451688,120.000000000000000
-1,Parramata,10,-33.780560000000001,150.943890000000010,10,3,0.300000000000000,-33.814999000000000,151.001114000000001,Oceania,6.528700000000000,28.714900000000000,0.227400000000000,8,9,1,0.000069444451688,120.000000000000000
-1,Parramata,11,-33.780000000000001,150.938060000000007,9,2,0.222000000000000,-33.814999000000000,151.001114000000001,Oceania,7.006600000000000,28.714900000000000,0.244000000000000,9,10,1,0.000069444451688,120.000000000000000
-1,Parramata,12,-33.774999999999999,150.927500000000009,5,1,0.200000000000000,-33.814999000000000,151.001114000000001,Oceania,8.127400000000000,28.714900000000000,0.283000000000000,10,11,1,0.000069444451688,121.000000000000000
-1,Parramata,13,-33.772500000000001,150.920829999999995,14,9,0.643000000000000,-33.814999000000000,151.001114000000001,Oceania,8.796099999999999,28.714900000000000,0.306300000000000,11,12,1,0.000069444451688,121.000000000000000
-1,Parramata,14,-33.767499999999998,150.916110000000003,11,5,0.455000000000000,-33.814999000000000,151.001114000000001,Oceania,9.465800000000000,28.714900000000000,0.329600000000000,12,13,1,0.000069444451688,121.000000000000000
-1,Parramata,15,-33.763330000000003,150.906939999999992,9,4,0.444000000000000,-33.814999000000000,151.001114000000001,Oceania,10.428300000000000,28.714900000000000,0.363200000000000,13,14,1,0.000069444451688,121.000000000000000
-1,Parramata,16,-33.758060000000000,150.898329999999987,15,1,0.067000000000000,-33.814999000000000,151.001114000000001,Oceania,11.415500000000000,28.714900000000000,0.397500000000000,14,15,1,0.000069444451688,122.000000000000000
-1,Parramata,17,-33.754719999999999,150.892500000000013,14,3,0.214000000000000,-33.814999000000000,151.001114000000001,Oceania,12.070000000000000,28.714900000000000,0.420300000000000,,,,,
-1,Parramata,18,-33.748890000000003,150.884170000000012,12,7,0.583000000000000,-33.814999000000000,151.001114000000001,Oceania,13.071000000000000,28.714900000000000,0.455200000000000,15,17,1,0.000069444451688,123.000000000000000
-1,Parramata,19,-33.747270000000000,150.879459999999995,15,7,0.467000000000000,-33.814999000000000,151.001114000000001,Oceania,13.532700000000000,28.714900000000000,0.471300000000000,16,18,1,0.000069444451688,123.000000000000000
-1,Parramata,20,-33.743890000000000,150.874719999999996,15,15,1.000000000000000,-33.814999000000000,151.001114000000001,Oceania,14.106199999999999,28.714900000000000,0.491300000000000,17,19,1,0.000069444451688,123.000000000000000
-1,Parramata,21,-33.739970000000000,150.867670000000004,10,10,1.000000000000000,-33.814999000000000,151.001114000000001,Oceania,14.890300000000000,28.714900000000000,0.518600000000000,18,20,1,0.000069444451688,123.000000000000000
-1,Parramata,22,-33.734670000000001,150.864429999999999,15,6,0.400000000000000,-33.814999000000000,151.001114000000001,Oceania,15.472200000000001,28.714900000000000,0.538800000000000,19,21,1,0.000069444451688,123.000000000000000
-1,Parramata,23,-33.729880000000001,150.860449999999986,14,10,0.714000000000000,-33.814999000000000,151.001114000000001,Oceania,16.081900000000001,28.714900000000000,0.560100000000000,20,22,1,0.000069444451688,124.000000000000000
-1,Parramata,24,-33.725810000000003,150.857059999999990,15,13,0.867000000000000,-33.814999000000000,151.001114000000001,Oceania,16.602799999999998,28.714900000000000,0.578200000000000,21,23,1,0.000069444451688,123.000000000000000
-1,Parramata,25,-33.720790000000001,150.853330000000000,15,13,0.867000000000000,-33.814999000000000,151.001114000000001,Oceania,17.214800000000000,28.714900000000000,0.599500000000000,22,24,1,0.000069444451688,124.000000000000000
