OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F8_Uppsala_gcs_PET_Aug_OID,F8_Uppsala_gcs_PET_Aug_FID_,F8_Uppsala_gcs_PET_Aug_COUNT,F8_Uppsala_gcs_PET_Aug_AREA,F8_Uppsala_gcs_PET_Aug_MEAN
-1,Uppsala,1,59.854219999999998,17.660250000000001,20,1,0.050000000000000,59.858131000000000,17.644621000000001,Europe,0.975100000000000,7.322100000000000,0.133200000000000,0,0,1,0.000069444451688,87.000000000000000
-1,Uppsala,2,59.856229999999996,17.656330000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.687100000000000,7.322100000000000,0.093800000000000,1,1,1,0.000069444451688,87.000000000000000
-1,Uppsala,3,59.854360000000000,17.647290000000002,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.445000000000000,7.322100000000000,0.060800000000000,2,2,1,0.000069444451688,87.000000000000000
-1,Uppsala,4,59.852820000000001,17.646370000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.598600000000000,7.322100000000000,0.081800000000000,,,,,
-1,Uppsala,5,59.851979999999998,17.643709999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.685800000000000,7.322100000000000,0.093700000000000,,,,,
-1,Uppsala,6,59.853110000000001,17.640509999999999,20,2,0.100000000000000,59.858131000000000,17.644621000000001,Europe,0.603700000000000,7.322100000000000,0.082400000000000,3,5,1,0.000069444451688,87.000000000000000
-1,Uppsala,7,59.853639999999999,17.636939999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.658300000000000,7.322100000000000,0.089900000000000,,,,,
-1,Uppsala,8,59.853140000000003,17.633759999999999,15,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.822100000000000,7.322100000000000,0.112300000000000,,,,,
-1,Uppsala,9,59.852390000000000,17.630269999999999,20,2,0.100000000000000,59.858131000000000,17.644621000000001,Europe,1.024600000000000,7.322100000000000,0.139900000000000,4,8,1,0.000069444451688,87.000000000000000
-1,Uppsala,10,59.851360000000000,17.626960000000000,20,5,0.250000000000000,59.858131000000000,17.644621000000001,Europe,1.240800000000000,7.322100000000000,0.169500000000000,,,,,
-1,Uppsala,11,59.850250000000003,17.623970000000000,20,1,0.050000000000000,59.858131000000000,17.644621000000001,Europe,1.448400000000000,7.322100000000000,0.197800000000000,5,10,1,0.000069444451688,87.000000000000000
-1,Uppsala,12,59.848920000000000,17.622019999999999,20,2,0.100000000000000,59.858131000000000,17.644621000000001,Europe,1.625400000000000,7.322100000000000,0.222000000000000,6,11,1,0.000069444451688,86.000000000000000
-1,Uppsala,13,59.847980000000000,17.619990000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,1.779300000000000,7.322100000000000,0.243000000000000,,,,,
-1,Uppsala,14,59.846699999999998,17.617609999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,1.972600000000000,7.322100000000000,0.269400000000000,,,,,
-1,Uppsala,15,59.847340000000003,17.610690000000002,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,2.242800000000000,7.322100000000000,0.306300000000000,7,14,1,0.000069444451688,87.000000000000000
-1,Uppsala,16,59.849179999999997,17.610849999999999,18,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,2.132400000000000,7.322100000000000,0.291200000000000,,,,,
-1,Uppsala,17,59.850479999999997,17.606110000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,2.312700000000000,7.322100000000000,0.315900000000000,8,16,1,0.000069444451688,87.000000000000000
-1,Uppsala,18,59.849390000000000,17.604630000000000,20,1,0.050000000000000,59.858131000000000,17.644621000000001,Europe,2.435600000000000,7.322100000000000,0.332600000000000,9,17,1,0.000069444451688,87.000000000000000
-1,Uppsala,19,59.848489999999998,17.602260000000001,20,3,0.150000000000000,59.858131000000000,17.644621000000001,Europe,2.597200000000000,7.322100000000000,0.354700000000000,,,,,
-1,Uppsala,20,59.847729999999999,17.598720000000000,4,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,2.812100000000000,7.322100000000000,0.384100000000000,10,19,1,0.000069444451688,86.000000000000000
-1,Uppsala,21,59.846080000000001,17.595640000000000,18,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,3.046000000000000,7.322100000000000,0.416000000000000,,,,,
-1,Uppsala,22,59.845649999999999,17.592289999999998,20,1,0.050000000000000,59.858131000000000,17.644621000000001,Europe,3.235300000000000,7.322100000000000,0.441900000000000,,,,,
-1,Uppsala,23,59.845149999999997,17.588960000000000,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,3.427300000000000,7.322100000000000,0.468100000000000,11,22,1,0.000069444451688,86.000000000000000
-1,Uppsala,24,59.844430000000003,17.585200000000000,19,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,3.651500000000000,7.322100000000000,0.498700000000000,,,,,
-1,Uppsala,27,59.842010000000002,17.575330000000001,20,3,0.150000000000000,59.858131000000000,17.644621000000001,Europe,4.264900000000000,7.322100000000000,0.582500000000000,12,24,1,0.000069444451688,86.000000000000000
-1,Uppsala,28,59.841410000000003,17.571919999999999,20,2,0.100000000000000,59.858131000000000,17.644621000000001,Europe,4.465800000000000,7.322100000000000,0.609900000000000,13,25,1,0.000069444451688,87.000000000000000
-1,Uppsala,29,59.840719999999997,17.568529999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,4.669900000000000,7.322100000000000,0.637800000000000,,,,,
-1,Uppsala,31,59.839500000000001,17.561430000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,5.087300000000000,7.322100000000000,0.694800000000000,14,27,1,0.000069444451688,86.000000000000000
-1,Uppsala,32,59.839320000000001,17.557630000000000,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,5.289700000000000,7.322100000000000,0.722400000000000,15,28,1,0.000069444451688,87.000000000000000
-1,Uppsala,33,59.839269999999999,17.553660000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,5.496200000000000,7.322100000000000,0.750600000000000,,,,,
-1,Uppsala,34,59.838690000000000,17.550270000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,5.695900000000000,7.322100000000000,0.777900000000000,,,,,
-1,Uppsala,35,59.837569999999999,17.547239999999999,18,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,5.900000000000000,7.322100000000000,0.805800000000000,16,31,1,0.000069444451688,87.000000000000000
-1,Uppsala,36,59.836350000000003,17.544390000000000,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,6.099700000000000,7.322100000000000,0.833100000000000,,,,,
-1,Uppsala,37,59.835310000000000,17.541380000000000,15,1,0.067000000000000,59.858131000000000,17.644621000000001,Europe,6.300200000000000,7.322100000000000,0.860400000000000,17,33,1,0.000069444451688,87.000000000000000
-1,Uppsala,38,59.834829999999997,17.537970000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,6.496100000000000,7.322100000000000,0.887200000000000,,,,,
-1,Uppsala,39,59.834460000000000,17.534260000000000,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,6.702700000000000,7.322100000000000,0.915400000000000,,,,,
-1,Uppsala,40,59.834099999999999,17.530529999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,6.910200000000000,7.322100000000000,0.943700000000000,18,36,1,0.000069444451688,87.000000000000000
-1,Uppsala,41,59.833990000000000,17.526789999999998,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,7.107900000000000,7.322100000000000,0.970700000000000,,,,,
-1,Uppsala,42,59.833950000000002,17.522690000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,7.322100000000000,7.322100000000000,1.000000000000000,19,38,1,0.000069444451688,87.000000000000000
