OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F9_Loja_gcs_PET_Sep_OID,F9_Loja_gcs_PET_Sep_FID_,F9_Loja_gcs_PET_Sep_COUNT,F9_Loja_gcs_PET_Sep_AREA,F9_Loja_gcs_PET_Sep_MEAN
-1,Loja,1,-4.065400000000000,-79.197400000000002,20,15,0.750000000000000,-3.997781000000000,-79.202451999999994,South America,7.539700000000000,7.539700000000000,1.000000000000000,0,0,1,0.000069444451688,112.000000000000000
-1,Loja,2,-4.063700000000000,-79.197500000000005,20,13,0.650000000000000,-3.997781000000000,-79.202451999999994,South America,7.350400000000000,7.539700000000000,0.974900000000000,,,,,
-1,Loja,3,-4.062000000000000,-79.197100000000006,20,7,0.350000000000000,-3.997781000000000,-79.202451999999994,South America,7.165500000000000,7.539700000000000,0.950400000000000,,,,,
-1,Loja,4,-4.060600000000000,-79.197000000000003,20,8,0.400000000000000,-3.997781000000000,-79.202451999999994,South America,7.011300000000000,7.539700000000000,0.929900000000000,,,,,
-1,Loja,5,-4.059400000000000,-79.196700000000007,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,6.881400000000000,7.539700000000000,0.912700000000000,,,,,
-1,Loja,6,-4.056900000000000,-79.197400000000002,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,6.597600000000000,7.539700000000000,0.875000000000000,1,5,1,0.000069444451688,112.000000000000000
-1,Loja,7,-4.055500000000000,-79.197999999999993,20,7,0.350000000000000,-3.997781000000000,-79.202451999999994,South America,6.437000000000000,7.539700000000000,0.853700000000000,,,,,
-1,Loja,8,-4.053800000000000,-79.198899999999995,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,6.241500000000000,7.539700000000000,0.827800000000000,,,,,
-1,Loja,9,-4.052000000000000,-79.198300000000003,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,6.046400000000000,7.539700000000000,0.801900000000000,,,,,
-1,Loja,10,-4.049900000000000,-79.197800000000001,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,5.818300000000000,7.539700000000000,0.771700000000000,2,9,1,0.000069444451688,113.000000000000000
