OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F8_Sapporo_gcs_PET_Aug_OID,F8_Sapporo_gcs_PET_Aug_FID_,F8_Sapporo_gcs_PET_Aug_COUNT,F8_Sapporo_gcs_PET_Aug_AREA,F8_Sapporo_gcs_PET_Aug_MEAN
-1,Sapporo,1,43.070900000000002,141.346820000000008,20,0,0.000000000000000,43.061449000000003,141.354537999999991,Asia,1.223700000000000,21.217099999999999,0.057700000000000,0,0,1,0.000069444451688,112.000000000000000
-1,Sapporo,2,43.071779999999997,141.353350000000006,20,4,0.200000000000000,43.061449000000003,141.354537999999991,Asia,1.152800000000000,21.217099999999999,0.054300000000000,1,1,1,0.000069444451688,112.000000000000000
-1,Sapporo,3,43.076610000000002,141.352710000000002,20,9,0.450000000000000,43.061449000000003,141.354537999999991,Asia,1.692400000000000,21.217099999999999,0.079800000000000,2,2,1,0.000069444451688,113.000000000000000
-1,Sapporo,4,43.078270000000003,141.358759999999990,20,1,0.050000000000000,43.061449000000003,141.354537999999991,Asia,1.901600000000000,21.217099999999999,0.089600000000000,3,3,1,0.000069444451688,112.000000000000000
-1,Sapporo,5,43.078029999999998,141.365330000000000,20,6,0.300000000000000,43.061449000000003,141.354537999999991,Asia,2.041500000000000,21.217099999999999,0.096200000000000,,,,,
-1,Sapporo,6,43.081809999999997,141.368449999999996,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,2.530400000000000,21.217099999999999,0.119300000000000,4,5,1,0.000069444451688,112.000000000000000
-1,Sapporo,7,43.083399999999997,141.372919999999993,20,0,0.000000000000000,43.061449000000003,141.354537999999991,Asia,2.861300000000000,21.217099999999999,0.134900000000000,5,6,1,0.000069444451688,113.000000000000000
-1,Sapporo,8,43.089219999999997,141.379700000000014,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,3.703000000000000,21.217099999999999,0.174500000000000,6,7,1,0.000069444451688,112.000000000000000
-1,Sapporo,9,43.091149999999999,141.385539999999992,20,4,0.200000000000000,43.061449000000003,141.354537999999991,Asia,4.153000000000000,21.217099999999999,0.195700000000000,7,8,1,0.000069444451688,112.000000000000000
-1,Sapporo,10,43.097589999999997,141.388980000000004,20,6,0.300000000000000,43.061449000000003,141.354537999999991,Asia,4.896400000000000,21.217099999999999,0.230800000000000,8,9,1,0.000069444451688,112.000000000000000
-1,Sapporo,11,43.100780000000000,141.390760000000000,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,5.270700000000000,21.217099999999999,0.248400000000000,9,10,1,0.000069444451688,113.000000000000000
-1,Sapporo,12,43.102269999999997,141.399090000000001,18,3,0.167000000000000,43.061449000000003,141.354537999999991,Asia,5.804800000000000,21.217099999999999,0.273600000000000,10,11,1,0.000069444451688,113.000000000000000
-1,Sapporo,13,43.102840000000000,141.404969999999992,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,6.161000000000000,21.217099999999999,0.290400000000000,11,12,1,0.000069444451688,113.000000000000000
-1,Sapporo,14,43.106009999999998,141.402530000000013,20,17,0.850000000000000,43.061449000000003,141.354537999999991,Asia,6.304100000000000,21.217099999999999,0.297100000000000,,,,,
-1,Sapporo,15,43.110570000000003,141.412059999999997,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,7.187100000000000,21.217099999999999,0.338700000000000,12,14,1,0.000069444451688,114.000000000000000
-1,Sapporo,16,43.114210000000000,141.415259999999989,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,7.663800000000000,21.217099999999999,0.361200000000000,,,,,
-1,Sapporo,17,43.116650000000000,141.411180000000002,20,6,0.300000000000000,43.061449000000003,141.354537999999991,Asia,7.670200000000000,21.217099999999999,0.361500000000000,,,,,
