OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F2_Charlotte_gcs_PET_Feb_OID,F2_Charlotte_gcs_PET_Feb_FID_,F2_Charlotte_gcs_PET_Feb_COUNT,F2_Charlotte_gcs_PET_Feb_AREA,F2_Charlotte_gcs_PET_Feb_MEAN
-1,Charlotte,1,35.211199999999998,-80.866150000000005,15,7,0.467000000000000,35.226888000000002,-80.843689999999995,USA,North America,2.684400000000000,40.114800000000002,0.066900000000000,0,0,1,0.000069444451688,51.000000000000000
-1,Charlotte,2,35.215640000000000,-80.857089999999999,15,6,0.400000000000000,35.226888000000002,-80.843689999999995,USA,North America,1.745300000000000,40.114800000000002,0.043500000000000,1,1,1,0.000069444451688,51.000000000000000
-1,Charlotte,3,35.220329999999997,-80.851470000000006,15,9,0.600000000000000,35.226888000000002,-80.843689999999995,USA,North America,1.015500000000000,40.114800000000002,0.025300000000000,2,2,1,0.000069444451688,51.000000000000000
-1,Charlotte,4,35.225259999999999,-80.837689999999995,15,6,0.400000000000000,35.226888000000002,-80.843689999999995,USA,North America,0.574300000000000,40.114800000000002,0.014300000000000,3,3,1,0.000069444451688,51.000000000000000
-1,Charlotte,5,35.234380000000002,-80.845950000000002,15,7,0.467000000000000,35.226888000000002,-80.843689999999995,USA,North America,0.858000000000000,40.114800000000002,0.021400000000000,4,4,1,0.000069444451688,51.000000000000000
-1,Charlotte,6,35.230690000000003,-80.842920000000007,15,12,0.800000000000000,35.226888000000002,-80.843689999999995,USA,North America,0.428500000000000,40.114800000000002,0.010700000000000,5,5,1,0.000069444451688,51.000000000000000
-1,Charlotte,7,35.229360000000000,-80.842309999999998,15,9,0.600000000000000,35.226888000000002,-80.843689999999995,USA,North America,0.302100000000000,40.114800000000002,0.007500000000000,,,,,
-1,Charlotte,8,35.229360000000000,-80.842309999999998,15,4,0.267000000000000,35.226888000000002,-80.843689999999995,USA,North America,0.302100000000000,40.114800000000002,0.007500000000000,,,,,
-1,Charlotte,9,35.240150000000000,-80.855940000000004,15,13,0.867000000000000,35.226888000000002,-80.843689999999995,USA,North America,1.847300000000000,40.114800000000002,0.046100000000000,6,8,1,0.000069444451688,51.000000000000000
-1,Charlotte,10,35.244370000000004,-80.863389999999995,15,10,0.667000000000000,35.226888000000002,-80.843689999999995,USA,North America,2.642000000000000,40.114800000000002,0.065900000000000,7,9,1,0.000069444451688,51.000000000000000
