OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F9_Atlantic_City_gcs_PET_Sep_OID,F9_Atlantic_City_gcs_PET_Sep_FID_,F9_Atlantic_City_gcs_PET_Sep_COUNT,F9_Atlantic_City_gcs_PET_Sep_AREA,F9_Atlantic_City_gcs_PET_Sep_MEAN
-1,Atlantic_City,1,39.192700000000002,-74.822479999999999,17,9,0.529000000000000,39.356273000000002,-74.436074000000005,USA,North America,37.909500000000001,37.909500000000001,1,0,0,1,0.000069444451688,106.000000000000000
-1,Atlantic_City,2,39.197029999999998,-74.810609999999997,19,6,0.316000000000000,39.356273000000002,-74.436074000000005,USA,North America,36.781199999999998,37.909500000000001,1,1,1,1,0.000069444451688,105.000000000000000
-1,Atlantic_City,3,39.197800000000001,-74.805160000000001,18,6,0.333000000000000,39.356273000000002,-74.436074000000005,USA,North America,36.328899999999997,37.909500000000001,1,2,2,1,0.000069444451688,105.000000000000000
-1,Atlantic_City,4,39.202809999999999,-74.793710000000004,17,5,0.294000000000000,39.356273000000002,-74.436074000000005,USA,North America,35.195900000000002,37.909500000000001,1,3,3,1,0.000069444451688,105.000000000000000
-1,Atlantic_City,5,39.210090000000001,-74.782399999999996,20,5,0.250000000000000,39.356273000000002,-74.436074000000005,USA,North America,33.951500000000003,37.909500000000001,1,4,4,1,0.000069444451688,105.000000000000000
-1,Atlantic_City,6,39.221209999999999,-74.778760000000005,18,2,0.111000000000000,39.356273000000002,-74.436074000000005,USA,North America,33.095599999999997,37.909500000000001,1,5,5,1,0.000069444451688,105.000000000000000
-1,Atlantic_City,7,39.225850000000001,-74.773910000000001,19,6,0.316000000000000,39.356273000000002,-74.436074000000005,USA,North America,32.489800000000002,37.909500000000001,1,6,6,1,0.000069444451688,105.000000000000000
-1,Atlantic_City,8,39.235639999999997,-74.767169999999993,17,6,0.353000000000000,39.356273000000002,-74.436074000000005,USA,North America,31.491199999999999,37.909500000000001,1,7,7,1,0.000069444451688,105.000000000000000
-1,Atlantic_City,9,39.240240000000000,-74.760350000000003,18,5,0.278000000000000,39.356273000000002,-74.436074000000005,USA,North America,30.742200000000000,37.909500000000001,1,8,8,1,0.000069444451688,105.000000000000000
-1,Atlantic_City,10,39.244000000000000,-74.749719999999996,19,8,0.421000000000000,39.356273000000002,-74.436074000000005,USA,North America,29.735800000000001,37.909500000000001,1,9,9,1,0.000069444451688,104.000000000000000
-1,Atlantic_City,11,39.248930000000001,-74.739069999999998,20,7,0.350000000000000,39.356273000000002,-74.436074000000005,USA,North America,28.673400000000001,37.909500000000001,1,10,10,1,0.000069444451688,104.000000000000000
-1,Atlantic_City,12,39.251800000000003,-74.728530000000006,18,5,0.278000000000000,39.356273000000002,-74.436074000000005,USA,North America,27.715599999999998,37.909500000000001,1,11,11,1,0.000069444451688,104.000000000000000
-1,Atlantic_City,13,39.259149999999998,-74.720240000000004,19,9,0.474000000000000,39.356273000000002,-74.436074000000005,USA,North America,26.727900000000002,37.909500000000001,1,12,12,1,0.000069444451688,104.000000000000000
