OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F4_Portland_ME_gcs_PET_Apr_OID,F4_Portland_ME_gcs_PET_Apr_FID_,F4_Portland_ME_gcs_PET_Apr_COUNT,F4_Portland_ME_gcs_PET_Apr_AREA,F4_Portland_ME_gcs_PET_Apr_MEAN
-1,Portlandme,1,43.653540000000000,-70.261619999999994,20,3,0.150000000000000,43.656678999999997,-70.253451999999996,North America,0.744100000000000,13.654700000000000,0.054500000000000,0,0,1,0.000069444451688,75.000000000000000
-1,Portlandme,2,43.654519999999998,-70.265810000000002,20,5,0.250000000000000,43.656678999999997,-70.253451999999996,North America,1.022800000000000,13.654700000000000,0.074900000000000,,,,,
-1,Portlandme,3,43.658459999999998,-70.267719999999997,20,3,0.150000000000000,43.656678999999997,-70.253451999999996,North America,1.164800000000000,13.654700000000000,0.085300000000000,1,2,1,0.000069444451688,76.000000000000000
-1,Portlandme,4,43.663980000000002,-70.265990000000002,20,4,0.200000000000000,43.656678999999997,-70.253451999999996,North America,1.294700000000000,13.654700000000000,0.094800000000000,2,3,1,0.000069444451688,76.000000000000000
-1,Portlandme,5,43.666370000000001,-70.273910000000001,20,3,0.150000000000000,43.656678999999997,-70.253451999999996,North America,1.967100000000000,13.654700000000000,0.144100000000000,,,,,
-1,Portlandme,6,43.670949999999998,-70.278329999999997,20,2,0.100000000000000,43.656678999999997,-70.253451999999996,North America,2.554000000000000,13.654700000000000,0.187000000000000,3,5,1,0.000069444451688,76.000000000000000
-1,Portlandme,7,43.676800000000000,-70.287599999999998,20,4,0.200000000000000,43.656678999999997,-70.253451999999996,North America,3.542600000000000,13.654700000000000,0.259400000000000,4,6,1,0.000069444451688,75.000000000000000
-1,Portlandme,8,43.683270000000000,-70.294219999999996,20,3,0.150000000000000,43.656678999999997,-70.253451999999996,North America,4.415200000000000,13.654700000000000,0.323300000000000,5,7,1,0.000069444451688,75.000000000000000
-1,Portlandme,9,43.692079999999997,-70.291449999999998,20,2,0.100000000000000,43.656678999999997,-70.253451999999996,North America,4.983400000000000,13.654700000000000,0.365000000000000,6,8,1,0.000069444451688,76.000000000000000
-1,Portlandme,10,43.702919999999999,-70.281540000000007,20,2,0.100000000000000,43.656678999999997,-70.253451999999996,North America,5.616000000000000,13.654700000000000,0.411300000000000,7,9,1,0.000069444451688,75.000000000000000
-1,Portlandme,11,43.717399999999998,-70.264480000000006,20,5,0.250000000000000,43.656678999999997,-70.253451999999996,North America,6.809800000000000,13.654700000000000,0.498700000000000,8,10,1,0.000069444451688,75.000000000000000
-1,Portlandme,12,43.725299999999997,-70.258520000000004,20,2,0.100000000000000,43.656678999999997,-70.253451999999996,North America,7.641200000000000,13.654700000000000,0.559600000000000,9,11,1,0.000069444451688,75.000000000000000
-1,Portlandme,13,43.727300000000000,-70.253929999999997,20,4,0.200000000000000,43.656678999999997,-70.253451999999996,North America,7.852800000000000,13.654700000000000,0.575100000000000,10,12,1,0.000069444451688,75.000000000000000
-1,Portlandme,14,43.729410000000001,-70.247569999999996,20,3,0.150000000000000,43.656678999999997,-70.253451999999996,North America,8.101100000000001,13.654700000000000,0.593300000000000,11,13,1,0.000069444451688,75.000000000000000
-1,Portlandme,15,43.729280000000003,-70.241659999999996,20,0,0.000000000000000,43.656678999999997,-70.253451999999996,North America,8.128299999999999,13.654700000000000,0.595300000000000,12,14,1,0.000069444451688,75.000000000000000
-1,Portlandme,16,43.732950000000002,-70.237740000000002,20,2,0.100000000000000,43.656678999999997,-70.253451999999996,North America,8.574500000000000,13.654700000000000,0.628000000000000,,,,,
-1,Portlandme,17,43.742199999999997,-70.226079999999996,20,6,0.300000000000000,43.656678999999997,-70.253451999999996,North America,9.760800000000000,13.654700000000000,0.714800000000000,13,16,1,0.000069444451688,75.000000000000000
-1,Portlandme,18,43.662739999999999,-70.272030000000001,20,3,0.150000000000000,43.656678999999997,-70.253451999999996,North America,1.639400000000000,13.654700000000000,0.120100000000000,,,,,
-1,Portlandme,19,43.666449999999998,-70.280869999999993,20,4,0.200000000000000,43.656678999999997,-70.253451999999996,North America,2.458600000000000,13.654700000000000,0.180100000000000,14,18,1,0.000069444451688,76.000000000000000
-1,Portlandme,20,43.670699999999997,-70.296890000000005,20,1,0.050000000000000,43.656678999999997,-70.253451999999996,North America,3.826200000000000,13.654700000000000,0.280200000000000,15,19,1,0.000069444451688,76.000000000000000
-1,Portlandme,21,43.673800000000000,-70.284279999999995,20,1,0.050000000000000,43.656678999999997,-70.253451999999996,North America,3.126200000000000,13.654700000000000,0.228900000000000,16,20,1,0.000069444451688,75.000000000000000
-1,Portlandme,22,43.677880000000002,-70.294849999999997,20,1,0.050000000000000,43.656678999999997,-70.253451999999996,North America,4.079900000000000,13.654700000000000,0.298800000000000,,,,,
-1,Portlandme,23,43.680929999999996,-70.294560000000004,20,6,0.300000000000000,43.656678999999997,-70.253451999999996,North America,4.266600000000000,13.654700000000000,0.312500000000000,,,,,
-1,Portlandme,24,43.685690000000001,-70.293689999999998,20,2,0.100000000000000,43.656678999999997,-70.253451999999996,North America,4.569500000000000,13.654700000000000,0.334600000000000,17,23,1,0.000069444451688,75.000000000000000
-1,Portlandme,25,43.689509999999999,-70.292109999999994,17,4,0.235000000000000,43.656678999999997,-70.253451999999996,North America,4.795200000000000,13.654700000000000,0.351200000000000,,,,,
-1,Portlandme,26,43.689509999999999,-70.292109999999994,3,1,0.333000000000000,43.656678999999997,-70.253451999999996,North America,4.795200000000000,13.654700000000000,0.351200000000000,,,,,
-1,Portlandme,26,43.697519999999997,-70.295140000000004,20,8,0.400000000000000,43.656678999999997,-70.253451999999996,North America,5.644800000000000,13.654700000000000,0.413400000000000,18,26,1,0.000069444451688,75.000000000000000
-1,Portlandme,27,43.697400000000002,-70.285910000000001,20,4,0.200000000000000,43.656678999999997,-70.253451999999996,North America,5.226500000000000,13.654700000000000,0.382800000000000,,,,,
-1,Portlandme,28,43.701529999999998,-70.284809999999993,20,1,0.050000000000000,43.656678999999997,-70.253451999999996,North America,5.588500000000000,13.654700000000000,0.409300000000000,19,28,1,0.000069444451688,75.000000000000000
-1,Portlandme,29,43.706539999999997,-70.288730000000001,20,1,0.050000000000000,43.656678999999997,-70.253451999999996,North America,6.227900000000000,13.654700000000000,0.456100000000000,,,,,
-1,Portlandme,30,43.708449999999999,-70.285570000000007,20,5,0.250000000000000,43.656678999999997,-70.253451999999996,North America,6.309500000000000,13.654700000000000,0.462100000000000,20,30,1,0.000069444451688,75.000000000000000
-1,Portlandme,31,43.712470000000003,-70.272949999999994,20,5,0.250000000000000,43.656678999999997,-70.253451999999996,North America,6.398700000000000,13.654700000000000,0.468600000000000,21,31,1,0.000069444451688,75.000000000000000
-1,Portlandme,32,43.713169999999998,-70.265400000000000,20,6,0.300000000000000,43.656678999999997,-70.253451999999996,North America,6.354600000000000,13.654700000000000,0.465400000000000,22,32,1,0.000069444451688,75.000000000000000
-1,Portlandme,33,43.726120000000002,-70.247979999999998,19,3,0.158000000000000,43.656678999999997,-70.253451999999996,North America,7.734000000000000,13.654700000000000,0.566400000000000,,,,,
-1,Portlandme,34,43.740630000000003,-70.221230000000006,20,3,0.150000000000000,43.656678999999997,-70.253451999999996,North America,9.687700000000000,13.654700000000000,0.709500000000000,23,34,1,0.000069444451688,75.000000000000000
-1,Portlandme,35,43.743029999999997,-70.218100000000007,20,2,0.100000000000000,43.656678999999997,-70.253451999999996,North America,10.013600000000000,13.654700000000000,0.733300000000000,24,35,1,0.000069444451688,75.000000000000000
-1,Portlandme,36,43.746729999999999,-70.212950000000006,20,3,0.150000000000000,43.656678999999997,-70.253451999999996,North America,10.529299999999999,13.654700000000000,0.771100000000000,25,36,1,0.000069444451688,75.000000000000000
-1,Portlandme,37,43.750390000000003,-70.214830000000006,20,1,0.050000000000000,43.656678999999997,-70.253451999999996,North America,10.872900000000000,13.654700000000000,0.796300000000000,26,37,1,0.000069444451688,75.000000000000000
-1,Portlandme,38,43.754320000000000,-70.209680000000006,20,1,0.050000000000000,43.656678999999997,-70.253451999999996,North America,11.413100000000000,13.654700000000000,0.835800000000000,,,,,
-1,Portlandme,39,43.757910000000003,-70.208110000000005,20,4,0.200000000000000,43.656678999999997,-70.253451999999996,North America,11.831700000000000,13.654700000000000,0.866500000000000,27,39,1,0.000069444451688,75.000000000000000
-1,Portlandme,40,43.773980000000002,-70.203180000000003,18,3,0.167000000000000,43.656678999999997,-70.253451999999996,North America,13.654700000000000,13.654700000000000,1.000000000000000,28,40,1,0.000069444451688,75.000000000000000
