OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F5_Beijing_gcs_PET_May_OID,F5_Beijing_gcs_PET_May_FID_,F5_Beijing_gcs_PET_May_COUNT,F5_Beijing_gcs_PET_May_AREA,F5_Beijing_gcs_PET_May_MEAN
-1,Beijing,1,39.959699999999998,116.409800000000004,27,18,0.667000000000000,39.904201999999998,116.407393999999996,Asia,6.174500000000000,22.597600000000000,0.273200000000000,0,0,1,0.000069444451688,159.000000000000000
-1,Beijing,2,39.968499999999999,116.373400000000004,24,24,1.000000000000000,39.904201999999998,116.407393999999996,Asia,7.714700000000000,22.597600000000000,0.341400000000000,1,1,1,0.000069444451688,159.000000000000000
-1,Beijing,3,39.972700000000003,116.373800000000003,5,2,0.400000000000000,39.904201999999998,116.407393999999996,Asia,8.137300000000000,22.597600000000000,0.360100000000000,,,,,
-1,Beijing,4,40.012300000000003,116.392700000000005,21,7,0.333000000000000,39.904201999999998,116.407393999999996,Asia,12.085000000000001,22.597600000000000,0.534800000000000,2,3,1,0.000069444451688,160.000000000000000
-1,Beijing,5,40.017099999999999,116.375100000000003,23,9,0.391000000000000,39.904201999999998,116.407393999999996,Asia,12.851900000000001,22.597600000000000,0.568700000000000,3,4,1,0.000069444451688,160.000000000000000
-1,Beijing,6,40.013700000000000,116.390699999999995,26,8,0.308000000000000,39.904201999999998,116.407393999999996,Asia,12.258500000000000,22.597600000000000,0.542500000000000,4,5,1,0.000069444451688,160.000000000000000
-1,Beijing,7,40.012000000000000,116.380200000000002,23,19,0.826000000000000,39.904201999999998,116.407393999999996,Asia,12.208600000000001,22.597600000000000,0.540300000000000,5,6,1,0.000069444451688,160.000000000000000
-1,Beijing,8,40.015599999999999,116.377099999999999,25,11,0.440000000000000,39.904201999999998,116.407393999999996,Asia,12.653100000000000,22.597600000000000,0.559900000000000,,,,,
-1,Beijing,9,40.010700000000000,116.384299999999996,22,11,0.500000000000000,39.904201999999998,116.407393999999996,Asia,12.004500000000000,22.597600000000000,0.531200000000000,,,,,
-1,Beijing,10,40.009300000000003,116.389399999999995,20,19,0.950000000000000,39.904201999999998,116.407393999999996,Asia,11.786600000000000,22.597600000000000,0.521600000000000,,,,,
-1,Beijing,11,39.961399999999998,116.356700000000004,24,14,0.583000000000000,39.904201999999998,116.407393999999996,Asia,7.689900000000000,22.597600000000000,0.340300000000000,6,10,1,0.000069444451688,160.000000000000000
-1,Beijing,12,40.042400000000001,116.393900000000002,18,10,0.556000000000000,39.904201999999998,116.407393999999996,Asia,15.409900000000000,22.597600000000000,0.681900000000000,7,11,1,0.000069444451688,160.000000000000000
-1,Beijing,13,40.024999999999999,116.377399999999994,21,6,0.286000000000000,39.904201999999998,116.407393999999996,Asia,13.673200000000000,22.597600000000000,0.605100000000000,,,,,
-1,Beijing,14,40.023699999999998,116.380300000000005,18,9,0.500000000000000,39.904201999999998,116.407393999999996,Asia,13.486700000000001,22.597600000000000,0.596800000000000,,,,,
-1,Beijing,15,40.028100000000002,116.387299999999996,11,6,0.545000000000000,39.904201999999998,116.407393999999996,Asia,13.882899999999999,22.597600000000000,0.614400000000000,8,14,1,0.000069444451688,160.000000000000000
-1,Beijing,16,40.023800000000001,116.385999999999996,22,20,0.909000000000000,39.904201999999998,116.407393999999996,Asia,13.423100000000000,22.597600000000000,0.594000000000000,9,15,1,0.000069444451688,160.000000000000000
-1,Beijing,17,40.079999999999998,116.335300000000004,24,13,0.542000000000000,39.904201999999998,116.407393999999996,Asia,20.489999999999998,22.597600000000000,0.906700000000000,10,16,1,0.000069444451688,161.000000000000000
-1,Beijing,18,40.090800000000002,116.302300000000002,24,6,0.250000000000000,39.904201999999998,116.407393999999996,Asia,22.597600000000000,22.597600000000000,1.000000000000000,11,17,1,0.000069444451688,161.000000000000000
-1,Beijing,19,40.068199999999997,116.310500000000005,23,15,0.652000000000000,39.904201999999998,116.407393999999996,Asia,20.017199999999999,22.597600000000000,0.885800000000000,12,18,1,0.000069444451688,161.000000000000000
-1,Beijing,20,40.064799999999998,116.307599999999994,28,20,0.714000000000000,39.904201999999998,116.407393999999996,Asia,19.778500000000001,22.597600000000000,0.875200000000000,13,19,1,0.000069444451688,161.000000000000000
-1,Beijing,21,40.015799999999999,116.386799999999994,23,20,0.870000000000000,39.904201999999998,116.407393999999996,Asia,12.532700000000000,22.597600000000000,0.554600000000000,,,,,
-1,Beijing,22,40.015799999999999,116.383300000000006,22,21,0.955000000000000,39.904201999999998,116.407393999999996,Asia,12.577900000000000,22.597600000000000,0.556600000000000,,,,,
-1,Beijing,23,40.015900000000002,116.379199999999997,24,10,0.417000000000000,39.904201999999998,116.407393999999996,Asia,12.650600000000001,22.597600000000000,0.559800000000000,,,,,
-1,Beijing,24,39.937500000000000,116.331699999999998,17,17,1.000000000000000,39.904201999999998,116.407393999999996,Asia,7.441600000000000,22.597600000000000,0.329300000000000,14,23,1,0.000069444451688,160.000000000000000
