OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F8_Morelia_gcs_PET_Aug_OID,F8_Morelia_gcs_PET_Aug_FID_,F8_Morelia_gcs_PET_Aug_COUNT,F8_Morelia_gcs_PET_Aug_AREA,F8_Morelia_gcs_PET_Aug_MEAN
-1,Morelia,1,19.703090000000000,-101.195369999999997,15,9,0.600000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,0.059900000000000,10.872800000000000,0.005500000000000,0,0,1,0.000069444451688,138.000000000000000
-1,Morelia,2,19.705549999999999,-101.192260000000005,10,0,0.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,0.427000000000000,10.872800000000000,0.039300000000000,,,,,
-1,Morelia,3,19.703299999999999,-101.182950000000005,11,0,0.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.261600000000000,10.872800000000000,0.116000000000000,1,2,1,0.000069444451688,138.000000000000000
-1,Morelia,4,19.700489999999999,-101.178359999999998,10,9,0.900000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.757400000000000,10.872800000000000,0.161600000000000,,,,,
-1,Morelia,5,19.698470000000000,-101.180719999999994,15,12,0.800000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.565300000000000,10.872800000000000,0.144000000000000,2,4,1,0.000069444451688,138.000000000000000
-1,Morelia,6,19.698280000000000,-101.189319999999995,10,0,0.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,0.769600000000000,10.872800000000000,0.070800000000000,3,5,1,0.000069444451688,138.000000000000000
-1,Morelia,7,19.687059999999999,-101.194460000000007,10,6,0.600000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.739100000000000,10.872800000000000,0.159900000000000,4,6,1,0.000069444451688,138.000000000000000
-1,Morelia,8,19.686350000000001,-101.192769999999996,10,2,0.200000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.831900000000000,10.872800000000000,0.168500000000000,,,,,
-1,Morelia,9,19.688269999999999,-101.195059999999998,10,9,0.900000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.603700000000000,10.872800000000000,0.147500000000000,,,,,
-1,Morelia,10,19.681960000000000,-101.195650000000001,10,2,0.200000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,2.306300000000000,10.872800000000000,0.212100000000000,5,9,1,0.000069444451688,137.000000000000000
-1,Morelia,11,19.687449999999998,-101.201639999999998,10,4,0.400000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.832500000000000,10.872800000000000,0.168500000000000,6,10,1,0.000069444451688,138.000000000000000
-1,Morelia,12,19.688880000000001,-101.201939999999993,11,8,0.727000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.699700000000000,10.872800000000000,0.156300000000000,,,,,
-1,Morelia,13,19.688839999999999,-101.203389999999999,14,6,0.429000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.773900000000000,10.872800000000000,0.163200000000000,,,,,
-1,Morelia,14,19.688590000000001,-101.206310000000002,11,4,0.364000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.965900000000000,10.872800000000000,0.180800000000000,,,,,
