OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F1_Memphis_gcs_PET_Jan_OID,F1_Memphis_gcs_PET_Jan_FID_,F1_Memphis_gcs_PET_Jan_COUNT,F1_Memphis_gcs_PET_Jan_AREA,F1_Memphis_gcs_PET_Jan_MEAN
-1,Memphis,1,35.157480000000000,-90.048050000000003,20,4,0.200000000000000,35.149022000000002,-90.051629000000005,North America,0.995200000000000,18.395800000000001,0.054100000000000,0,0,1,0.000069444451688,35.000000000000000
-1,Memphis,10,35.133249999999997,-90.056680000000000,17,3,0.176000000000000,35.149022000000002,-90.051629000000005,North America,1.812900000000000,18.395800000000001,0.098500000000000,1,1,1,0.000069444451688,35.000000000000000
-1,Memphis,11,35.129600000000003,-90.059200000000004,16,6,0.375000000000000,35.149022000000002,-90.051629000000005,North America,2.266700000000000,18.395800000000001,0.123200000000000,2,2,1,0.000069444451688,35.000000000000000
-1,Memphis,12,35.126600000000003,-90.061800000000005,20,13,0.650000000000000,35.149022000000002,-90.051629000000005,North America,2.659200000000000,18.395800000000001,0.144600000000000,,,,,
-1,Memphis,13,35.123309999999996,-90.047730000000001,20,8,0.400000000000000,35.149022000000002,-90.051629000000005,North America,2.880900000000000,18.395800000000001,0.156600000000000,3,4,1,0.000069444451688,35.000000000000000
-1,Memphis,14,35.142420000000001,-90.045439999999999,20,7,0.350000000000000,35.149022000000002,-90.051629000000005,North America,0.925000000000000,18.395800000000001,0.050300000000000,4,5,1,0.000069444451688,35.000000000000000
-1,Memphis,15,35.117880000000000,-90.052340000000001,18,2,0.111000000000000,35.149022000000002,-90.051629000000005,North America,3.463400000000000,18.395800000000001,0.188300000000000,5,6,1,0.000069444451688,35.000000000000000
-1,Memphis,16,35.117829999999998,-90.046760000000006,16,4,0.250000000000000,35.149022000000002,-90.051629000000005,North America,3.496500000000000,18.395800000000001,0.190100000000000,,,,,
-1,Memphis,17,35.107320000000001,-90.042599999999993,16,2,0.125000000000000,35.149022000000002,-90.051629000000005,North America,4.709200000000000,18.395800000000001,0.256000000000000,6,8,1,0.000069444451688,35.000000000000000
-1,Memphis,18,35.113979999999998,-90.043480000000002,16,4,0.250000000000000,35.149022000000002,-90.051629000000005,North America,3.966300000000000,18.395800000000001,0.215600000000000,7,9,1,0.000069444451688,35.000000000000000
