OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F4_Tehran_gcs_PET_Apr_OID,F4_Tehran_gcs_PET_Apr_FID_,F4_Tehran_gcs_PET_Apr_COUNT,F4_Tehran_gcs_PET_Apr_AREA,F4_Tehran_gcs_PET_Apr_MEAN
-1,Tehran,1,35.711939999999998,51.390230000000003,20,5,0.250000000000000,35.689425000000000,51.416888999999998,Asia,3.473100000000000,46.808900000000001,0.074200000000000,0,0,1,0.000069444451688,117.000000000000000
-1,Tehran,2,35.709090000000003,51.391689999999997,20,1,0.050000000000000,35.689425000000000,51.416888999999998,Asia,3.155800000000000,46.808900000000001,0.067400000000000,1,1,1,0.000069444451688,118.000000000000000
-1,Tehran,3,35.683059999999998,51.411830000000002,14,2,0.143000000000000,35.689425000000000,51.416888999999998,Asia,0.842400000000000,46.808900000000001,0.018000000000000,2,2,1,0.000069444451688,119.000000000000000
-1,Tehran,4,35.706429999999997,51.403570000000002,10,0,0.000000000000000,35.689425000000000,51.416888999999998,Asia,2.241000000000000,46.808900000000001,0.047900000000000,3,3,1,0.000069444451688,118.000000000000000
-1,Tehran,5,35.687230000000000,51.398200000000003,20,1,0.050000000000000,35.689425000000000,51.416888999999998,Asia,1.705400000000000,46.808900000000001,0.036400000000000,4,4,1,0.000069444451688,119.000000000000000
-1,Tehran,6,35.688440000000000,51.393900000000002,20,7,0.350000000000000,35.689425000000000,51.416888999999998,Asia,2.079100000000000,46.808900000000001,0.044400000000000,,,,,
-1,Tehran,7,35.672300000000000,51.391669999999998,20,0,0.000000000000000,35.689425000000000,51.416888999999998,Asia,2.968900000000000,46.808900000000001,0.063400000000000,5,6,1,0.000069444451688,119.000000000000000
-1,Tehran,8,35.668920000000000,51.394010000000002,17,3,0.176000000000000,35.689425000000000,51.416888999999998,Asia,3.077200000000000,46.808900000000001,0.065700000000000,6,7,1,0.000069444451688,119.000000000000000
-1,Tehran,9,35.701470000000000,51.419170000000001,19,7,0.368000000000000,35.689425000000000,51.416888999999998,Asia,1.355100000000000,46.808900000000001,0.028900000000000,7,8,1,0.000069444451688,119.000000000000000
-1,Tehran,10,35.665199999999999,51.389600000000002,16,2,0.125000000000000,35.689425000000000,51.416888999999998,Asia,3.651300000000000,46.808900000000001,0.078000000000000,8,9,1,0.000069444451688,120.000000000000000
-1,Tehran,11,35.659939999999999,51.389910000000000,20,3,0.150000000000000,35.689425000000000,51.416888999999998,Asia,4.085100000000000,46.808900000000001,0.087300000000000,,,,,
-1,Tehran,12,35.660359999999997,51.425199999999997,20,7,0.350000000000000,35.689425000000000,51.416888999999998,Asia,3.317900000000000,46.808900000000001,0.070900000000000,9,11,1,0.000069444451688,120.000000000000000
-1,Tehran,13,35.655119999999997,51.424059999999997,11,2,0.182000000000000,35.689425000000000,51.416888999999998,Asia,3.869200000000000,46.808900000000001,0.082700000000000,10,12,1,0.000069444451688,120.000000000000000
