OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F7_Hempstead_gcs_PET_Jul_OID,F7_Hempstead_gcs_PET_Jul_FID_,F7_Hempstead_gcs_PET_Jul_COUNT,F7_Hempstead_gcs_PET_Jul_AREA,F7_Hempstead_gcs_PET_Jul_MEAN
-1,Hempstead,1,40.703749999999999,-73.625399999999999,14,2,0.143000000000000,40.705561000000003,-73.625962000000001,North America,0.206900000000000,12.954400000000000,0.016000000000000,0,0,1,0.000069444451688,147.000000000000000
-1,Hempstead,2,40.705520000000000,-73.620649999999998,15,0,0.000000000000000,40.705561000000003,-73.625962000000001,North America,0.447800000000000,12.954400000000000,0.034600000000000,1,1,1,0.000069444451688,148.000000000000000
-1,Hempstead,3,40.709110000000003,-73.621200000000002,15,1,0.067000000000000,40.705561000000003,-73.625962000000001,North America,0.562900000000000,12.954400000000000,0.043500000000000,2,2,1,0.000069444451688,149.000000000000000
-1,Hempstead,4,40.709589999999999,-73.615870000000001,15,3,0.200000000000000,40.705561000000003,-73.625962000000001,North America,0.961400000000000,12.954400000000000,0.074200000000000,3,3,1,0.000069444451688,148.000000000000000
-1,Hempstead,5,40.711440000000003,-73.610929999999996,14,1,0.071000000000000,40.705561000000003,-73.625962000000001,North America,1.425700000000000,12.954400000000000,0.110100000000000,,,,,
-1,Hempstead,6,40.713320000000003,-73.606039999999993,15,5,0.333000000000000,40.705561000000003,-73.625962000000001,North America,1.887900000000000,12.954400000000000,0.145700000000000,4,5,1,0.000069444451688,148.000000000000000
-1,Hempstead,7,40.716099999999997,-73.604190000000003,15,0,0.000000000000000,40.705561000000003,-73.625962000000001,North America,2.177400000000000,12.954400000000000,0.168100000000000,,,,,
-1,Hempstead,8,40.720059999999997,-73.605789999999999,15,0,0.000000000000000,40.705561000000003,-73.625962000000001,North America,2.343000000000000,12.954400000000000,0.180900000000000,5,7,1,0.000069444451688,149.000000000000000
-1,Hempstead,9,40.723970000000001,-73.607259999999997,15,0,0.000000000000000,40.705561000000003,-73.625962000000001,North America,2.583500000000000,12.954400000000000,0.199400000000000,,,,,
-1,Hempstead,10,40.727919999999997,-73.608869999999996,14,0,0.000000000000000,40.705561000000003,-73.625962000000001,North America,2.873400000000000,12.954400000000000,0.221800000000000,6,9,1,0.000069444451688,149.000000000000000
-1,Hempstead,11,40.730190000000000,-73.606369999999998,15,3,0.200000000000000,40.705561000000003,-73.625962000000001,North America,3.197900000000000,12.954400000000000,0.246900000000000,7,10,1,0.000069444451688,149.000000000000000
-1,Hempstead,12,40.733110000000003,-73.604740000000007,16,1,0.062000000000000,40.705561000000003,-73.625962000000001,North America,3.547200000000000,12.954400000000000,0.273800000000000,,,,,
-1,Hempstead,13,40.734310000000001,-73.599530000000001,15,4,0.267000000000000,40.705561000000003,-73.625962000000001,North America,3.896300000000000,12.954400000000000,0.300800000000000,8,12,1,0.000069444451688,149.000000000000000
-1,Hempstead,14,40.735489999999999,-73.594359999999995,14,5,0.357000000000000,40.705561000000003,-73.625962000000001,North America,4.262400000000000,12.954400000000000,0.329000000000000,,,,,
-1,Hempstead,15,40.738360000000000,-73.593469999999996,11,1,0.091000000000000,40.705561000000003,-73.625962000000001,North America,4.560600000000000,12.954400000000000,0.352100000000000,,,,,
-1,Hempstead,16,40.742379999999997,-73.592280000000002,15,0,0.000000000000000,40.705561000000003,-73.625962000000001,North America,4.981800000000000,12.954400000000000,0.384600000000000,9,15,1,0.000069444451688,149.000000000000000
-1,Hempstead,17,40.746440000000000,-73.592619999999997,14,3,0.214000000000000,40.705561000000003,-73.625962000000001,North America,5.343800000000000,12.954400000000000,0.412500000000000,,,,,
-1,Hempstead,18,40.750259999999997,-73.594650000000001,13,0,0.000000000000000,40.705561000000003,-73.625962000000001,North America,5.627200000000000,12.954400000000000,0.434400000000000,10,17,1,0.000069444451688,149.000000000000000
