OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F6_Hiroshima_gcs_PET_Jun_OID,F6_Hiroshima_gcs_PET_Jun_FID_,F6_Hiroshima_gcs_PET_Jun_COUNT,F6_Hiroshima_gcs_PET_Jun_AREA,F6_Hiroshima_gcs_PET_Jun_MEAN
-1,Hiroshima,1,34.387720000000002,132.464840000000009,20,2,0.100000000000000,34.385204000000002,132.455291999999986,Asia,0.919700000000000,36.456899999999997,0.025200000000000,0,0,1,0.000069444451688,131.000000000000000
-1,Hiroshima,2,34.383090000000003,132.458100000000002,20,5,0.250000000000000,34.385204000000002,132.455291999999986,Asia,0.348800000000000,36.456899999999997,0.009600000000000,1,1,1,0.000069444451688,131.000000000000000
-1,Hiroshima,3,34.385170000000002,132.450389999999999,20,9,0.450000000000000,34.385204000000002,132.455291999999986,Asia,0.449800000000000,36.456899999999997,0.012300000000000,2,2,1,0.000069444451688,132.000000000000000
-1,Hiroshima,4,34.389890000000001,132.452380000000005,20,3,0.150000000000000,34.385204000000002,132.455291999999986,Asia,0.585600000000000,36.456899999999997,0.016100000000000,,,,,
-1,Hiroshima,5,34.394710000000003,132.451600000000013,20,2,0.100000000000000,34.385204000000002,132.455291999999986,Asia,1.110000000000000,36.456899999999997,0.030400000000000,3,4,1,0.000069444451688,131.000000000000000
-1,Hiroshima,6,34.396009999999997,132.453280000000007,20,3,0.150000000000000,34.385204000000002,132.455291999999986,Asia,1.215700000000000,36.456899999999997,0.033300000000000,,,,,
-1,Hiroshima,7,34.401220000000002,132.453570000000013,20,0,0.000000000000000,34.385204000000002,132.455291999999986,Asia,1.787900000000000,36.456899999999997,0.049000000000000,4,6,1,0.000069444451688,132.000000000000000
-1,Hiroshima,8,34.406350000000003,132.456600000000009,20,0,0.000000000000000,34.385204000000002,132.455291999999986,Asia,2.354400000000000,36.456899999999997,0.064600000000000,,,,,
-1,Hiroshima,9,34.412399999999998,132.461980000000011,20,2,0.100000000000000,34.385204000000002,132.455291999999986,Asia,3.085700000000000,36.456899999999997,0.084600000000000,5,8,1,0.000069444451688,133.000000000000000
-1,Hiroshima,10,34.416829999999997,132.465030000000013,20,4,0.200000000000000,34.385204000000002,132.455291999999986,Asia,3.628400000000000,36.456899999999997,0.099500000000000,6,9,1,0.000069444451688,133.000000000000000
-1,Hiroshima,11,34.427250000000001,132.469130000000007,20,10,0.500000000000000,34.385204000000002,132.455291999999986,Asia,4.844600000000000,36.456899999999997,0.132900000000000,7,10,1,0.000069444451688,133.000000000000000
-1,Hiroshima,12,34.436570000000003,132.470830000000007,20,3,0.150000000000000,34.385204000000002,132.455291999999986,Asia,5.886800000000000,36.456899999999997,0.161500000000000,8,11,1,0.000069444451688,132.000000000000000
-1,Hiroshima,13,34.441989999999997,132.474259999999987,20,8,0.400000000000000,34.385204000000002,132.455291999999986,Asia,6.549700000000000,36.456899999999997,0.179700000000000,9,12,1,0.000069444451688,132.000000000000000
-1,Hiroshima,14,34.451470000000000,132.473849999999999,20,5,0.250000000000000,34.385204000000002,132.455291999999986,Asia,7.562500000000000,36.456899999999997,0.207400000000000,10,13,1,0.000069444451688,133.000000000000000
-1,Hiroshima,15,34.457320000000003,132.476349999999996,20,8,0.400000000000000,34.385204000000002,132.455291999999986,Asia,8.248300000000000,36.456899999999997,0.226200000000000,11,14,1,0.000069444451688,132.000000000000000
-1,Hiroshima,16,34.461880000000001,132.474760000000003,20,10,0.500000000000000,34.385204000000002,132.455291999999986,Asia,8.711000000000000,36.456899999999997,0.238900000000000,12,15,1,0.000069444451688,133.000000000000000
-1,Hiroshima,17,34.467599999999997,132.478579999999994,20,10,0.500000000000000,34.385204000000002,132.455291999999986,Asia,9.407700000000000,36.456899999999997,0.258000000000000,13,16,1,0.000069444451688,133.000000000000000
-1,Hiroshima,18,34.472980000000000,132.484600000000000,20,17,0.850000000000000,34.385204000000002,132.455291999999986,Asia,10.123600000000000,36.456899999999997,0.277700000000000,14,17,1,0.000069444451688,133.000000000000000
-1,Hiroshima,19,34.481549999999999,132.495440000000002,12,3,0.250000000000000,34.385204000000002,132.455291999999986,Asia,11.328300000000000,36.456899999999997,0.310700000000000,15,18,1,0.000069444451688,133.000000000000000
