OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F9_Boston_gcs_PET_Sep_OID,F9_Boston_gcs_PET_Sep_FID_,F9_Boston_gcs_PET_Sep_COUNT,F9_Boston_gcs_PET_Sep_AREA,F9_Boston_gcs_PET_Sep_MEAN
-1,Boston,1,41.961770000000001,-71.067639999999997,18,7,0.389000000000000,42.356665999999997,-71.055740000000000,North America,43.921399999999998,43.921399999999998,1.000000000000000,0,0,1,0.000069444451688,98.000000000000000
-1,Boston,10,42.048139999999997,-71.081930000000000,20,3,0.150000000000000,42.356665999999997,-71.055740000000000,North America,34.374299999999998,43.921399999999998,0.782600000000000,1,1,1,0.000069444451688,97.000000000000000
-1,Boston,11,42.059800000000003,-71.085300000000004,20,2,0.100000000000000,42.356665999999997,-71.055740000000000,North America,33.099699999999999,43.921399999999998,0.753600000000000,2,2,1,0.000069444451688,97.000000000000000
-1,Boston,12,42.066960000000002,-71.086770000000001,20,11,0.550000000000000,42.356665999999997,-71.055740000000000,North America,32.314999999999998,43.921399999999998,0.735700000000000,3,3,1,0.000069444451688,97.000000000000000
-1,Boston,13,42.075930000000000,-71.087440000000001,19,3,0.158000000000000,42.356665999999997,-71.055740000000000,North America,31.325399999999998,43.921399999999998,0.713200000000000,4,4,1,0.000069444451688,97.000000000000000
-1,Boston,14,42.083869999999997,-71.090100000000007,20,5,0.250000000000000,42.356665999999997,-71.055740000000000,North America,30.465199999999999,43.921399999999998,0.693600000000000,5,5,1,0.000069444451688,97.000000000000000
-1,Boston,15,42.094110000000001,-71.094130000000007,20,3,0.150000000000000,42.356665999999997,-71.055740000000000,North America,29.365500000000001,43.921399999999998,0.668600000000000,6,6,1,0.000069444451688,97.000000000000000
-1,Boston,16,42.106670000000001,-71.099080000000001,19,2,0.105000000000000,42.356665999999997,-71.055740000000000,North America,28.026399999999999,43.921399999999998,0.638100000000000,7,7,1,0.000069444451688,97.000000000000000
-1,Boston,17,42.115009999999998,-71.099249999999998,20,2,0.100000000000000,42.356665999999997,-71.055740000000000,North America,27.108599999999999,43.921399999999998,0.617200000000000,8,8,1,0.000069444451688,96.000000000000000
-1,Boston,18,42.124540000000003,-71.101450000000000,20,6,0.300000000000000,42.356665999999997,-71.055740000000000,North America,26.084099999999999,43.921399999999998,0.593900000000000,9,9,1,0.000069444451688,97.000000000000000
