OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F12_Halle_gcs_PET_Dec_OID,F12_Halle_gcs_PET_Dec_FID_,F12_Halle_gcs_PET_Dec_COUNT,F12_Halle_gcs_PET_Dec_AREA,F12_Halle_gcs_PET_Dec_MEAN
-1,Halle,1,51.472079999999998,11.967330000000000,20,4,0.200000000000000,51.482503999999999,11.970545000000000,Europe,1.180300000000000,10.305300000000001,0.114500000000000,0,0,1,0.000069444451688,8.000000000000000
-1,Halle,2,51.473390000000002,11.971250000000000,18,0,0.000000000000000,51.482503999999999,11.970545000000000,Europe,1.014600000000000,10.305300000000001,0.098500000000000,,,,,
-1,Halle,3,51.475409999999997,11.972830000000000,19,3,0.158000000000000,51.482503999999999,11.970545000000000,Europe,0.804500000000000,10.305300000000001,0.078100000000000,1,2,1,0.000069444451688,8.000000000000000
-1,Halle,4,51.477449999999997,11.971259999999999,21,7,0.333000000000000,51.482503999999999,11.970545000000000,Europe,0.564200000000000,10.305300000000001,0.054700000000000,,,,,
-1,Halle,5,51.479599999999998,11.969720000000001,19,2,0.105000000000000,51.482503999999999,11.970545000000000,Europe,0.327900000000000,10.305300000000001,0.031800000000000,,,,,
-1,Halle,6,51.480780000000003,11.973210000000000,20,4,0.200000000000000,51.482503999999999,11.970545000000000,Europe,0.266100000000000,10.305300000000001,0.025800000000000,,,,,
-1,Halle,7,51.482709999999997,11.975619999999999,18,5,0.278000000000000,51.482503999999999,11.970545000000000,Europe,0.352200000000000,10.305300000000001,0.034200000000000,2,6,1,0.000069444451688,8.000000000000000
-1,Halle,8,51.483840000000001,11.979089999999999,18,1,0.056000000000000,51.482503999999999,11.970545000000000,Europe,0.610100000000000,10.305300000000001,0.059200000000000,3,7,1,0.000069444451688,8.000000000000000
-1,Halle,9,51.487740000000002,11.978660000000000,19,1,0.053000000000000,51.482503999999999,11.970545000000000,Europe,0.809100000000000,10.305300000000001,0.078500000000000,,,,,
-1,Halle,10,51.490229999999997,11.980280000000000,19,0,0.000000000000000,51.482503999999999,11.970545000000000,Europe,1.092000000000000,10.305300000000001,0.106000000000000,,,,,
-1,Halle,11,51.492040000000003,11.982379999999999,21,3,0.143000000000000,51.482503999999999,11.970545000000000,Europe,1.340100000000000,10.305300000000001,0.130000000000000,4,10,1,0.000069444451688,8.000000000000000
-1,Halle,12,51.495010000000001,11.981940000000000,20,6,0.300000000000000,51.482503999999999,11.970545000000000,Europe,1.598800000000000,10.305300000000001,0.155100000000000,,,,,
-1,Halle,13,51.497160000000001,11.981579999999999,18,4,0.222000000000000,51.482503999999999,11.970545000000000,Europe,1.799900000000000,10.305300000000001,0.174700000000000,,,,,
-1,Halle,14,51.500230000000002,11.983400000000000,20,5,0.250000000000000,51.482503999999999,11.970545000000000,Europe,2.162700000000000,10.305300000000001,0.209900000000000,5,13,1,0.000069444451688,8.000000000000000
-1,Halle,15,51.502130000000001,11.985440000000001,20,2,0.100000000000000,51.482503999999999,11.970545000000000,Europe,2.413700000000000,10.305300000000001,0.234200000000000,,,,,
-1,Halle,16,51.503779999999999,11.987710000000000,20,4,0.200000000000000,51.482503999999999,11.970545000000000,Europe,2.647500000000000,10.305300000000001,0.256900000000000,,,,,
